name,score,reviewCnt,category,address,url
뉴델리,5.0,123,인도 요리,서울 강남구 논현로176길 28 신사동,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7033774-Reviews-New_Delhi-Seoul.html
류니끄,4.5,131,퓨전,서울 강남구 강남대로162길 40,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7086482-Reviews-Ryunique-Seoul.html
코리아노스 키친,4.0,76,멕시코 요리,서울 강남구 선릉로157길 25 B1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6643598-Reviews-Coreanos_Kitchen-Seoul.html
스쿨푸드 가로수길점,4.0,114,아시아 요리,서울 강남구 도산대로 139,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d2241598-Reviews-School_Food_Garosu_gil-Seoul.html
권숙수,4.5,50,한국,서울 강남구 언주로170길 27 4층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8743798-Reviews-Kwonsooksoo-Seoul.html
강남면옥,4.0,59,아시아 요리,서울 강남구 논현로152길 34,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4032315-Reviews-Gangnam_Myeonok-Seoul.html
뱃고동,4.5,42,아시아 요리,서울 강남구 언주로172길 54,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7266651-Reviews-Batgodong-Seoul.html
삼원 가든 본점,4.0,147,바베큐,서울 강남구 언주로 835,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d810850-Reviews-Samwon_Garden_Main_Store-Seoul.html
깐부치킨 신사역점,4.0,37,한국,서울 강남구 강남대로152길 30 태웅빌딩 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7126251-Reviews-Kkanbu_Chicken_Sinsa_Station-Seoul.html
셰막,4.5,34,아시아 요리,서울 강남구 신사동 536-1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4166624-Reviews-Chez_Maak-Seoul.html
한일관 영등포점,4.5,32,한국,서울 영등포구 영중로 15,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8591005-Reviews-Hanilkwan_Yeongdeungpo-Seoul.html
포도식당 압구정점,4.5,27,아시아 요리,서울 강남구 신사동 570-4 일신빌딩 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4076174-Reviews-Podo_Sikdang_Apgujeong-Seoul.html
투뿔 등심 논현2호점,4.5,26,아시아 요리,서울 강남구 언주로148길 19,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7269157-Reviews-Two_Plus_Deungsim_Nonhyeon_2-Seoul.html
김북순 큰남비집,4.5,33,아시아 요리,서울 강남구 신사동 536-8 우림빌딩 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d2219211-Reviews-KimBuksun_s_Big_Pot_House-Seoul.html
압구정 미연,5.0,14,한국,서울 강남구 압구정로54길 14 지하1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d14208538-Reviews-Apgujeong_Myeon-Seoul.html
톡톡,4.5,20,유럽 요리,서울 강남구 도산대로51길 33 3층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d12275263-Reviews-Toc_Toc-Seoul.html
일일향,4.5,24,중국 요리,서울 강남구 신사동 601-3,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4030210-Reviews-Ililhyang-Seoul.html
저스트 스테이크,4.5,22,스테이크하우스,서울 강남구 신사동 657-3,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d5541516-Reviews-Just_Steak-Seoul.html
삼원가든 대치점,4.5,24,한국,서울 강남구 대치2동 993-1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4071048-Reviews-Samwon_Garden_Daechi-Seoul.html
엘본 더 테이블 가로수길 본점 ,3.5,59,유럽 요리,서울 강남구 신사동 530-5,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d2261239-Reviews-ELBON_the_table_Garosugil_Store-Seoul.html
세광양대창 - 신사역가로수길점,5.0,10,바베큐,서울 강남구 도산대로1길 24 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d19513937-Reviews-Segyang_Yangdaechang_Sinsa_Station_Garosugil-Seoul.html
스시선수,5.0,13,일본 요리,서울 강남구 도산대로45길 6 호림아트센터 2빌딩,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d9255297-Reviews-Sushi_Seonsu-Seoul.html
가온,4.0,30,한국,서울 강남구 도산대로 317 호림아트빌딩 M층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d10202101-Reviews-Gaon-Seoul.html
베러댄비프,4.0,31,아시아 요리,서울 도산대로11길 5,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8914446-Reviews-Better_Than_Beef-Seoul.html
메드포갈릭 압구정점,4.0,45,이탈리아 요리,서울 강남구 신사동 616-1 파티마빌딩 지하 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d1140460-Reviews-Mad_For_Garlic_Apgujeong-Seoul.html
