name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
커리지널,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_40%,남자_60%
219레스토랑,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_58%,남자_42%
우동 카덴,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_52%,남자_48%
산울림1992,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_56%,남자_44%
우와,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_57%,남자_43%
모센즈스위트,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_59%,남자_41%
홍대IN파스타,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_55%,남자_45%
옥동식,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_43%,남자_57%
카쿠시타,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_53%,남자_47%
피오니,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_62%,남자_38%
브런치가,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_61%,남자_39%
하이디라오 홍대점,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_69%,남자_31%
샌드커피 논탄토 연남,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_57%,남자_43%
빠넬로,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_49%,남자_51%
콜린,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_49%,남자_51%
로쏘 1924 나폴리 화덕피자 홍대점,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_49%,남자_51%
또보겠지떡볶이집 붕붕허니비점,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_49%,남자_51%
육지,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_43%,남자_57%
광야,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_58%,남자_42%
스케줄합정,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_57%,남자_43%
신미경홍대닭갈비,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_51%,남자_49%
