name,score,visitCount,blogCount
에그써티,4.86/5,방문자 리뷰_ 254,블로그 리뷰_ 212
테이커테이블,4.97/5,방문자 리뷰_ 321,블로그 리뷰_ 159
우동 카덴,4.23/5,"방문자 리뷰_ 1,654","블로그 리뷰_ 1,983"
산울림1992,4.47/5,방문자 리뷰_ 393,블로그 리뷰_ 680
우와,4.45/5,"방문자 리뷰_ 1,150","블로그 리뷰_ 1,740"
모센즈스위트,4.65/5,방문자 리뷰_ 535,블로그 리뷰_ 459
홍대IN파스타,4.42/5,"방문자 리뷰_ 1,076","블로그 리뷰_ 1,233"
옥동식,4.44/5,"방문자 리뷰_ 1,402","블로그 리뷰_ 1,384"
카쿠시타,4.54/5,방문자 리뷰_ 514,블로그 리뷰_ 511
피오니,4.42/5,"방문자 리뷰_ 2,410","블로그 리뷰_ 2,449"
브런치가,4.2/5,"방문자 리뷰_ 1,124","블로그 리뷰_ 1,304"
하이디라오 홍대점,4.61/5,"방문자 리뷰_ 4,079",블로그 리뷰_ 854
샌드커피 논탄토 연남,4.5/5,방문자 리뷰_ 917,블로그 리뷰_ 721
빠넬로,4.34/5,방문자 리뷰_ 283,블로그 리뷰_ 696
콜린,4.49/5,"방문자 리뷰_ 2,004","블로그 리뷰_ 1,218"
로쏘 1924 나폴리 화덕피자 홍대점,4.68/5,"방문자 리뷰_ 4,109","블로그 리뷰_ 1,405"
또보겠지떡볶이집 붕붕허니비점,4.58/5,"방문자 리뷰_ 1,824","블로그 리뷰_ 1,422"
육지,4.79/5,방문자 리뷰_ 637,블로그 리뷰_ 320
광야,4.57/5,방문자 리뷰_ 829,블로그 리뷰_ 905
스케줄합정,,"방문자 리뷰_ 1,099",블로그 리뷰_ 951
신미경홍대닭갈비,4.47/5,"방문자 리뷰_ 1,860","블로그 리뷰_ 1,256"
칸다소바,4.46/5,"방문자 리뷰_ 1,870","블로그 리뷰_ 1,018"
김씨육면,4.65/5,방문자 리뷰_ 388,블로그 리뷰_ 270
홍대씨부엉,4.51/5,방문자 리뷰_ 535,블로그 리뷰_ 914
유메 홍대본점,,방문자 리뷰_ 287,블로그 리뷰_ 932
도프피자베이커스 홍대점,,방문자 리뷰_ 58,블로그 리뷰_ 62
하카타분코,4.28/5,방문자 리뷰_ 631,"블로그 리뷰_ 1,560"
경주식당,4.45/5,방문자 리뷰_ 509,"블로그 리뷰_ 1,397"
943 킹스크로스CAFE,4.26/5,"방문자 리뷰_ 1,022",블로그 리뷰_ 901
오모테나시 오마카세,,방문자 리뷰_ 109,블로그 리뷰_ 451
올바른김밥,4.79/5,"방문자 리뷰_ 1,686",블로그 리뷰_ 133
버터베이커리,4.57/5,"방문자 리뷰_ 1,268",블로그 리뷰_ 443
느린마을양조장 홍대점,4.62/5,방문자 리뷰_ 493,블로그 리뷰_ 234
중화복춘 공원,4.42/5,방문자 리뷰_ 455,블로그 리뷰_ 792
야키토리 나루토,4.87/5,방문자 리뷰_ 509,블로그 리뷰_ 505
가미우동,4.58/5,"방문자 리뷰_ 1,057",블로그 리뷰_ 945
비스트로사랑방,4.54/5,방문자 리뷰_ 456,블로그 리뷰_ 648
프리모바치오바치 홍대본점,4.39/5,"방문자 리뷰_ 1,615","블로그 리뷰_ 1,570"
아오이토리,4.44/5,"방문자 리뷰_ 2,175","블로그 리뷰_ 1,291"
부탄츄 홍대본점,4.24/5,방문자 리뷰_ 997,"블로그 리뷰_ 1,076"
피자네버슬립스,4.58/5,"방문자 리뷰_ 1,164","블로그 리뷰_ 1,234"
스테이크 슈퍼,4.92/5,방문자 리뷰_ 543,블로그 리뷰_ 294
금별맥주 홍대직영점,4.51/5,방문자 리뷰_ 339,블로그 리뷰_ 290
카와카츠,4.47/5,방문자 리뷰_ 582,블로그 리뷰_ 673
해피베어데이,4.77/5,방문자 리뷰_ 518,블로그 리뷰_ 472
썬키친,4.89/5,방문자 리뷰_ 321,블로그 리뷰_ 192
테이스티버거,4.38/5,방문자 리뷰_ 795,블로그 리뷰_ 852
슬로우캘리 연남본점,4.59/5,"방문자 리뷰_ 1,637","블로그 리뷰_ 1,039"
풀뜯는돼지,4.81/5,방문자 리뷰_ 519,블로그 리뷰_ 224
비스트로큐슈,4.48/5,방문자 리뷰_ 423,블로그 리뷰_ 327
호맥 합정점,4.45/5,방문자 리뷰_ 733,블로그 리뷰_ 314
감성타코 홍대점,4.34/5,"방문자 리뷰_ 1,340","블로그 리뷰_ 1,952"
개화기요정,,방문자 리뷰_ 405,블로그 리뷰_ 720
합정공감,,방문자 리뷰_ 508,블로그 리뷰_ 113
온미동 연남,4.54/5,방문자 리뷰_ 760,블로그 리뷰_ 462
뉴욕아파트먼트 홍대점,,방문자 리뷰_ 975,"블로그 리뷰_ 1,551"
소코아 홍대점,4.6/5,방문자 리뷰_ 620,블로그 리뷰_ 414
OBPC 연남본점,,방문자 리뷰_ 432,블로그 리뷰_ 424
미도인 홍대,4.5/5,"방문자 리뷰_ 1,034",블로그 리뷰_ 593
스미비부타동,4.44/5,방문자 리뷰_ 861,블로그 리뷰_ 773
키움초밥,,"방문자 리뷰_ 1,072","블로그 리뷰_ 1,196"
연남물갈비,4.48/5,방문자 리뷰_ 641,블로그 리뷰_ 501
작당모의,4.38/5,방문자 리뷰_ 971,블로그 리뷰_ 844
마시타야,4.55/5,방문자 리뷰_ 146,블로그 리뷰_ 412
가로수포차,4.61/5,방문자 리뷰_ 126,블로그 리뷰_ 70
어메이징농카이,4.48/5,방문자 리뷰_ 610,블로그 리뷰_ 521
라헬의부엌 홍대점,4.51/5,방문자 리뷰_ 983,블로그 리뷰_ 505
천이오겹살,4.29/5,방문자 리뷰_ 410,블로그 리뷰_ 920
미쁘동,4.42/5,"방문자 리뷰_ 1,824","블로그 리뷰_ 1,598"
멘야준,4.56/5,방문자 리뷰_ 718,블로그 리뷰_ 402
더핏짜 본점,,방문자 리뷰_ 804,블로그 리뷰_ 121
더페이머스버거 홍대점,4.42/5,방문자 리뷰_ 487,"블로그 리뷰_ 1,039"
사쿠라테이엔 합정점,4.85/5,방문자 리뷰_ 136,블로그 리뷰_ 110
스시오 블랙컨테이너,,방문자 리뷰_ 717,"블로그 리뷰_ 1,089"
랑데자뷰 홍대점,4.34/5,방문자 리뷰_ 521,"블로그 리뷰_ 1,362"
츠케루,4.62/5,"방문자 리뷰_ 1,678",블로그 리뷰_ 193
솔솥 연남점,4.52/5,"방문자 리뷰_ 1,540","블로그 리뷰_ 1,179"
정돈 홍대점,4.52/5,방문자 리뷰_ 843,블로그 리뷰_ 527
고쿠텐 홍대점,4.46/5,방문자 리뷰_ 937,블로그 리뷰_ 468
얀 쿠브레,4.32/5,"방문자 리뷰_ 1,596",블로그 리뷰_ 651
평안도 상원냉면,4.48/5,방문자 리뷰_ 315,블로그 리뷰_ 163
하카타나카,4.44/5,방문자 리뷰_ 625,블로그 리뷰_ 704
오버트 합정,,방문자 리뷰_ 85,블로그 리뷰_ 80
르쁘띠푸 홍대본점,4.39/5,방문자 리뷰_ 698,"블로그 리뷰_ 1,229"
합정조이떡볶이,4.38/5,방문자 리뷰_ 411,블로그 리뷰_ 80
온돌 합정점,4.63/5,"방문자 리뷰_ 1,115",블로그 리뷰_ 940
연교,4.49/5,방문자 리뷰_ 916,블로그 리뷰_ 889
우동가조쿠,4.57/5,방문자 리뷰_ 614,블로그 리뷰_ 223
오이지 연남,,방문자 리뷰_ 143,블로그 리뷰_ 137
냉장고 합정점,4.75/5,방문자 리뷰_ 206,블로그 리뷰_ 266
배터리88 홍대점,4.41/5,방문자 리뷰_ 367,블로그 리뷰_ 389
고기꾼김춘배 홍대본점,4.52/5,"방문자 리뷰_ 1,312",블로그 리뷰_ 996
가든 포에트,4.85/5,방문자 리뷰_ 559,블로그 리뷰_ 163
연남주막1987,4.52/5,방문자 리뷰_ 340,블로그 리뷰_ 269
카멜로연남,4.73/5,"방문자 리뷰_ 1,268","블로그 리뷰_ 1,108"
진저피그,4.6/5,"방문자 리뷰_ 1,273",블로그 리뷰_ 674
오리지널시카고피자 홍대본점,4.29/5,방문자 리뷰_ 384,"블로그 리뷰_ 1,220"
카페노티드 연남,,"방문자 리뷰_ 2,326",블로그 리뷰_ 563
헤이죠지,,방문자 리뷰_ 321,블로그 리뷰_ 449
에일크루,4.52/5,방문자 리뷰_ 417,블로그 리뷰_ 283
더피자보이즈 홍대입구역점,4.57/5,방문자 리뷰_ 650,블로그 리뷰_ 605
캘리포니아 도넛 클럽 & 비라티오 홍대점,4.52/5,"방문자 리뷰_ 1,706",블로그 리뷰_ 729
초이 다이닝,5/5,방문자 리뷰_ 255,블로그 리뷰_ 262
몽주방,,방문자 리뷰_ 91,블로그 리뷰_ 76
무니,4.49/5,방문자 리뷰_ 65,블로그 리뷰_ 78
철길왕갈비살,4.36/5,방문자 리뷰_ 688,블로그 리뷰_ 470
커피리브레 연남점,4.43/5,방문자 리뷰_ 664,블로그 리뷰_ 743
리밀커피&밀리,4.76/5,방문자 리뷰_ 218,블로그 리뷰_ 230
아날로그가든,4.44/5,방문자 리뷰_ 447,블로그 리뷰_ 292
시나모롤 스위트카페,,방문자 리뷰_ 88,블로그 리뷰_ 79
