name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
60년전통신촌황소곱창 건대직영점,33.18847059,47.72447059,34.40188235,31.032,36.24870588,11.76470588,47,53
972Bar,47.79833333,81.89566667,34.08066667,23.92166667,22.56766667,16.66666667,50,50
MouseRabbit,47.59529412,49.51105882,30.15058824,25.756,19.76941176,11.76470588,60,40
건대 숯불부자곱창,37.24611765,49.85364706,33.88541176,29.30588235,42.62870588,22.95129412,44,56
겐로쿠우동 건대직영점,33.08258824,48.72117647,37.81364706,29.48611765,21.264,11.76470588,50,50
김창훈호프,27.42466667,80.77233333,44.92333333,32.819,25.15733333,22.366,51,49
꼼주,17.20047059,52.80847059,33.42847059,28.27741176,24.38117647,20.11388235,48,52
뉴웨이브서울,44.31933333,76.336,52.39233333,35.484,36.139,30.829,60,40
느린마을양조장 건대점,11.76470588,47.59505882,36.96564706,31.26588235,25.66329412,11.76470588,49,51
대흥양다리바베큐 건대점,25,92.7355,86.5075,80.0755,68.415,73.0615,41,59
도도곱창 건대본점,26.18682353,52.42423529,35.24329412,30.03670588,27.28917647,19.98117647,49,51
돕감자탕전문점,11.76470588,49.05811765,38.28682353,34.16235294,30.40094118,27.14705882,46,54
드로잉레시피,25,95.7885,81.6845,69.2535,61.9795,25,53,47
랑데자뷰 건대점,47.64705882,47.60141176,30.08564706,25.612,18.88776471,11.76470588,56,44
래빗홀 버거컴퍼니,11.76470588,48.48305882,38.25576471,30.872,21.11811765,11.76470588,50,50
레브,33.90188235,48.28023529,34.67670588,20.416,14.54282353,11.76470588,63,37
로얄 인디안 레스토랑,11.76470588,47.34611765,37.05788235,31.05317647,24.40094118,11.76470588,51,49
만경상회 건대본점,11.76470588,51.208,39.58823529,34.39905882,26.49764706,20.33435294,46,54
매화반점,25,90.6005,85.3065,79.831,68.1055,25,45,55
멘쇼,25,99.942,80.8315,57.378,34.9425,25,46,54
민정식당,25,82.912,91.1965,85.1535,71.837,73.4465,46,54
범맥주 건대점,32.63525,78.90325,38.764,30.43175,25.94275,24.06275,40,60
부탄츄 건대점,35.11529412,47.47505882,35.98823529,24.03247059,14.65270588,11.76470588,47,53
삼꾸미집 건대점,25,97.247,74.773,69.314,69.481,44.55,46,54
새로이,11.76470588,50.86541176,37.91647059,27.41952941,23.19882353,20.26447059,49,51
송쉐프,25,75.3425,88.7505,92.2145,77.322,79.5325,47,53
수퍼슬라이더스,35.2775,88.2425,96.4955,82.8755,52.827,40.426,50,50
심마니,16.66666667,78.53766667,48.434,35.33733333,31.95633333,29.63733333,48,52
언리미티드,16.66666667,78.52233333,34.43466667,23.649,20.85,15.08966667,54,46
열매제과점,37.67388235,50.70988235,34.81176471,24.452,18.18682353,11.76470588,65,35
오포케,19.50423529,52.31152941,34.00823529,19.59364706,12.608,11.76470588,68,32
우마이도 건대점,35.68376471,47.46658824,39.15529412,29.66494118,20.46329412,11.76470588,46,54
원보양꼬치,17.281,98.664,68.181,54.216,46.13,12.097,44,56
육성회비,16.66666667,75.985,45.03966667,30.29733333,22.90533333,16.66666667,48,52
정글포차,11.76470588,50.01247059,35.48894118,25.39694118,16.10988235,11.76470588,52,48
정통집 건대점,11.76470588,49.65317647,30.11741176,21.74658824,14.72729412,11.76470588,50,50
지구상사 건대점,40.069,87.09833333,32.39866667,27.605,24.98266667,16.54866667,55,45
지속,43.66470588,50.82635294,29.92141176,17.20988235,13.67976471,11.76470588,62,38
처비버디,25,95.793,80.06,53.1575,43.761,25,54,46
초라멘,36.61717647,50.42235294,37.72752941,23.67952941,16.29764706,11.76470588,48,52
최신족발,25,92.881,81.3965,76.1305,66.894,25,44,56
카페 오알피하우스,62.915,75.56666667,39.80566667,23.737,16.66666667,16.66666667,61,39
캐치볼클럽,41.29341176,50.61388235,37.23270588,31.34494118,22.06070588,11.76470588,57,43
태태삼겹 건대점,21.38705882,52.264,42.90682353,35.85082353,24.16494118,20.91552941,45,55
폰버거,11.76470588,48.55576471,34.88376471,30.23858824,22.23435294,11.76470588,50,50
플록,25,96.067,95.7855,71.3095,61.5395,54.77,51,49
한식당,18.91576471,48.43647059,35.88164706,31.58470588,31.19341176,29.38235294,51,49
해룡마라룽샤 건대점,35.2775,88.2425,96.4955,82.8755,52.827,40.426,50,50
후토,11.76470588,52.83247059,40.00870588,26.12,17.04611765,11.76470588,45,55
흐릇,11.76470588,47.17482353,34.17552941,20.91294118,11.76470588,11.76470588,63,37
