name,gubun,score,visitCount,blogCount
LITE LANE,카페,4.43,458,260
건대스시,일식당,4.51,221,222
고베규카츠 건대점,돈가스,3.64,182,64
고쿠텐 건대입구역점,덮밥,4.17,181,110
고흥순대국머리고기,"순대,순댓국",4.45,1116,140
기류,"카페,디저트",4.18,48,6
깍뚝,돼지고기구이,4.51,446,280
냥토피아 카페앤샵,"카페,디저트",4.74,1235,219
대구안지랑곱창막창 건대점,"곱창,막창,양",4.36,166,369
도키도키,이자카야,4.22,137,56
등촌샤브칼국수 자양점,"칼국수,만두",4.32,711,100
디슬로,바(BAR),4.94,153,108
라그랑우스,베이커리,4.48,265,119
마실리아,요리주점,4.32,166,89
매드포갈릭 건대스타시티점,이탈리아음식,4.43,1001,380
메종드쁘띠푸르 커먼그라운드점,베이커리,4.35,607,107
미도인 건대,양식,4.58,884,239
반둥식당,아시아음식,4.48,318,281
발빠닭 건대점,닭발,4.73,185,89
북카페세모,"카페,디저트",4.76,654,2593
샤오당쟈마라탕 건대점,중식당,4.41,675,48
설레임삼겹살,돼지고기구이,4.58,140,253
스파이스드 SPICED,양식,4.57,219,64
쑤담샤브샤브,샤브샤브,4.18,2443,817
아날로그키친,이탈리아음식,4.48,289,433
아마 건대점,인도음식,4.76,94,81
아메리칸트레이 건대입구점,"다이어트,샐러드",4.18,62,89
애드앤드,"카페,디저트",4.75,164,174
연옥양꼬치,양꼬치,4.75,273,497
열불날개 건대2호점,닭발,4.43,301,628
옛날종로빈대떡,"전,빈대떡",4.22,123,45
오페뜨 건대점,"카페,디저트",4.76,700,649
우성식당,기사식당,4.2,734,138
은비스브레드 건국대,베이커리,4.43,68,9
이덕복인,오리요리,4.75,3,7
이태리부대찌개 건대점,"찌개,전골",4.42,445,62
정면,국수,4.86,333,163
질서정연,요리주점,4.94,169,130
청춘등판,한식,4.87,404,175
최가커피,카페,4.5,849,732
카페드라이,"카페,디저트",4.53,258,340
쿵푸소룽샤&마라룽샤,중식당,4.64,330,658
평창 닭다리살 불고기,"육류,고기요리",4.43,300,134
포크포크 건대직영점,돈가스,4.53,536,222
한사바리,요리주점,4.57,119,62
해란양꼬치,중식당,4.73,220,463
호우시절,요리주점,4.59,54,85
화양과자,"카페,디저트",4.64,194,78
화양시장할머니순대국,"순대,순댓국",4.29,575,139
훈춘양꼬치,양꼬치,4.64,133,123
