,name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
0,강남면옥 본점,30.110499999999973,83.35399999999996,92.76749999999997,90.78649999999996,81.76349999999996,85.98749999999995,47,53
1,까폼,30.490333333333318,81.23966666666666,72.14766666666668,55.33666666666666,41.467333333333336,36.027999999999984,55,45
2,꽁티드툴레아,25.19099999999997,76.96433333333333,55.829333333333295,32.52066666666665,25.346666666666636,9.893666666666654,72,28
3,뉴만두집,23.54533333333334,69.31299999999997,74.35799999999999,74.55033333333334,76.34999999999998,67.63466666666665,55,45
4,뉴욕라츠오베이글스,32.32823529411763,52.90258823529411,44.84494117647056,37.52117647058821,30.593411764705852,24.769411764705854,63,37
5,다운타우너 청담,61.060999999999986,89.8653333333333,65.70866666666666,45.044999999999995,36.11366666666667,31.17999999999998,54,46
6,다이닝 목로,11.764705882352951,52.23764705882353,41.523294117647055,30.953647058823535,16.893176470588227,11.764705882352951,61,39
7,달래해장,6.190666666666677,68.96266666666664,77.41766666666668,69.70399999999998,54.838666666666654,45.349000000000004,39,61
8,달마시안,44.616666666666646,86.6523333333333,74.553,63.77166666666665,48.00933333333332,33.56599999999996,72,28
9,대막,32.92799999999999,82.738,63.579666666666654,41.72866666666667,35.72566666666665,28.849666666666657,58,42
10,도산맘마미아,61.02066666666664,79.52533333333332,60.00333333333333,50.41266666666665,40.21099999999999,33.111333333333334,67,33
11,도산분식 도산공원점,70.531,82.64366666666666,56.38266666666665,45.73033333333331,33.64666666666667,26.26133333333332,60,40
12,런던 베이글 뮤지엄 도산점,31.08700000000001,96.67266666666666,91.45099999999996,93.1383333333333,73.29733333333331,43.815999999999995,74,26
13,르브런쉭 신사점,27.764941176470593,52.170823529411756,44.03717647058824,37.14094117647059,28.140235294117655,21.36094117647058,62,38
14,리틀넥 청담,22.58066666666666,46.70444444444441,24.72622222222221,23.639111111111095,26.072444444444432,14.849777777777753,55,45
15,마일스톤 커피,28.769000000000005,77.773,66.43266666666665,45.39300000000001,30.27299999999999,25.912000000000006,65,35
16,무탄,36.62766666666662,84.19399999999997,77.07633333333332,66.7173333333333,62.16766666666663,54.06399999999998,48,52
17,묵전,13.695666666666659,87.48433333333334,69.11766666666665,55.66133333333333,49.65699999999998,38.38999999999999,53,47
18,미미면가,6.00485714285713,36.16199999999996,23.62485714285713,13.835428571428546,9.0665714285714,4.249142857142825,54,46
19,뱃고동,15.728705882352937,42.803764705882344,49.52235294117648,50.451999999999984,37.75199999999999,31.316941176470593,57,43
20,벽돌해피푸드 압구정점,43.44733333333332,92.06333333333333,59.10566666666664,36.22499999999999,30.504333333333317,25.111333333333334,59,41
21,브루클린더버거조인트 가로수길점,26.355058823529415,52.144941176470596,46.20705882352941,37.86917647058823,30.98211764705881,22.172705882352947,62,38
22,삼원가든,17.269666666666662,47.702666666666666,71.92233333333333,76.54666666666664,69.45666666666668,74.273,48,52
23,샌드커피 논탄토 신사,38.440333333333335,86.69999999999999,65.249,48.56366666666666,38.619666666666674,28.97333333333333,58,42
