,name,gubun,score,blogCount,visitCount
0,까폼,태국음식,4.52,1405,1228
1,꽁티드툴레아,브런치,,2671,2421
2,뉴만두집,만두,4.36,958,694
3,뉴욕라츠오베이글스,베이글,4.53,1324,543
4,다운타우너 청담,햄버거,4.61,3039,2813
5,다이닝 목로,요리주점,4.65,388,546
6,달래해장,한식,4.43,289,207
7,달마시안,양식,4.46,662,924
8,대막,일식당,4.43,844,1435
9,도산맘마미아,"카페,디저트",4.36,2086,2408
10,도산분식 도산공원점,종합분식,4.23,1078,1665
11,런던 베이글 뮤지엄 도산점,베이커리,,68,205
12,르브런쉭 신사점,브런치,4.34,625,805
13,리틀넥 청담,이탈리아음식,4.5,2087,3280
14,마일스톤 커피,카페,4.62,1520,1325
15,맥주덕후 피자덕후,피자,4.92,952,621
16,무탄,중식당,4.36,1630,1299
17,묵전,"전통,민속주점",4.45,697,744
18,미미면가,일식당,4.27,1396,1853
19,뱃고동,낙지요리,4.28,2156,1468
20,벽돌해피푸드 압구정점,중식당,4.46,521,700
21,브루클린더버거조인트 가로수길점,햄버거,4.48,1769,2479
22,삼원가든,한식,4.45,477,429
23,샌드커피 논탄토 신사,카페,4.47,617,763
24,선데이 버거 클럽,햄버거,4.53,622,565
25,신사전,"전,빈대떡",4.31,520,394
26,아베크 청담,양식,4.39,412,589
27,아우어베이커리 가로수길점,베이커리,4.46,3078,1832
28,압구정하루,일식당,4.36,2079,1537
29,오스테리아 꼬또 압구정점,이탈리아음식,4.43,1121,1169
30,온기정,일식당,4.3,1337,949
31,올리버,일식당,4.62,45,35
32,우와,일식당,4.48,870,1221
33,지아니스나폴리 가로수길점,이탈리아음식,4.35,348,779
34,쮸즈,"딤섬,중식만두",4.38,1421,2087
35,카멜커피,"카페,디저트",4.43,1582,1087
36,카이센동 우니도,일식당,4.84,380,236
37,카츠바이콘반,일식당,4.58,1081,1124
38,카페 노티드 청담,카페,4.44,15152,5692
39,카페무니 압구정본점,"카페,디저트",4.36,229,441
40,콴안다오,베트남음식,4.52,1358,1170
41,클랩피자 청담점,피자,4.52,2428,1275
42,텍사스데브라질 압구정점,"스테이크,립",4.33,3399,619
43,파넬,양식,4.17,875,847
44,포스터리 베이커,케이크전문,4.36,267,245
45,플레이버스 바이 바프,양식,4.62,47,57
46,한올,양식,4.53,38,24
47,한추,"맥주,호프",4.19,812,1671
48,핫쵸,일식당,4.46,375,480
49,호족반,한식,4.34,1450,1643
