name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio
33떡볶이 대학로점|81.52599999999997|80.49149999999997|75.25449999999998|86.61299999999996|66.9695|25.00000000000001|55|45
60계치킨 서울대학로점|58.33999999999996|22.47199999999994|15.936999999999871|73.51699999999995|83.94899999999996|76.93599999999992|49|51
BBQ치킨 명륜점|35.46635294117646|50.5510588235294|33.18117647058824|22.160000000000007|19.124705882352945|11.764705882352951|49|51
골목길25|58.33999999999996|22.47199999999994|15.936999999999871|73.51699999999995|83.94899999999996|76.93599999999992|49|51
공차 대학로점|25.00000000000001|96.04949999999998|74.6085|69.08449999999998|25.00000000000001|25.00000000000001|48|52
교촌치킨 대학로점|25.00000000000001|92.04999999999998|82.3765|72.06749999999998|51.01499999999996|25.00000000000001|49|51
구스타파스|25.00000000000001|96.04949999999998|74.6085|69.08449999999998|25.00000000000001|25.00000000000001|48|52
김가네김밥 대학로본점|25.00000000000001|91.74299999999998|79.98599999999998|76.873|60.2655|25.00000000000001|55|45
꼬꼬아찌숯불치킨 혜화대학로점|25.00000000000001|96.93149999999997|74.26849999999999|73.69099999999999|67.74999999999996|25.00000000000001|46|54
남대문황금족발 대학로점|58.33999999999996|22.47199999999994|15.936999999999871|73.51699999999995|83.94899999999996|76.93599999999992|49|51
다발김치찌개 대학로점|11.764705882352951|47.27341176470588|33.33247058823529|28.500235294117633|23.768470588235292|11.764705882352951|55|45
동숭숯불갈비|81.52599999999997|80.49149999999997|75.25449999999998|86.61299999999996|66.9695|25.00000000000001|55|45
레코드피자|58.33999999999996|22.47199999999994|15.936999999999871|73.51699999999995|83.94899999999996|76.93599999999992|49|51
릴리마를렌|44.601411764705865|48.87811764705883|29.52211764705883|27.235529411764713|18.047294117647063|11.764705882352951|60|40
명쭈3|11.764705882352951|47.27341176470588|33.33247058823529|28.500235294117633|23.768470588235292|11.764705882352951|55|45
미향|81.52599999999997|80.49149999999997|75.25449999999998|86.61299999999996|66.9695|25.00000000000001|55|45
방선생웃음밥상|35.46635294117646|50.5510588235294|33.18117647058824|22.160000000000007|19.124705882352945|11.764705882352951|49|51
배스킨라빈스 대학로|71.43349999999997|95.16549999999998|89.91949999999996|76.82699999999996|47.04799999999996|25.00000000000001|56|44
봉추찜닭 대학로점|71.43349999999997|95.16549999999998|89.91949999999996|76.82699999999996|47.04799999999996|25.00000000000001|56|44
비스까미노|93.36099999999999|98.81999999999998|63.62749999999998|58.12799999999999|44.295999999999985|25.00000000000001|48|52
빈대떡신사|25.00000000000001|94.68499999999999|74.832|70.0065|69.547|25.00000000000001|47|53
뼈닥스감자탕|25.00000000000001|96.04949999999998|74.6085|69.08449999999998|25.00000000000001|25.00000000000001|48|52
샐러디 성대입구점|34.76870588235293|47.73905882352942|33.36235294117646|25.046823529411768|20.800941176470594|11.764705882352951|61|39
생활맥주 대학로좁은골목점|25.00000000000001|91.40049999999997|82.743|85.36099999999999|58.213499999999954|25.00000000000001|49|51
서유기마라탕&훠궈 대학로점|44.601411764705865|48.87811764705883|29.52211764705883|27.235529411764713|18.047294117647063|11.764705882352951|60|40
스페이스엠|58.33999999999996|22.47199999999994|15.936999999999871|73.51699999999995|83.94899999999996|76.93599999999992|49|51
양평해장국|25.00000000000001|91.74299999999998|79.98599999999998|76.873|60.2655|25.00000000000001|55|45
엉터리생고기 대학로점|93.36099999999999|98.81999999999998|63.62749999999998|58.12799999999999|44.295999999999985|25.00000000000001|48|52
엘파소|25.00000000000001|92.04999999999998|82.3765|72.06749999999998|51.01499999999996|25.00000000000001|49|51
옛날농장 대학로점|25.00000000000001|96.93149999999997|74.26849999999999|73.69099999999999|67.74999999999996|25.00000000000001|46|54
오름|81.52599999999997|80.49149999999997|75.25449999999998|86.61299999999996|66.9695|25.00000000000001|55|45
오후홍콩 대학로점|25.00000000000001|99.26149999999997|75.61499999999997|61.984499999999976|25.00000000000001|25.00000000000001|60|40
일송칼국수|34.76870588235293|47.73905882352942|33.36235294117646|25.046823529411768|20.800941176470594|11.764705882352951|61|39
조개집|58.33999999999996|22.47199999999994|15.936999999999871|73.51699999999995|83.94899999999996|76.93599999999992|49|51
지금보고싶다 혜화대학로점|58.33999999999996|22.47199999999994|15.936999999999871|73.51699999999995|83.94899999999996|76.93599999999992|49|51
진아춘|25.00000000000001|99.26149999999997|75.61499999999997|61.984499999999976|25.00000000000001|25.00000000000001|60|40
챠코|58.33999999999996|22.47199999999994|15.936999999999871|73.51699999999995|83.94899999999996|76.93599999999992|49|51
천지주점|25.00000000000001|94.68499999999999|74.832|70.0065|69.547|25.00000000000001|47|53
천향록|11.764705882352951|48.32588235294118|30.390588235294125|20.711764705882356|11.764705882352951|11.764705882352951|59|41
초교수카페|81.52599999999997|80.49149999999997|75.25449999999998|86.61299999999996|66.9695|25.00000000000001|55|45
크래프트 혜화|81.52599999999997|80.49149999999997|75.25449999999998|86.61299999999996|66.9695|25.00000000000001|55|45
킹스커피 24시 카페|35.46635294117646|50.5510588235294|33.18117647058824|22.160000000000007|19.124705882352945|11.764705882352951|49|51
투썸플레이스 혜화로타리점|25.00000000000001|91.40049999999997|82.743|85.36099999999999|58.213499999999954|25.00000000000001|49|51
티랩제이|71.43349999999997|95.16549999999998|89.91949999999996|76.82699999999996|47.04799999999996|25.00000000000001|56|44
펍매드|93.36099999999999|98.81999999999998|63.62749999999998|58.12799999999999|44.295999999999985|25.00000000000001|48|52
포보 성균관대점|44.601411764705865|48.87811764705883|29.52211764705883|27.235529411764713|18.047294117647063|11.764705882352951|60|40
프롬하츠커피 대학로점|11.764705882352951|47.15952941176471|33.58588235294116|25.604941176470575|18.917647058823533|11.764705882352951|59|41
프루츠대학로점|44.601411764705865|48.87811764705883|29.52211764705883|27.235529411764713|18.047294117647063|11.764705882352951|60|40
혜화달손만두|11.764705882352951|48.32588235294118|30.390588235294125|20.711764705882356|11.764705882352951|11.764705882352951|59|41
후룩뽕|35.46635294117646|50.5510588235294|33.18117647058824|22.160000000000007|19.124705882352945|11.764705882352951|49|51
