,name,gubun,score,visitCount,blogCount
0,100년설렁탕 대학로점,"곰탕,설렁탕",4.17,49,2
1,개미식당,한식,4.4,239,71
2,깐베이 혜화본점,중식당,4.29,39,14
3,꼬시,일식당,4.3,62,191
4,노랑통닭 대학로점,"치킨,닭강정",4.22,280,60
5,담미온 대학로점,한식,4.15,162,16
6,대학로실내포차,술집,4.11,106,26
7,동네별장,"맥주,호프",4.28,72,30
8,동네식당,"우동,소바",4.47,140,21
9,동대문엽기떡볶이 대학로점,분식,4.3,479,60
10,따띠삼겹 성균관대점,돼지고기구이,4.52,196,11
11,딱지치기,떡볶이,4.46,109,54
12,뚜레쥬르 카페대학로점,베이커리,4.35,3062,177
13,로젤,"카페,디저트",4.29,154,18
14,롯데리아혜화점,햄버거,4.3,147,49
15,맥도날드 성균관대점,햄버거,4.42,2684,40
16,메가커피 대학로중앙점,카페,4.22,782,7
17,명분,베이커리,4.25,47,15
18,무교동 유정낙지 대학로점,낙지요리,4.17,258,33
19,버거킹 혜화역점,햄버거,4.36,4277,54
20,병천아우내순대국,"순대,순댓국",4.29,169,11
21,보리보리옥선이시골밥상,한식,4.45,181,28
22,봉구비어 대학로1호점,"맥주,호프",4.49,153,5
23,빙플,"카페,디저트",4.46,113,110
24,살롱드곱떡,떡볶이,4.17,178,65
25,샐러드박스 혜화점,"다이어트,샐러드",4.67,36,27
26,손칼국수,"칼국수,만두",4.15,36,46
27,시샤디오엠,바(BAR),4.96,21,1
28,신장군마라탕,중식당,4.34,100,94
29,싸움의고수 성균관대점,"족발,보쌈",4.36,414,15
30,써브웨이 성대점,샌드위치,4.24,732,27
31,어촌생선구이,생선구이,4.25,257,28
32,엘빈,카페,4.57,153,65
33,연어로만 혜화점,"초밥,롤",4.15,137,16
34,윈차.성대아지트,바(BAR),4.29,39,14
35,육쌈냉면 대학로점,냉면,4.13,284,44
36,이삭토스트 서울성균관대점,토스트,4.57,269,6
37,일리카페 대학로점,카페,4.47,264,23
38,춘 참치포차,생선회,4.52,37,7
39,카페김쌤,"카페,디저트",4.32,515,19
40,카페달달,"카페,디저트",4.41,166,34
41,카페더메모리,카페,4.17,28,16
42,카페코지 성대점,"카페,디저트",4.63,54,51
43,커피빈 혜화역점,카페,4.48,599,19
44,탐앤탐스 성대입구점,카페,4.18,512,25
45,피자헤븐 종로성대점,피자,4.38,147,27
46,한국관,"육류,고기요리",4.53,106,11
47,함.무바라 닭도리탕,닭볶음탕,4.46,113,110
48,혜화동콩집,카페,4.52,117,29
49,혜화몰트,양식,4.57,115,84
