name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio
943 킹스크로스CAFE|83.85166666666665|88.53099999999998|50.708999999999996|50.821666666666644|25.607999999999997|21.277666666666672|56|44
가미우동|55.57566666666665|76.61200000000001|56.973000000000006|47.10366666666665|36.57866666666664|27.359666666666666|54|46
감성타코 홍대점|65.68799999999999|81.07833333333332|50.30066666666665|49.134666666666654|37.11400000000001|26.91066666666667|53|47
개화기요정|31.78575|76.84225|34.050999999999995|27.786000000000005|23.106249999999996|17.982500000000012|48|52
경주식당|54.09666666666667|76.07466666666664|55.33733333333334|45.23099999999998|37.349|29.530666666666665|53|47
광야|55.381333333333316|75.284|56.34399999999998|38.730999999999995|32.56399999999999|26.701999999999998|59|41
금별맥주 홍대직영점|11.764705882352951|52.92964705882353|38.451764705882354|33.01247058823528|21.619529411764717|15.618823529411763|51|49
느린마을양조장 홍대점|11.764705882352951|51.41411764705881|40.582352941176474|33.72729411764707|25.821882352941184|23.603999999999996|51|49
또보겠지떡볶이집 붕붕허니비점|20.73066666666667|82.6173333333333|60.49133333333333|44.516666666666644|32.212666666666664|27.016999999999992|48|52
로쏘 1924 나폴리 화덕피자 홍대점|19.169142857142837|28.70971428571426|18.426857142857127|16.843428571428543|14.001714285714254|15.207999999999986|49|51
모센즈스위트|56.131|97.13066666666664|66.66833333333332|49.924|39.27600000000001|30.936666666666646|60|40
버터베이커리|58.849999999999994|78.37400000000001|52.06200000000001|35.97033333333332|27.334666666666653|23.761999999999983|55|45
불떡클럽 연남본점|44.110117647058814|49.599058823529404|37.733647058823514|28.188235294117646|19.531764705882356|11.764705882352951|48|52
불떡클럽 연남본점|74.675|75.49833333333332|44.04466666666665|45.494666666666674|36.047000000000004|22.60033333333333|61|39
브런치가|51.581499999999956|75.95949999999998|47.80749999999996|48.33349999999999|35.129499999999986|8.201999999999932|61|39
비스트로사랑방|39.32752941176471|50.91670588235294|35.0044705882353|21.073176470588233|16.720470588235283|11.764705882352951|58|42
빠넬로|34.71899999999999|99.30549999999995|96.83849999999995|70.62499999999997|55.001|51.874999999999986|49|51
산울림1992|20.230999999999995|98.11066666666667|74.81699999999998|68.97|68.44699999999999|47.55333333333333|56|44
상수주택|11.764705882352951|47.899294117647045|41.14917647058824|25.985882352941168|19.124235294117636|11.764705882352951|52|48
샌드커피 논탄토 연남|52.17599999999999|89.806|62.64566666666666|48.16033333333331|39.64299999999998|30.70066666666667|57|43
소코아 홍대점|39.126588235294115|49.949176470588235|31.76470588235294|25.597411764705885|20.660000000000004|11.764705882352951|57|43
스케줄합정|53.460333333333324|77.7743333333333|62.11766666666666|43.51833333333332|34.59066666666665|29.590333333333348|57|43
스테이크 슈퍼|41.500941176470576|50.92305882352941|39.098588235294116|35.03670588235293|23.633411764705887|11.764705882352951|46|54
슬로우캘리 연남본점|49.11733333333334|88.8513333333333|54.87499999999999|37.920333333333325|31.680999999999994|25.154666666666653|65|35
신미경홍대닭갈비|43.43764705882352|52.656941176470575|37.763529411764694|34.08541176470585|28.839529411764687|23.58870588235292|51|49
아오이토리|59.582333333333324|78.07266666666666|55.85399999999999|49.690000000000005|40.67433333333332|31.83566666666666|61|39
야키토리 나루토|36.803333333333335|90.41899999999997|63.15999999999998|41.76266666666665|31.850333333333346|24.482333333333344|47|53
어메이징농카이|25.00000000000001|96.41849999999998|92.87599999999998|80.18799999999996|60.04449999999998|55.69249999999995|52|48
연남물갈비|33.49914285714283|42.340571428571394|12.977142857142832|12.445714285714267|8.511714285714259|5.288857142857127|59|41
