name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio
하루|"47.44%_10|"|"52.768941176470584%_20|"|"30.30282352941176%_30|"|"22.023294117647055%_40|"|"15.835764705882344%_50|"|"12.106352941176482%_60|"|여자_59%|남자_41%
세븐돈까스|"47.44%_10|"|"52.768941176470584%_20|"|"30.30282352941176%_30|"|"22.023294117647055%_40|"|"15.835764705882344%_50|"|"12.106352941176482%_60|"|여자_59%|남자_41%
송화산시도삭면|"7.192499999999937%_10|"|"76.38649999999998%_20|"|"56.36899999999996%_30|"|"53.295499999999954%_40|"|"53.40949999999995%_50|"|"27.47599999999995%_60|"|여자_50%|남자_50%
페스타마레 건대본점|"41.585411764705846%_10|"|"51.94141176470587%_20|"|"36.97670588235293%_30|"|"33.48964705882351%_40|"|"29.577176470588217%_50|"|"23.9301176470588%_60|"|여자_52%|남자_48%
서북면옥|"15.940470588235293%_10|"|"40.772000000000006%_20|"|"47.27176470588235%_30|"|"45.84447058823529%_40|"|"42.09082352941176%_50|"|"45.135999999999996%_60|"|여자_43%|남자_57%
에스프레소바 투또톤토|"11.764705882352951%_10|"|"48.25788235294116%_20|"|"33.21717647058823%_30|"|"28.654352941176477%_40|"|"18.14023529411766%_50|"|"11.764705882352951%_60|"|여자_60%|남자_40%
매운향솥 마라탕 마라샹궈|"50.91699999999998%_10|"|"75.82633333333332%_20|"|"54.395%_30|"|"44.14399999999999%_40|"|"36.24466666666666%_50|"|"32.42233333333333%_60|"|여자_54%|남자_46%
오마카세 오사이초밥 건대본점|"32.39549999999997%_10|"|"97.68399999999995%_20|"|"47.89299999999997%_30|"|"31.70049999999997%_40|"|"32.87049999999997%_50|"|"20.436499999999974%_60|"|여자_45%|남자_55%
송화산시도삭면 2호점|"38.13999999999999%_10|"|"99.13149999999995%_20|"|"92.66099999999996%_30|"|"84.78849999999996%_40|"|"75.39349999999997%_50|"|"64.06599999999999%_60|"|여자_51%|남자_49%
마초쉐프 건대점|"45.90649999999997%_10|"|"77.64799999999997%_20|"|"37.41749999999994%_30|"|"41.95149999999999%_40|"|"42.37249999999999%_50|"|"23.378499999999974%_60|"|여자_49%|남자_51%
오코노미야키식당하나|"42.923%_10|"|"82.69966666666664%_20|"|"57.052666666666674%_30|"|"34.96899999999998%_40|"|"22.816666666666666%_50|"|"19.360333333333347%_60|"|여자_52%|남자_48%
로니로티 건대점|"66.5163333333333%_10|"|"86.9583333333333%_20|"|"53.17633333333332%_30|"|"50.7203333333333%_40|"|"47.30233333333331%_50|"|"33.94466666666663%_60|"|여자_50%|남자_50%
모츠커피|"43.336666666666645%_10|"|"79.50233333333333%_20|"|"58.25433333333333%_30|"|"42.223000000000006%_40|"|"35.089333333333336%_50|"|"23.961666666666655%_60|"|여자_59%|남자_41%
비에이치테이블|"45.909000000000006%_10|"|"78.46299999999997%_20|"|"60.11133333333333%_30|"|"51.83166666666668%_40|"|"42.891999999999996%_50|"|"30.175333333333327%_60|"|여자_63%|남자_37%
포비|"46.17533333333334%_10|"|"78.67166666666665%_20|"|"49.652666666666676%_30|"|"31.26133333333332%_40|"|"23.32599999999999%_50|"|"19.465666666666674%_60|"|여자_53%|남자_47%
오우|"32.04566666666667%_10|"|"77.03233333333333%_20|"|"46.67966666666667%_30|"|"28.70066666666667%_40|"|"26.065999999999995%_50|"|"20.204666666666647%_60|"|여자_62%|남자_38%
호야초밥참치 본점|"10.205428571428557%_10|"|"42.20828571428569%_20|"|"24.044857142857122%_30|"|"13.404285714285693%_40|"|"9.842857142857106%_50|"|"4.786857142857125%_60|"|여자_45%|남자_55%
daughter|"60.97899999999999%_10|"|"82.76933333333332%_20|"|"52.14033333333333%_30|"|"38.465999999999994%_40|"|"29.842999999999986%_50|"|"21.163000000000004%_60|"|여자_64%|남자_36%
옥루몽 어린이대공원점|"60.97899999999999%_10|"|"82.76933333333332%_20|"|"52.14033333333333%_30|"|"38.465999999999994%_40|"|"29.842999999999986%_50|"|"21.163000000000004%_60|"|여자_64%|남자_36%
릴리베이커리|"54.28099999999998%_10|"|"77.94666666666667%_20|"|"56.88966666666665%_30|"|"50.07733333333334%_40|"|"40.39033333333334%_50|"|"29.742000000000008%_60|"|여자_62%|남자_38%
송림식당|"25.00000000000001%_10|"|"87.36299999999999%_20|"|"92.15599999999998%_30|"|"93.53949999999996%_40|"|"81.38949999999998%_50|"|"78.13099999999999%_60|"|여자_41%|남자_59%
백소정 건대본점|"47.82649999999995%_10|"|"78.79499999999997%_20|"|"32.15799999999997%_30|"|"26.62849999999995%_40|"|"19.552999999999937%_50|"|"9.664499999999968%_60|"|여자_51%|남자_49%
샤오당쟈마라탕 건대점|"47.844235294117645%_10|"|"45.92211764705883%_20|"|"34.04941176470588%_30|"|"27.362588235294123%_40|"|"22.887294117647055%_50|"|"11.764705882352951%_60|"|여자_53%|남자_47%
냥토피아 카페앤샵|"46.48235294117647%_10|"|"50.220705882352945%_20|"|"26.188470588235287%_30|"|"23.89176470588234%_40|"|"18.501882352941163%_50|"|"11.764705882352951%_60|"|여자_59%|남자_41%
봉자마라탕|"35.08070588235293%_10|"|"49.85058823529409%_20|"|"40.197176470588225%_30|"|"31.275294117647046%_40|"|"26.221411764705866%_50|"|"23.695058823529394%_60|"|여자_43%|남자_57%
도쿄빙수 건대점|"69.93400000000001%_10|"|"78.586%_20|"|"43.595000000000006%_30|"|"36.883666666666684%_40|"|"27.884666666666664%_50|"|"19.957333333333345%_60|"|여자_57%|남자_43%
명봉반점|"25.785411764705863%_10|"|"47.96282352941174%_20|"|"39.73835294117646%_30|"|"36.31599999999998%_40|"|"29.88094117647058%_50|"|"28.183529411764685%_60|"|여자_48%|남자_52%
오봉집 건대점|"31.683499999999963%_10|"|"98.25049999999999%_20|"|"87.20399999999997%_30|"|"84.68849999999996%_40|"|"69.71349999999997%_50|"|"64.63249999999996%_60|"|여자_48%|남자_52%
더 클래식 500 라구뜨|"22.022352941176464%_10|"|"40.88305882352942%_20|"|"45.568705882352944%_30|"|"49.27223529411764%_40|"|"45.47976470588236%_50|"|"44.67952941176469%_60|"|여자_51%|남자_49%
민벅 건대본점|"44.304941176470585%_10|"|"51.58847058823528%_20|"|"34.38658823529412%_30|"|"31.42352941176469%_40|"|"26.823764705882354%_50|"|"22.2195294117647%_60|"|여자_51%|남자_49%
꾸아 건대점|"18.15741176470589%_10|"|"48.463294117647045%_20|"|"39.954117647058816%_30|"|"36.527294117647045%_40|"|"28.82023529411764%_50|"|"22.703529411764695%_60|"|여자_52%|남자_48%
감성타코 건대점|"58.62%_10|"|"76.10766666666667%_20|"|"51.874666666666656%_30|"|"45.26266666666667%_40|"|"34.98233333333333%_50|"|"26.636999999999983%_60|"|여자_53%|남자_47%
뽕사부|"13.781714285714273%_10|"|"30.06885714285712%_20|"|"20.35314285714285%_30|"|"19.56399999999998%_40|"|"13.518857142857119%_50|"|"9.865142857142827%_60|"|여자_46%|남자_54%
심야식당 후타리|"16.66666666666668%_10|"|"87.90666666666664%_20|"|"56.18599999999999%_30|"|"38.196000000000005%_40|"|"28.962999999999994%_50|"|"21.79466666666666%_60|"|여자_48%|남자_52%
미분당|"26.667764705882362%_10|"|"48.825176470588225%_20|"|"39.96000000000001%_30|"|"33.51552941176471%_40|"|"22.04399999999999%_50|"|"11.764705882352951%_60|"|여자_54%|남자_46%
하이디라오 건대지점|"66.82833333333333%_10|"|"75.366%_20|"|"50.70433333333334%_30|"|"41.35866666666665%_40|"|"35.50799999999998%_50|"|"29.261333333333322%_60|"|여자_60%|남자_40%
고기굽는놈|"6.938571428571398%_10|"|"36.797714285714264%_20|"|"20.24771428571426%_30|"|"14.838285714285693%_40|"|"6.939714285714256%_50|"|"4.928857142857116%_60|"|여자_42%|남자_58%
아찌떡볶이|"66.92749999999995%_10|"|"95.61199999999994%_20|"|"91.51199999999994%_30|"|"93.01499999999999%_40|"|"62.921999999999954%_50|"|"40.42400000000001%_60|"|여자_57%|남자_43%
