name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
선남sea,25.00000000000001%_10|,74.65199999999997%_20|,83.64749999999995%_30|,90.53649999999999%_40|,85.45949999999999%_50|,86.12199999999994%_60|,여자_47%,남자_53%
건대연어덮밥,42.06658823529412%_10|,51.06588235294116%_20|,28.988235294117636%_30|,19.892705882352928%_40|,16.224000000000004%_50|,11.764705882352951%_60|,여자_52%,남자_48%
라좡,25.00000000000001%_10|,99.19099999999995%_20|,73.39399999999999%_30|,64.58449999999996%_40|,44.76349999999999%_50|,25.00000000000001%_60|,여자_47%,남자_53%
바나바나,83.20149999999997%_10|,98.60499999999996%_20|,75.70949999999996%_30|,75.23649999999996%_40|,58.229499999999966%_50|,25.00000000000001%_60|,여자_55%,남자_45%
양밍위 황먼지 미판 건대본점,11.764705882352951%_10|,48.90352941176471%_20|,35.393882352941176%_30|,24.277411764705885%_40|,18.381882352941187%_50|,11.764705882352951%_60|,여자_50%,남자_50%
찜집,25.00000000000001%_10|,84.29599999999995%_20|,86.90499999999997%_30|,89.41149999999995%_40|,80.5755%_50|,77.76249999999999%_60|,여자_50%,남자_50%
알촌 건국대점,11.764705882352951%_10|,47.3764705882353%_20|,31.72141176470589%_30|,20.543294117647047%_40|,11.764705882352951%_50|,11.764705882352951%_60|,여자_53%,남자_47%
노룬산분식,11.764705882352951%_10|,47.3764705882353%_20|,31.72141176470589%_30|,20.543294117647047%_40|,11.764705882352951%_50|,11.764705882352951%_60|,여자_53%,남자_47%
순곱이네 건대점,11.764705882352951%_10|,49.208000000000006%_20|,35.966117647058816%_30|,22.12164705882353%_40|,16.680235294117654%_50|,11.764705882352951%_60|,여자_51%,남자_49%
온달집 건대점,28.291764705882354%_10|,51.23129411764704%_20|,35.66117647058824%_30|,32.87105882352941%_40|,26.29388235294117%_50|,22.370823529411773%_60|,여자_50%,남자_50%
재즈라운지,11.764705882352951%_10|,48.57976470588235%_20|,37.68682352941176%_30|,26.165176470588236%_40|,16.96047058823529%_50|,11.764705882352951%_60|,여자_51%,남자_49%
서울230,11.764705882352951%_10|,52.24658823529412%_20|,30.81458823529412%_30|,17.37341176470589%_40|,14.573411764705885%_50|,11.764705882352951%_60|,여자_49%,남자_51%
