,name,gubun,score,visitCount,blogCount
0,열매제과점,베이커리,4.69/5,방문자 리뷰_ 288,블로그 리뷰_ 267
1,지구상사 건대점,요리주점,4.31/5,방문자 리뷰_ 313,블로그 리뷰_ 72
2,건대 숯불부자곱창,"곱창,막창,양",4.84/5,방문자 리뷰_ 486,블로그 리뷰_ 243
3,느린마을양조장 건대점,요리주점,4.64/5,방문자 리뷰_ 499,블로그 리뷰_ 862
4,삼꾸미집 건대점,"육류,고기요리",4.64/5,방문자 리뷰_ 44,블로그 리뷰_ 55
5,우마이도 건대점,일본식라면,4.44/5,방문자 리뷰_ 593,"블로그 리뷰_ 1,072"
6,정통집 건대점,돼지고기구이,4.39/5,방문자 리뷰_ 260,블로그 리뷰_ 352
7,972Bar,바(BAR),4.58/5,방문자 리뷰_ 95,블로그 리뷰_ 438
8,겐로쿠우동 건대직영점,"우동,소바",4.59/5,방문자 리뷰_ 458,블로그 리뷰_ 410
9,만경상회 건대본점,요리주점,4.42/5,"방문자 리뷰_ 1,114",블로그 리뷰_ 500
10,캐치볼클럽,"카페,디저트",4.42/5,방문자 리뷰_ 332,블로그 리뷰_ 730
11,대흥양다리바베큐 건대점,양꼬치,4.35/5,방문자 리뷰_ 241,블로그 리뷰_ 190
12,원보양꼬치,양꼬치,4.56/5,방문자 리뷰_ 291,블로그 리뷰_ 478
13,꼼주,포장마차,4.54/5,방문자 리뷰_ 165,블로그 리뷰_ 196
14,드로잉레시피,양식,4.63/5,방문자 리뷰_ 363,블로그 리뷰_ 275
15,후토,이자카야,4.47/5,방문자 리뷰_ 147,블로그 리뷰_ 148
16,언리미티드,바(BAR),4.52/5,방문자 리뷰_ 201,블로그 리뷰_ 460
17,범맥주 건대점,요리주점,4.52/5,방문자 리뷰_ 122,블로그 리뷰_ 165
18,심마니,"전통,민속주점",4.22/5,방문자 리뷰_ 135,블로그 리뷰_ 160
19,처비버디,햄버거,4.22/5,방문자 리뷰_ 33,블로그 리뷰_ 12
20,매화반점,중식당,4.12/5,방문자 리뷰_ 143,블로그 리뷰_ 742
21,태태삼겹 건대점,한식,4.12/5,방문자 리뷰_ 89,블로그 리뷰_ 54
22,60년전통신촌황소곱창 건대직영점,"곱창,막창,양",4.12/5,방문자 리뷰_ 297,블로그 리뷰_ 385
23,육성회비,요리주점,4.54/5,방문자 리뷰_ 258,블로그 리뷰_ 323
24,뉴웨이브서울,와인,4.54/5,방문자 리뷰_ 123,블로그 리뷰_ 75
25,레브,"카페,디저트",4.54/5,방문자 리뷰_ 62,블로그 리뷰_ 24
26,흐릇,카페,4.75/5,방문자 리뷰_ 74,블로그 리뷰_ 44
27,폰버거,햄버거,4.63/5,방문자 리뷰_ 234,블로그 리뷰_ 196
28,새로이,요리주점,4.5/5,방문자 리뷰_ 205,블로그 리뷰_ 207
29,최신족발,"족발,보쌈",4.42/5,방문자 리뷰_ 588,블로그 리뷰_ 895
30,랑데자뷰 건대점,"카페,디저트",4.37/5,방문자 리뷰_ 484,블로그 리뷰_ 296
31,MouseRabbit,카페,4.36/5,방문자 리뷰_ 285,블로그 리뷰_ 462
32,카페 오알피하우스,"카페,디저트",4.6/5,방문자 리뷰_ 35,블로그 리뷰_ 90
33,도도곱창 건대본점,"곱창,막창,양",4.72/5,방문자 리뷰_ 550,블로그 리뷰_ 309
34,초라멘,일본식라면,4.67/5,방문자 리뷰_ 452,블로그 리뷰_ 200
35,지속,"카페,디저트",4.61/5,방문자 리뷰_ 213,블로그 리뷰_ 180
36,한식당,한식,4.66/5,방문자 리뷰_ 158,블로그 리뷰_ 49
37,오포케,"다이어트,샐러드",4.66/5,방문자 리뷰_ 455,블로그 리뷰_ 86
38,멘쇼,일본식라면,4.47/5,방문자 리뷰_ 367,블로그 리뷰_ 274
39,돕감자탕전문점,감자탕,4.41/5,방문자 리뷰_ 787,블로그 리뷰_ 745
40,해룡마라룽샤 건대점,중식당,4.52/5,방문자 리뷰_ 285,"블로그 리뷰_ 1,002"
41,수퍼슬라이더스,햄버거,4.6/5,방문자 리뷰_ 448,블로그 리뷰_ 271
42,송쉐프,중식당,4.45/5,방문자 리뷰_ 555,블로그 리뷰_ 208
43,플록,프랑스음식,4.87/5,방문자 리뷰_ 156,블로그 리뷰_ 140
44,래빗홀 버거컴퍼니,햄버거,4.66/5,방문자 리뷰_ 201,블로그 리뷰_ 229
45,부탄츄 건대점,일본식라면,4.33/5,방문자 리뷰_ 412,블로그 리뷰_ 201
46,민정식당,한식,4.35/5,방문자 리뷰_ 302,블로그 리뷰_ 213
47,정글포차,"맥주,호프",4.35/5,방문자 리뷰_ 46,블로그 리뷰_ 62
48,김창훈호프,"맥주,호프",4.35/5,방문자 리뷰_ 174,블로그 리뷰_ 76
49,로얄 인디안 레스토랑,인도음식,4.43/5,방문자 리뷰_ 303,블로그 리뷰_ 318
