name,gubun,score,visitCount,blogCount
선남sea,일식당,4.39/5,방문자 리뷰_ 742,블로그 리뷰_ 121
건대연어덮밥,일식당,4.39/5,방문자 리뷰_ 256,블로그 리뷰_ 94
라좡,양꼬치,4.38/5,방문자 리뷰_ 146,블로그 리뷰_ 142
바나바나,떡볶이,4.21/5,방문자 리뷰_ 240,블로그 리뷰_ 636
양밍위 황먼지 미판 건대본점,중식당,4.71/5,방문자 리뷰_ 96,블로그 리뷰_ 111
찜집,"아귀찜,해물찜",4.4/5,방문자 리뷰_ 630,블로그 리뷰_ 133
알촌 건국대점,퓨전음식,4.42/5,방문자 리뷰_ 284,블로그 리뷰_ 66
노룬산분식,종합분식,4.24/5,방문자 리뷰_ 142,블로그 리뷰_ 170
순곱이네 건대점,"찌개,전골",4.53/5,방문자 리뷰_ 299,블로그 리뷰_ 403
온달집 건대점,"육류,고기요리",4.29/5,방문자 리뷰_ 238,블로그 리뷰_ 77
재즈라운지,와인,4.73/5,방문자 리뷰_ 98,블로그 리뷰_ 63
서울230,"카페,디저트",4.75/5,방문자 리뷰_ 100,블로그 리뷰_ 88
아무술집 건대점,"맥주,호프",4.12/5,방문자 리뷰_ 94,블로그 리뷰_ 23
초밥짓는원숭이본점,"초밥,롤",4.34/5,방문자 리뷰_ 521,블로그 리뷰_ 187
포인트,"카페,디저트",4.57/5,방문자 리뷰_ 239,블로그 리뷰_ 155
MIXX LOUNGE BAR,바(BAR),4.57/5,방문자 리뷰_ 100,블로그 리뷰_ 250
천향마라탕,중식당,4.41/5,방문자 리뷰_ 205,블로그 리뷰_ 167
설빙 건대지점,빙수,4.29/5,"방문자 리뷰_ 2,716",블로그 리뷰_ 497
연길왕꼬치 건대점,양꼬치,4.38/5,방문자 리뷰_ 338,블로그 리뷰_ 365
새마을39운동포차,술집,4.37/5,방문자 리뷰_ 209,블로그 리뷰_ 53
함루 건대점,덮밥,4.37/5,방문자 리뷰_ 79,블로그 리뷰_ 53
환이네갈비살 본점,"육류,고기요리",4.37/5,방문자 리뷰_ 302,블로그 리뷰_ 123
대동집 건대점,요리주점,4.37/5,방문자 리뷰_ 81,블로그 리뷰_ 22
일광,이자카야,4.65/5,방문자 리뷰_ 67,블로그 리뷰_ 16
다원식당,와인,4.84/5,방문자 리뷰_ 188,블로그 리뷰_ 192
오감만족,한식,4.37/5,방문자 리뷰_ 188,블로그 리뷰_ 79
조선주막,술집,4.42/5,방문자 리뷰_ 347,블로그 리뷰_ 304
트리안 건대점,베이커리,4.45/5,방문자 리뷰_ 329,블로그 리뷰_ 133
카페704호,"카페,디저트",4.71/5,방문자 리뷰_ 122,블로그 리뷰_ 96
대곱창 건대점,"곱창,막창,양",4.85/5,방문자 리뷰_ 108,블로그 리뷰_ 217
WALPA,요리주점,4.78/5,방문자 리뷰_ 109,블로그 리뷰_ 119
강경수참치,생선회,4.62/5,방문자 리뷰_ 128,블로그 리뷰_ 72
춘천집,닭갈비,3.94/5,방문자 리뷰_ 564,블로그 리뷰_ 123
복만루,중식당,4.46/5,방문자 리뷰_ 151,블로그 리뷰_ 248
새맛식당,한식,4.49/5,방문자 리뷰_ 161,블로그 리뷰_ 75
푸오커스,이탈리아음식,4.49/5,방문자 리뷰_ 104,블로그 리뷰_ 53
꼴목,한식,4.39/5,방문자 리뷰_ 159,블로그 리뷰_ 185
롤링파스타 건대지점,이탈리아음식,4.42/5,방문자 리뷰_ 935,블로그 리뷰_ 332
난바다스시,"초밥,롤",4.42/5,방문자 리뷰_ 669,블로그 리뷰_ 69
해남닭집,"치킨,닭강정",4.53/5,방문자 리뷰_ 257,블로그 리뷰_ 113
준성이네,중식당,4.86/5,방문자 리뷰_ 244,블로그 리뷰_ 33
끼니공방 건대,일식당,4.69/5,방문자 리뷰_ 143,블로그 리뷰_ 64
춘리마라탕 구의점,중식당,4.33/5,방문자 리뷰_ 622,블로그 리뷰_ 39
콩불 건대점,"육류,고기요리",4.41/5,방문자 리뷰_ 325,블로그 리뷰_ 285
고향산천 원조 숯불닭갈비,닭갈비,4.42/5,방문자 리뷰_ 173,블로그 리뷰_ 122
선명,요리주점,4.88/5,방문자 리뷰_ 40,블로그 리뷰_ 15
에스프레소 바 시 자양점,카페,4.41/5,방문자 리뷰_ 374,블로그 리뷰_ 33
굽네치킨 구의1동점,"치킨,닭강정",4.38/5주문자리뷰 147블로그리뷰 15,"방문자 리뷰_굽네치킨 구의1동점치킨,닭강정
별점
4.38/5주문자리뷰 147",블로그 리뷰_ 15
푸른술집할라 건대점,요리주점,4.38/5주문자리뷰 147블로그리뷰 15,방문자 리뷰_ 37,블로그 리뷰_ 31
이름없는파스타 건대점,"스파게티,파스타전문",4.32/5,방문자 리뷰_ 458,블로그 리뷰_ 136
