Unnamed: 0.1|name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio
0|오첨지|"25.00000000000001%_10|"|"81.89899999999997%_20|"|"88.70849999999999%_30|"|"90.03649999999999%_40|"|"68.25099999999999%_50|"|"61.30249999999996%_60|"|여자_48%|남자_52%
1|기막힌포차|"25.00000000000001%_10|"|"81.89899999999997%_20|"|"88.70849999999999%_30|"|"90.03649999999999%_40|"|"68.25099999999999%_50|"|"61.30249999999996%_60|"|여자_48%|남자_52%
2|막불감동|"41.76999999999996%_10|"|"96.87849999999995%_20|"|"89.892%_30|"|"90.49399999999999%_40|"|"91.08849999999998%_50|"|"92.83949999999999%_60|"|여자_44%|남자_56%
3|옛날집|"25.00000000000001%_10|"|"92.94499999999996%_20|"|"86.12449999999995%_30|"|"74.46999999999996%_40|"|"70.10049999999998%_50|"|"25.00000000000001%_60|"|여자_44%|남자_56%
5|삼삼당|"22.075058823529407%_10|"|"52.17741176470588%_20|"|"42.77176470588236%_30|"|"37.31552941176471%_40|"|"28.898588235294113%_50|"|"27.459529411764706%_60|"|여자_42%|남자_58%
6|중화요리 팔공|"26.285999999999966%_10|"|"93.60549999999998%_20|"|"98.52949999999996%_30|"|"95.20749999999997%_40|"|"88.43299999999995%_50|"|"77.41699999999999%_60|"|여자_38%|남자_62%
7|coffee urban|"44.75058823529411%_10|"|"48.585411764705874%_20|"|"34.46823529411765%_30|"|"26.788705882352925%_40|"|"20.078823529411775%_50|"|"11.764705882352951%_60|"|여자_56%|남자_44%
8|전주익산|"25.00000000000001%_10|"|"92.26649999999994%_20|"|"98.69949999999996%_30|"|"84.67699999999996%_40|"|"59.9835%_50|"|"75.848%_60|"|여자_49%|남자_51%
9|강릉형제장칼국수|"39.12500000000001%_10|"|"99.52249999999998%_20|"|"94.14349999999996%_30|"|"80.76949999999997%_40|"|"67.66049999999998%_50|"|"59.316999999999986%_60|"|여자_49%|남자_51%
10|신텐|"3.793428571428535%_10|"|"35.98628571428571%_20|"|"22.29914285714282%_30|"|"16.980285714285685%_40|"|"13.176285714285704%_50|"|"9.383428571428551%_60|"|여자_45%|남자_55%
11|디자이너리 카페|"53.94666666666665%_10|"|"78.75699999999999%_20|"|"60.64866666666667%_30|"|"45.126666666666644%_40|"|"36.47666666666667%_50|"|"30.85433333333331%_60|"|여자_56%|남자_44%
12|서울갈비 신림점|"11.764705882352951%_10|"|"50.85576470588236%_20|"|"46.61670588235293%_30|"|"34.65058823529411%_40|"|"26.115294117647064%_50|"|"25.672941176470594%_60|"|여자_45%|남자_55%
13|폼앤노말|"30.614823529411773%_10|"|"51.898117647058804%_20|"|"39.00258823529412%_30|"|"22.82988235294117%_40|"|"16.58211764705883%_50|"|"16.204705882352936%_60|"|여자_57%|남자_43%
14|강강술래 신림본동점|"23.81433333333334%_10|"|"58.20600000000001%_20|"|"66.45566666666664%_30|"|"74.389%_40|"|"82.08999999999999%_50|"|"91.918%_60|"|여자_47%|남자_53%
15|만 성 찬 팅|"21.502588235294105%_10|"|"51.116470588235295%_20|"|"41.443058823529405%_30|"|"30.787294117647058%_40|"|"22.120705882352944%_50|"|"23.019764705882345%_60|"|여자_44%|남자_56%
16|생각보다맛있는집 신림점|"41.96599999999999%_10|"|"91.07599999999995%_20|"|"87.16099999999996%_30|"|"81.26899999999996%_40|"|"75.981%_50|"|"77.64999999999998%_60|"|여자_50%|남자_50%
17|하와이조개 신림본점|"11.764705882352951%_10|"|"47.83058823529412%_20|"|"45.512941176470584%_30|"|"36.04352941176471%_40|"|"25.263294117647067%_50|"|"23.382352941176464%_60|"|여자_44%|남자_56%
18|온정돈까스 본점|"53.637666666666625%_10|"|"81.42166666666664%_20|"|"69.93799999999996%_30|"|"54.00666666666666%_40|"|"37.04399999999997%_50|"|"34.64299999999999%_60|"|여자_37%|남자_63%
19|삼촌네|"14.249647058823523%_10|"|"42.9755294117647%_20|"|"47.763058823529406%_30|"|"41.71576470588235%_40|"|"25.17482352941176%_50|"|"28.432000000000006%_60|"|여자_51%|남자_49%
20|신림춘천집 본점|"27.50099999999989%_10|"|"98.44099999999992%_20|"|"66.56799999999997%_30|"|"45.43399999999988%_40|"|"31.023999999999948%_50|"|"23.26799999999996%_60|"|여자_47%|남자_53%
21|은행골 본점신관|"27.50099999999989%_10|"|"98.44099999999992%_20|"|"66.56799999999997%_30|"|"45.43399999999988%_40|"|"31.023999999999948%_50|"|"23.26799999999996%_60|"|여자_47%|남자_53%
22|아리차이|"30.567500000000013%_10|"|"92.0075%_20|"|"92.66799999999994%_30|"|"87.23749999999998%_40|"|"80.37999999999998%_50|"|"78.98399999999998%_60|"|여자_45%|남자_55%
23|원조부안집 신대방점|"25.00000000000001%_10|"|"99.69899999999996%_20|"|"86.98499999999994%_30|"|"65.87599999999996%_40|"|"46.75699999999998%_50|"|"25.00000000000001%_60|"|여자_46%|남자_54%
24|천미미|"25.00000000000001%_10|"|"84.38549999999996%_20|"|"94.46749999999994%_30|"|"88.58299999999998%_40|"|"77.6375%_50|"|"71.958%_60|"|여자_43%|남자_57%
25|서가장인곱창 신림점|"65.04999999999995%_10|"|"94.67949999999999%_20|"|"80.47049999999997%_30|"|"86.22299999999996%_40|"|"60.40249999999998%_50|"|"54.74699999999994%_60|"|여자_49%|남자_51%
26|신림황소곱창|"3.537999999999978%_10|"|"30.36999999999998%_20|"|"19.694571428571418%_30|"|"12.266285714285676%_40|"|"3.0951428571428203%_50|"|"2.8977142857142497%_60|"|여자_48%|남자_52%
27|카페신림|"34.01999999999999%_10|"|"47.971529411764706%_20|"|"36.121176470588225%_30|"|"25.797176470588234%_40|"|"17.955764705882363%_50|"|"11.764705882352951%_60|"|여자_54%|남자_46%
28|깡통닭갈비|"2.8877142857142477%_10|"|"28.952285714285686%_20|"|"19.658857142857123%_30|"|"15.023142857142824%_40|"|"8.392285714285679%_50|"|"7.314857142857116%_60|"|여자_44%|남자_56%
29|사생활|"11.764705882352951%_10|"|"49.84917647058823%_20|"|"42.03952941176471%_30|"|"32.44658823529411%_40|"|"25.360941176470586%_50|"|"18.99882352941175%_60|"|여자_55%|남자_45%
30|미림분식|"52.8235%_10|"|"86.22649999999994%_20|"|"91.40399999999995%_30|"|"89.25699999999995%_40|"|"63.292999999999964%_50|"|"48.75800000000001%_60|"|여자_51%|남자_49%
31|또순이원조순대 본점|"49.73300000000001%_10|"|"90.57249999999996%_20|"|"94.08749999999996%_30|"|"87.19549999999995%_40|"|"66.61499999999995%_50|"|"63.679499999999976%_60|"|여자_48%|남자_52%
32|솟대막걸리 양조장|"25.00000000000001%_10|"|"97.17399999999995%_20|"|"84.6295%_30|"|"69.06149999999998%_40|"|"59.567499999999974%_50|"|"56.96899999999997%_60|"|여자_47%|남자_53%
33|문성골족발집|"25.00000000000001%_10|"|"97.17399999999995%_20|"|"84.6295%_30|"|"69.06149999999998%_40|"|"59.567499999999974%_50|"|"56.96899999999997%_60|"|여자_47%|남자_53%
34|고베규카츠 신림점|"43.48094117647057%_10|"|"50.3435294117647%_20|"|"36.61952941176469%_30|"|"30.926352941176454%_40|"|"27.12588235294115%_50|"|"25.13317647058822%_60|"|여자_45%|남자_55%
35|신촌황소곱창 신림직영점|"11.764705882352951%_10|"|"47.910588235294114%_20|"|"40.026117647058825%_30|"|"30.723764705882356%_40|"|"21.99741176470589%_50|"|"11.764705882352951%_60|"|여자_49%|남자_51%
36|포크벨리|"25.00000000000001%_10|"|"82.25549999999996%_20|"|"85.77649999999994%_30|"|"76.568%_40|"|"64.09999999999997%_50|"|"67.045%_60|"|여자_46%|남자_54%
37|스턱|"25.00000000000001%_10|"|"82.25549999999996%_20|"|"85.77649999999994%_30|"|"76.568%_40|"|"64.09999999999997%_50|"|"67.045%_60|"|여자_46%|남자_54%
38|도림항|"25.00000000000001%_10|"|"94.15399999999998%_20|"|"95.09799999999998%_30|"|"81.75999999999998%_40|"|"67.52849999999997%_50|"|"61.69049999999996%_60|"|여자_45%|남자_55%
