name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio
발루토|"37.47694117647058%_10|"|"50.06447058823529%_20|"|"35.839764705882345%_30|"|"25.847294117647063%_40|"|"19.155999999999988%_50|"|"12.879764705882346%_60|"|여자_61%|남자_39%
기막힌포차|"25.00000000000001%_10|"|"93.45049999999996%_20|"|"83.47299999999998%_30|"|"70.48949999999996%_40|"|"46.51499999999996%_50|"|"48.1515%_60|"|여자_47%|남자_53%
상군이네고깃집|"25.00000000000001%_10|"|"94.00449999999995%_20|"|"81.52599999999997%_30|"|"68.99199999999998%_40|"|"49.152999999999984%_50|"|"25.00000000000001%_60|"|여자_42%|남자_58%
스시나마|"13.548857142857127%_10|"|"33.37285714285713%_20|"|"20.548857142857116%_30|"|"19.117714285714246%_40|"|"10.330571428571396%_50|"|"5.831428571428551%_60|"|여자_48%|남자_52%
부추삼겹살딱이야|"11.764705882352951%_10|"|"48.30423529411763%_20|"|"38.86635294117648%_30|"|"28.71905882352942%_40|"|"21.886352941176472%_50|"|"11.764705882352951%_60|"|여자_47%|남자_53%
신림다락|"25.00000000000001%_10|"|"98.40849999999998%_20|"|"77.36349999999995%_30|"|"50.68499999999996%_40|"|"25.00000000000001%_50|"|"25.00000000000001%_60|"|여자_55%|남자_45%
생생조개|"25.00000000000001%_10|"|"93.23049999999996%_20|"|"89.13599999999995%_30|"|"80.23249999999996%_40|"|"60.253499999999995%_50|"|"59.5955%_60|"|여자_47%|남자_53%
대원갈비|"25.00000000000001%_10|"|"90.82899999999997%_20|"|"88.76699999999995%_30|"|"83.44549999999997%_40|"|"68.59549999999996%_50|"|"69.78349999999998%_60|"|여자_44%|남자_56%
구루메키친|"11.764705882352951%_10|"|"48.88729411764706%_20|"|"41.55764705882353%_30|"|"25.814352941176466%_40|"|"15.007999999999988%_50|"|"11.764705882352951%_60|"|여자_47%|남자_53%
쿠버타코 다이닝|"25.00000000000001%_10|"|"98.72749999999999%_20|"|"82.88799999999999%_30|"|"67.44149999999996%_40|"|"61.531499999999994%_50|"|"44.67049999999998%_60|"|여자_50%|남자_50%
동학|"11.764705882352951%_10|"|"49.440941176470574%_20|"|"36.34941176470588%_30|"|"29.17505882352942%_40|"|"23.65788235294118%_50|"|"11.764705882352951%_60|"|여자_46%|남자_54%
짬뽕갑 본점|"25.00000000000001%_10|"|"93.92699999999995%_20|"|"88.69049999999997%_30|"|"82.87099999999995%_40|"|"57.1765%_50|"|"25.00000000000001%_60|"|여자_44%|남자_56%
함지박치즈등갈비 신림본점|"47.07299999999993%_10|"|"97.70899999999996%_20|"|"62.582999999999956%_30|"|"59.45399999999991%_40|"|"36.31299999999993%_50|"|"35.65799999999986%_60|"|여자_47%|남자_53%
오프 OFF|"11.764705882352951%_10|"|"51.5301176470588%_20|"|"37.707058823529415%_30|"|"16.558588235294128%_40|"|"11.764705882352951%_50|"|"11.764705882352951%_60|"|여자_47%|남자_53%
미가할매집|"11.764705882352951%_10|"|"38.34423529411764%_20|"|"43.22870588235295%_30|"|"42.707058823529415%_40|"|"44.33223529411765%_50|"|"47.75011764705881%_60|"|여자_48%|남자_52%
미나리생삼겹|"11.764705882352951%_10|"|"48.1390588235294%_20|"|"42.409411764705865%_30|"|"33.568%_40|"|"25.96847058823528%_50|"|"22.832%_60|"|여자_47%|남자_53%
고래가주 신림점|"11.764705882352951%_10|"|"51.047999999999995%_20|"|"40.66682352941177%_30|"|"27.183764705882364%_40|"|"19.554823529411753%_50|"|"20.91176470588236%_60|"|여자_44%|남자_56%
서울집 신림직영점|"11.764705882352951%_10|"|"51.047999999999995%_20|"|"40.66682352941177%_30|"|"27.183764705882364%_40|"|"19.554823529411753%_50|"|"20.91176470588236%_60|"|여자_44%|남자_56%
복돈이생고기|"11.764705882352951%_10|"|"47.58894117647059%_20|"|"38.294588235294114%_30|"|"24.070117647058822%_40|"|"11.764705882352951%_50|"|"11.764705882352951%_60|"|여자_50%|남자_50%
고기싸롱 신대방역점|"77.03399999999996%_10|"|"93.38949999999998%_20|"|"80.22749999999998%_30|"|"76.73349999999998%_40|"|"60.23049999999998%_50|"|"51.75399999999998%_60|"|여자_44%|남자_56%
쩐호우 양꼬치&샤브샤브|"29.211058823529413%_10|"|"47.83129411764705%_20|"|"37.27552941176471%_30|"|"25.545882352941184%_40|"|"21.604941176470597%_50|"|"11.764705882352951%_60|"|여자_44%|남자_56%
마뇨떡볶이|"49.33082352941175%_10|"|"46.40894117647059%_20|"|"39.028000000000006%_30|"|"38.519764705882345%_40|"|"23.62541176470589%_50|"|"18.878117647058815%_60|"|여자_48%|남자_52%
천미미|"25.00000000000001%_10|"|"84.38549999999996%_20|"|"94.46749999999994%_30|"|"88.58299999999998%_40|"|"77.6375%_50|"|"71.958%_60|"|여자_43%|남자_57%
한우마당 구로점|"25.00000000000001%_10|"|"84.38549999999996%_20|"|"94.46749999999994%_30|"|"88.58299999999998%_40|"|"77.6375%_50|"|"71.958%_60|"|여자_43%|남자_57%
제주탐하리 신림점|"25.00000000000001%_10|"|"97.80649999999999%_20|"|"87.16849999999995%_30|"|"54.893%_40|"|"25.00000000000001%_50|"|"25.00000000000001%_60|"|여자_48%|남자_52%
강남곱창이야기신림점|"25.00000000000001%_10|"|"99.82949999999998%_20|"|"82.12799999999996%_30|"|"64.0395%_40|"|"43.85549999999998%_50|"|"25.00000000000001%_60|"|여자_52%|남자_48%
라공방 신림점|"45.63341176470587%_10|"|"48.434823529411766%_20|"|"35.17129411764706%_30|"|"30.401176470588236%_40|"|"21.77129411764707%_50|"|"19.57905882352942%_60|"|여자_55%|남자_45%
방앗간|"11.764705882352951%_10|"|"47.48399999999999%_20|"|"36.27717647058824%_30|"|"25.681647058823525%_40|"|"19.112000000000005%_50|"|"11.764705882352951%_60|"|여자_59%|남자_41%
술이남|"11.764705882352951%_10|"|"50.39035294117647%_20|"|"37.12423529411764%_30|"|"20.968235294117658%_40|"|"11.832941176470573%_50|"|"11.764705882352951%_60|"|여자_52%|남자_48%
신림역전|"11.764705882352951%_10|"|"47.96117647058823%_20|"|"38.72729411764706%_30|"|"30.307999999999986%_40|"|"22.87341176470587%_50|"|"23.663999999999994%_60|"|여자_46%|남자_54%
우리 여기서만나|"25.00000000000001%_10|"|"99.90999999999997%_20|"|"80.80949999999996%_30|"|"43.75250000000001%_40|"|"25.00000000000001%_50|"|"25.00000000000001%_60|"|여자_50%|남자_50%
왕주먹|"25.00000000000001%_10|"|"95.21799999999999%_20|"|"84.75149999999995%_30|"|"62.319999999999965%_40|"|"25.00000000000001%_50|"|"25.00000000000001%_60|"|여자_47%|남자_53%
꿈당|"25.00000000000001%_10|"|"95.21799999999999%_20|"|"84.75149999999995%_30|"|"62.319999999999965%_40|"|"25.00000000000001%_50|"|"25.00000000000001%_60|"|여자_47%|남자_53%
린생사진관 신림역점|"28.608941176470594%_10|"|"49.07905882352942%_20|"|"32.45317647058823%_30|"|"25.69435294117647%_40|"|"20.50211764705883%_50|"|"11.764705882352951%_60|"|여자_50%|남자_50%
오하운 크레페 샌드위치 신림점|"20.05082352941175%_10|"|"48.14611764705884%_20|"|"37.64470588235293%_30|"|"22.371058823529403%_40|"|"11.764705882352951%_50|"|"11.764705882352951%_60|"|여자_62%|남자_38%
스시노칸도 타임스트림점|"31.70964705882354%_10|"|"48.80729411764706%_20|"|"39.54776470588234%_30|"|"34.057411764705876%_40|"|"24.735529411764716%_50|"|"11.764705882352951%_60|"|여자_52%|남자_48%
미남포차|"11.764705882352951%_10|"|"47.66564705882351%_20|"|"40.44329411764706%_30|"|"29.529882352941172%_40|"|"18.386117647058825%_50|"|"11.764705882352951%_60|"|여자_47%|남자_53%
행복한 조개 맛집|"25.00000000000001%_10|"|"87.48699999999995%_20|"|"86.89449999999995%_30|"|"77.20649999999999%_40|"|"56.70899999999999%_50|"|"54.1845%_60|"|여자_47%|남자_53%
김영자나주곰탕 본점|"25.00000000000001%_10|"|"74.85999999999996%_20|"|"84.83999999999999%_30|"|"88.80349999999994%_40|"|"79.54499999999996%_50|"|"83.08199999999997%_60|"|여자_41%|남자_59%
마티스커피|"39.22917647058823%_10|"|"49.57929411764705%_20|"|"39.13976470588236%_30|"|"29.8195294117647%_40|"|"21.001647058823533%_50|"|"16.95670588235293%_60|"|여자_53%|남자_47%
혼맛스시|"39.22917647058823%_10|"|"49.57929411764705%_20|"|"39.13976470588236%_30|"|"29.8195294117647%_40|"|"21.001647058823533%_50|"|"16.95670588235293%_60|"|여자_53%|남자_47%
엽전식당 본점|"25.00000000000001%_10|"|"94.89799999999995%_20|"|"86.53699999999994%_30|"|"71.57299999999998%_40|"|"77.1625%_50|"|"25.00000000000001%_60|"|여자_48%|남자_52%
고모네 식당|"25.00000000000001%_10|"|"93.44999999999995%_20|"|"82.11249999999995%_30|"|"77.59349999999996%_40|"|"76.68449999999997%_50|"|"25.00000000000001%_60|"|여자_45%|남자_55%
전라도시네마|"25.00000000000001%_10|"|"86.87449999999998%_20|"|"97.64199999999997%_30|"|"84.35599999999995%_40|"|"57.188999999999965%_50|"|"54.03649999999997%_60|"|여자_50%|남자_50%
찰리삼촌 포장마차|"11.764705882352951%_10|"|"50.164235294117645%_20|"|"36.63152941176471%_30|"|"25.79435294117647%_40|"|"17.22823529411763%_50|"|"11.764705882352951%_60|"|여자_48%|남자_52%
서우얼큰칼국수|"11.764705882352951%_10|"|"50.164235294117645%_20|"|"36.63152941176471%_30|"|"25.79435294117647%_40|"|"17.22823529411763%_50|"|"11.764705882352951%_60|"|여자_48%|남자_52%
꼬꼬아찌숯불치킨 신림점|"91.64449999999998%_10|"|"98.71899999999997%_20|"|"76.666%_30|"|"55.09349999999999%_40|"|"25.00000000000001%_50|"|"25.00000000000001%_60|"|여자_51%|남자_49%
캠핑키친|"25.00000000000001%_10|"|"98.61649999999996%_20|"|"85.46399999999996%_30|"|"73.1295%_40|"|"49.67500000000001%_50|"|"49.394499999999994%_60|"|여자_47%|남자_53%
시티버거 신림점|"25.00000000000001%_10|"|"95.69549999999995%_20|"|"82.892%_30|"|"61.20799999999996%_40|"|"25.00000000000001%_50|"|"25.00000000000001%_60|"|여자_47%|남자_53%
노란집|"25.00000000000001%_10|"|"98.86999999999998%_20|"|"86.51549999999999%_30|"|"72.88149999999996%_40|"|"49.69749999999999%_50|"|"25.00000000000001%_60|"|여자_59%|남자_41%
