name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
싸다김밥 신림역점,25.00000000000001%_10|,96.40249999999997%_20|,83.92299999999999%_30|,68.90499999999997%_40|,53.7965%_50|,25.00000000000001%_60|,여자_51%,남자_49%
홍미닭발,25.00000000000001%_10|,96.40249999999997%_20|,83.92299999999999%_30|,68.90499999999997%_40|,53.7965%_50|,25.00000000000001%_60|,여자_51%,남자_49%
레드제플린,25.00000000000001%_10|,96.40249999999997%_20|,83.92299999999999%_30|,68.90499999999997%_40|,53.7965%_50|,25.00000000000001%_60|,여자_51%,남자_49%
지기네불닭발 본점,25.00000000000001%_10|,96.40249999999997%_20|,83.92299999999999%_30|,68.90499999999997%_40|,53.7965%_50|,25.00000000000001%_60|,여자_51%,남자_49%
만끽,25.00000000000001%_10|,96.40249999999997%_20|,83.92299999999999%_30|,68.90499999999997%_40|,53.7965%_50|,25.00000000000001%_60|,여자_51%,남자_49%
맥도날드 신림점,67.71799999999998%_10|,96.04749999999997%_20|,84.75449999999998%_30|,69.5025%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_52%,남자_48%
버거앤프라이즈 신대방역점,67.261%_10|,96.80549999999995%_20|,84.12799999999994%_30|,68.32749999999996%_40|,44.85749999999998%_50|,25.00000000000001%_60|,여자_51%,남자_49%
황해도빈대떡,25.00000000000001%_10|,86.43399999999998%_20|,81.00349999999999%_30|,82.1445%_40|,68.85749999999999%_50|,25.00000000000001%_60|,여자_43%,남자_57%
씬챠호,25.00000000000001%_10|,86.43399999999998%_20|,81.00349999999999%_30|,82.1445%_40|,68.85749999999999%_50|,25.00000000000001%_60|,여자_43%,남자_57%
북경반점,25.00000000000001%_10|,87.87949999999996%_20|,84.15449999999998%_30|,80.006%_40|,61.410499999999956%_50|,25.00000000000001%_60|,여자_40%,남자_60%
미자네,48.718999999999994%_10|,83.31249999999999%_20|,90.98349999999996%_30|,83.52799999999996%_40|,59.66749999999996%_50|,56.34899999999996%_60|,여자_48%,남자_52%
똥개네퓨전포차,48.718999999999994%_10|,83.31249999999999%_20|,90.98349999999996%_30|,83.52799999999996%_40|,59.66749999999996%_50|,56.34899999999996%_60|,여자_48%,남자_52%
푸짐한식당,48.718999999999994%_10|,83.31249999999999%_20|,90.98349999999996%_30|,83.52799999999996%_40|,59.66749999999996%_50|,56.34899999999996%_60|,여자_48%,남자_52%
맛사랑쭈꾸미 신림점,0%_10|,0%_10|,0%_10|,0%_10|,0%_10|,0%_10|,0%_10|,0%_10|
와이낫,0%_10|,0%_10|,0%_10|,0%_10|,0%_10|,0%_10|,0%_10|,0%_10|
여수집,44.28999999999998%_10|,78.257%_20|,89.57399999999996%_30|,95.13399999999996%_40|,76.10899999999997%_50|,64.37249999999997%_60|,여자_49%,남자_51%
훌랄라 참숯바베큐치킨 신림역점,44.28999999999998%_10|,78.257%_20|,89.57399999999996%_30|,95.13399999999996%_40|,76.10899999999997%_50|,64.37249999999997%_60|,여자_49%,남자_51%
스태미나식당,44.28999999999998%_10|,78.257%_20|,89.57399999999996%_30|,95.13399999999996%_40|,76.10899999999997%_50|,64.37249999999997%_60|,여자_49%,남자_51%
샤브로21 대학동점,44.28999999999998%_10|,78.257%_20|,89.57399999999996%_30|,95.13399999999996%_40|,76.10899999999997%_50|,64.37249999999997%_60|,여자_49%,남자_51%
카페온정,60.26399999999996%_10|,99.90649999999998%_20|,77.80550000000001%_30|,55.89549999999996%_40|,59.132%_50|,25.00000000000001%_60|,여자_57%,남자_43%
술비,25.00000000000001%_10|,98.14099999999995%_20|,81.94299999999997%_30|,55.65699999999999%_40|,32.106999999999985%_50|,25.00000000000001%_60|,여자_51%,남자_49%
페이브베이커리 서울대점,25.00000000000001%_10|,98.14099999999995%_20|,81.94299999999997%_30|,55.65699999999999%_40|,32.106999999999985%_50|,25.00000000000001%_60|,여자_51%,남자_49%
불타는꼬꼬발 신림본점,25.00000000000001%_10|,94.68349999999994%_20|,83.51699999999997%_30|,80.193%_40|,53.64099999999997%_50|,25.00000000000001%_60|,여자_51%,남자_49%
옛날집,25.00000000000001%_10|,92.94499999999996%_20|,86.12449999999995%_30|,74.46999999999996%_40|,70.10049999999998%_50|,25.00000000000001%_60|,여자_44%,남자_56%
틈새라면 신림점,25.00000000000001%_10|,98.01349999999994%_20|,84.15399999999997%_30|,53.776999999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_50%,남자_50%
통큰갈비 신림점,61.910499999999956%_10|,93.97849999999998%_20|,79.06349999999999%_30|,84.96099999999997%_40|,47.54499999999999%_50|,41.77399999999996%_60|,여자_42%,남자_58%
두리닭발앤쪽갈비,25.00000000000001%_10|,95.35099999999998%_20|,81.006%_30|,72.96799999999996%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_52%,남자_48%
은행나무갈매기 신림점,25.00000000000001%_10|,95.35099999999998%_20|,81.006%_30|,72.96799999999996%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_52%,남자_48%
종로곱창,25.00000000000001%_10|,96.86199999999997%_20|,82.01699999999998%_30|,67.09299999999999%_40|,53.789999999999985%_50|,25.00000000000001%_60|,여자_49%,남자_51%
나는남자닭 신림본점,25.00000000000001%_10|,96.86199999999997%_20|,82.01699999999998%_30|,67.09299999999999%_40|,53.789999999999985%_50|,25.00000000000001%_60|,여자_49%,남자_51%
땡초우동 신림점,25.00000000000001%_10|,96.86199999999997%_20|,82.01699999999998%_30|,67.09299999999999%_40|,53.789999999999985%_50|,25.00000000000001%_60|,여자_49%,남자_51%
냥빵,25.00000000000001%_10|,96.86199999999997%_20|,82.01699999999998%_30|,67.09299999999999%_40|,53.789999999999985%_50|,25.00000000000001%_60|,여자_49%,남자_51%
술밤,25.00000000000001%_10|,96.48299999999995%_20|,82.31899999999996%_30|,55.59049999999996%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_47%,남자_53%
정남옥 신림점,25.00000000000001%_10|,89.15849999999995%_20|,88.27049999999994%_30|,76.7725%_40|,61.16649999999999%_50|,25.00000000000001%_60|,여자_41%,남자_59%
종가할머니보쌈,25.00000000000001%_10|,86.86699999999999%_20|,82.75799999999998%_30|,80.4365%_40|,70.68249999999996%_50|,71.0565%_60|,여자_44%,남자_56%
구영회참치앤초밥 신림점,25.00000000000001%_10|,86.86699999999999%_20|,82.75799999999998%_30|,80.4365%_40|,70.68249999999996%_50|,71.0565%_60|,여자_44%,남자_56%
효자골감자탕,25.00000000000001%_10|,86.86699999999999%_20|,82.75799999999998%_30|,80.4365%_40|,70.68249999999996%_50|,71.0565%_60|,여자_44%,남자_56%
소년의 레시피,30.70776470588234%_10|,47.674588235294124%_20|,39.19670588235294%_30|,25.311058823529407%_40|,16.56305882352942%_50|,11.764705882352951%_60|,여자_52%,남자_48%
샐러데이즈 신대방역점,25.00000000000001%_10|,94.98299999999995%_20|,78.53799999999997%_30|,61.187999999999995%_40|,53.83749999999996%_50|,25.00000000000001%_60|,여자_63%,남자_37%
디지지,25.00000000000001%_10|,94.98299999999995%_20|,78.53799999999997%_30|,61.187999999999995%_40|,53.83749999999996%_50|,25.00000000000001%_60|,여자_63%,남자_37%
미나리삼겹살,25.00000000000001%_10|,89.50099999999996%_20|,89.99949999999998%_30|,74.34299999999998%_40|,55.644999999999975%_50|,44.43499999999999%_60|,여자_48%,남자_52%
5dining,25.00000000000001%_10|,89.50099999999996%_20|,89.99949999999998%_30|,74.34299999999998%_40|,55.644999999999975%_50|,44.43499999999999%_60|,여자_48%,남자_52%
카미사토,25.00000000000001%_10|,89.50099999999996%_20|,89.99949999999998%_30|,74.34299999999998%_40|,55.644999999999975%_50|,44.43499999999999%_60|,여자_48%,남자_52%
빠사삭튀김포차,25.00000000000001%_10|,89.50099999999996%_20|,89.99949999999998%_30|,74.34299999999998%_40|,55.644999999999975%_50|,44.43499999999999%_60|,여자_48%,남자_52%
더진국수육국밥 신림점,11.764705882352951%_10|,48.152941176470584%_20|,35.90070588235294%_30|,25.072941176470582%_40|,20.271294117647066%_50|,11.764705882352951%_60|,여자_42%,남자_58%
서가장인곱창 신림점,65.04999999999995%_10|,94.67949999999999%_20|,80.47049999999997%_30|,86.22299999999996%_40|,60.40249999999998%_50|,54.74699999999994%_60|,여자_49%,남자_51%
불타는꼬꼬발 신림직영점,25.00000000000001%_10|,94.12999999999995%_20|,84.09699999999994%_30|,78.39249999999996%_40|,51.20449999999997%_50|,25.00000000000001%_60|,여자_51%,남자_49%
콘타이 타임스트림점,25.00000000000001%_10|,94.2315%_20|,86.45499999999997%_30|,71.23949999999999%_40|,45.64349999999999%_50|,25.00000000000001%_60|,여자_55%,남자_45%
포도원삼계탕,25.00000000000001%_10|,89.05849999999995%_20|,89.33899999999997%_30|,78.22399999999999%_40|,67.6725%_50|,71.00699999999996%_60|,여자_48%,남자_52%
오장동흥남집 신림직영점,25.00000000000001%_10|,74.00899999999997%_20|,83.17799999999995%_30|,85.14549999999996%_40|,74.49549999999996%_50|,82.195%_60|,여자_45%,남자_55%
