name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
지리산토종흑돼지구이,0%_10|,0%_10|,0%_10|,0%_10|,0%_10|,0%_10|,0%_10|,0%_10|
긴자료코 신림점,25.00000000000001%_10|,96.28599999999994%_20|,85.22549999999998%_30|,64.22699999999996%_40|,41.03250000000001%_50|,25.00000000000001%_60|,여자_47%,남자_53%
한마음정육식당 서울 신림점,25.00000000000001%_10|,84.16549999999997%_20|,85.68399999999995%_30|,77.9305%_40|,58.51399999999999%_50|,25.00000000000001%_60|,여자_45%,남자_55%
사이공본가 신림점,25.00000000000001%_10|,92.612%_20|,83.09899999999996%_30|,73.57099999999997%_40|,67.91%_50|,25.00000000000001%_60|,여자_52%,남자_48%
양평동 장군집 신림역점,25.00000000000001%_10|,92.612%_20|,83.09899999999996%_30|,73.57099999999997%_40|,67.91%_50|,25.00000000000001%_60|,여자_52%,남자_48%
흥부보쌈,25.00000000000001%_10|,92.612%_20|,83.09899999999996%_30|,73.57099999999997%_40|,67.91%_50|,25.00000000000001%_60|,여자_52%,남자_48%
명태어장 난곡점,25.00000000000001%_10|,54.00599999999998%_20|,80.79699999999998%_30|,88.90249999999996%_40|,81.12449999999997%_50|,83.14349999999996%_60|,여자_50%,남자_50%
대홍샤브샤브,25.00000000000001%_10|,93.61099999999996%_20|,80.64249999999998%_30|,65.62549999999999%_40|,46.370499999999964%_50|,25.00000000000001%_60|,여자_51%,남자_49%
와인어클락 신림점,25.00000000000001%_10|,99.70899999999996%_20|,81.59799999999998%_30|,59.66799999999998%_40|,37.111%_50|,25.00000000000001%_60|,여자_52%,남자_48%
남도,25.00000000000001%_10|,99.70899999999996%_20|,81.59799999999998%_30|,59.66799999999998%_40|,37.111%_50|,25.00000000000001%_60|,여자_52%,남자_48%
지리산삼계탕,25.00000000000001%_10|,86.06599999999995%_20|,83.7995%_30|,80.59999999999998%_40|,73.32049999999998%_50|,78.71099999999996%_60|,여자_46%,남자_54%
까페달달스콘,25.00000000000001%_10|,94.75599999999997%_20|,80.649%_30|,83.50949999999997%_40|,47.82849999999998%_50|,25.00000000000001%_60|,여자_58%,남자_42%
두끼 신림역점,25.00000000000001%_10|,94.75599999999997%_20|,80.649%_30|,83.50949999999997%_40|,47.82849999999998%_50|,25.00000000000001%_60|,여자_58%,남자_42%
설빙 신림점,25.00000000000001%_10|,94.75599999999997%_20|,80.649%_30|,83.50949999999997%_40|,47.82849999999998%_50|,25.00000000000001%_60|,여자_58%,남자_42%
유가네닭갈비 신림점,25.00000000000001%_10|,94.84049999999996%_20|,81.53549999999996%_30|,68.0525%_40|,48.24549999999998%_50|,25.00000000000001%_60|,여자_50%,남자_50%
스타벅스 신림타임스트림점,73.43799999999999%_10|,97.716%_20|,87.70749999999995%_30|,71.76549999999996%_40|,45.62149999999996%_50|,39.631000000000014%_60|,여자_60%,남자_40%
지구상사 신림점,11.764705882352951%_10|,51.300000000000004%_20|,23.487294117647068%_30|,19.788941176470594%_40|,16.945411764705888%_50|,11.764705882352951%_60|,여자_53%,남자_47%
만리성,11.764705882352951%_10|,51.300000000000004%_20|,23.487294117647068%_30|,19.788941176470594%_40|,16.945411764705888%_50|,11.764705882352951%_60|,여자_53%,남자_47%
불티나는 전집,25.00000000000001%_10|,91.29399999999995%_20|,81.04949999999998%_30|,74.73899999999998%_40|,57.15499999999999%_50|,25.00000000000001%_60|,여자_45%,남자_55%
수해복마라탕 서울대점,91.65149999999997%_10|,97.40999999999997%_20|,69.24599999999995%_30|,62.04799999999997%_40|,54.5745%_50|,25.00000000000001%_60|,여자_54%,남자_46%
애견동반식당 사랑봄,36.81105882352941%_10|,47.24447058823529%_20|,39.79905882352941%_30|,31.94588235294116%_40|,25.15952941176471%_50|,17.837411764705884%_60|,여자_52%,남자_48%
우리집팔당닭발 신림점,25.00000000000001%_10|,90.15349999999997%_20|,89.47349999999994%_30|,63.75049999999997%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_54%,남자_46%
서울대학교 호암교수회관,25.00000000000001%_10|,90.15349999999997%_20|,89.47349999999994%_30|,63.75049999999997%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_54%,남자_46%
옛마을 구로디지털역점,25.00000000000001%_10|,90.15349999999997%_20|,89.47349999999994%_30|,63.75049999999997%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_54%,남자_46%
더빈마켓,25.00000000000001%_10|,90.15349999999997%_20|,89.47349999999994%_30|,63.75049999999997%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_54%,남자_46%
소보로,25.00000000000001%_10|,82.30249999999998%_20|,77.4575%_30|,79.59049999999999%_40|,88.28399999999993%_50|,25.00000000000001%_60|,여자_50%,남자_50%
스시락,25.00000000000001%_10|,82.30249999999998%_20|,77.4575%_30|,79.59049999999999%_40|,88.28399999999993%_50|,25.00000000000001%_60|,여자_50%,남자_50%
모녀,25.00000000000001%_10|,99.51449999999997%_20|,82.42249999999999%_30|,51.05449999999998%_40|,42.10799999999996%_50|,25.00000000000001%_60|,여자_48%,남자_52%
봉용파절이삼겹살,25.00000000000001%_10|,99.51449999999997%_20|,82.42249999999999%_30|,51.05449999999998%_40|,42.10799999999996%_50|,25.00000000000001%_60|,여자_48%,남자_52%
숯총각꼼장어닭발 신림점,25.00000000000001%_10|,90.63399999999996%_20|,83.47599999999996%_30|,74.375%_40|,53.830999999999996%_50|,25.00000000000001%_60|,여자_47%,남자_53%
신림동 피자집,25.00000000000001%_10|,90.63399999999996%_20|,83.47599999999996%_30|,74.375%_40|,53.830999999999996%_50|,25.00000000000001%_60|,여자_47%,남자_53%
어사출또 신림역점,25.00000000000001%_10|,95.86449999999999%_20|,80.89949999999999%_30|,75.88199999999998%_40|,65.98399999999997%_50|,62.209999999999965%_60|,여자_44%,남자_56%
시골장칼국수,25.00000000000001%_10|,95.86449999999999%_20|,80.89949999999999%_30|,75.88199999999998%_40|,65.98399999999997%_50|,62.209999999999965%_60|,여자_44%,남자_56%
밀리언버거,25.00000000000001%_10|,95.88199999999999%_20|,83.78749999999998%_30|,69.18849999999996%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_48%,남자_52%
