name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
미분당 신사점,29.256705882352946%_10|,47.58776470588234%_20|,41.23858823529411%_30|,34.502117647058824%_40|,22.983294117647045%_50|,20.014117647058825%_60|,여자_54%,남자_46%
미드타운,46.62666666666666%_10|,76.024%_20|,53.87066666666666%_30|,34.602666666666664%_40|,27.34433333333334%_50|,19.47499999999998%_60|,여자_59%,남자_41%
솔솥 청담점,3.302571428571393%_10|,32.120857142857126%_20|,24.73628571428569%_30|,14.084857142857121%_40|,8.882571428571406%_50|,4.20828571428568%_60|,여자_60%,남자_40%
플디 도산점,39.304705882352934%_10|,51.33882352941176%_20|,37.355764705882336%_30|,23.883294117647065%_40|,17.27388235294117%_50|,14.001647058823522%_60|,여자_66%,남자_34%
양철지붕,25.00000000000001%_10|,98.26149999999997%_20|,88.72249999999995%_30|,75.24799999999996%_40|,41.84399999999997%_50|,39.74199999999999%_60|,여자_52%,남자_48%
고반식당 가로수길점,11.764705882352951%_10|,50.468941176470594%_20|,41.54611764705883%_30|,34.87905882352942%_40|,28.291764705882354%_50|,22.501882352941166%_60|,여자_48%,남자_52%
디저트로이,41.218823529411765%_10|,51.27741176470588%_20|,37.960941176470584%_30|,28.14941176470589%_40|,24.237882352941163%_50|,11.764705882352951%_60|,여자_59%,남자_41%
스시 이토,33.82566666666668%_10|,77.697%_20|,65.94033333333333%_30|,41.68933333333331%_40|,34.071%_50|,30.110666666666653%_60|,여자_42%,남자_58%
카페 노티드 신사 옐로우바스켓 팝업,56.67933333333334%_10|,79.3663333333333%_20|,61.40933333333331%_30|,56.06666666666666%_40|,40.35499999999998%_50|,29.955999999999978%_60|,여자_63%,남자_37%
소각,11.764705882352951%_10|,49.055764705882346%_20|,37.77411764705882%_30|,29.822823529411775%_40|,24.94470588235293%_50|,11.764705882352951%_60|,여자_58%,남자_42%
Poke all day 포케&샐러드 신사점,51.648333333333326%_10|,80.78533333333333%_20|,55.837666666666664%_30|,37.91366666666666%_40|,30.618666666666677%_50|,24.533999999999978%_60|,여자_67%,남자_33%
쉐이크쉑 청담점,36.45341176470589%_10|,50.34282352941175%_20|,43.870588235294115%_30|,37.36141176470588%_40|,25.42752941176471%_50|,23.208705882352934%_60|,여자_53%,남자_47%
볼피노,25.00000000000001%_10|,99.76099999999995%_20|,98.45499999999998%_30|,69.25399999999996%_40|,54.455499999999965%_50|,48.44549999999996%_60|,여자_55%,남자_45%
씨네드쉐프 압구정,37.4270588235294%_10|,52.411529411764676%_20|,47.15505882352938%_30|,39.102588235294085%_40|,30.85058823529409%_50|,25.619529411764674%_60|,여자_51%,남자_49%
닭으로가 압구정본점,75.24649999999995%_10|,96.40649999999997%_20|,88.30549999999995%_30|,76.08049999999996%_40|,56.30849999999994%_50|,54.58999999999998%_60|,여자_54%,남자_46%
식물성 도산,29.097176470588227%_10|,47.80894117647059%_20|,38.882823529411745%_30|,30.796235294117647%_40|,23.708941176470596%_50|,11.764705882352951%_60|,여자_55%,남자_45%
소적두 압구정점,17.259999999999945%_10|,86.33799999999994%_20|,75.1629999999999%_30|,67.50099999999993%_40|,49.653999999999876%_50|,37.151999999999965%_60|,여자_55%,남자_45%
스시사카우,11.764705882352951%_10|,47.427294117647065%_20|,41.07576470588234%_30|,26.991058823529418%_40|,22.212941176470576%_50|,11.764705882352951%_60|,여자_49%,남자_51%
서울러,11.764705882352951%_10|,47.69341176470588%_20|,40.162117647058814%_30|,28.536470588235304%_40|,20.72399999999999%_50|,11.764705882352951%_60|,여자_55%,남자_45%
뻐꾸기 본점,11.764705882352951%_10|,48.9644705882353%_20|,43.42588235294116%_30|,34.045647058823526%_40|,17.47576470588235%_50|,11.764705882352951%_60|,여자_52%,남자_48%
더 키친 일뽀르노 청담점,39.673%_10|,88.11299999999996%_20|,98.01099999999998%_30|,90.46949999999995%_40|,82.28549999999998%_50|,76.6895%_60|,여자_53%,남자_47%
사이,6.348470588235301%_10|,52.490117647058824%_20|,45.86988235294117%_30|,30.85247058823529%_40|,23.901176470588233%_50|,17.17411764705882%_60|,여자_48%,남자_52%
더페이머스버거 압구정점,62.97466666666664%_10|,82.54433333333331%_20|,58.965999999999994%_30|,46.37566666666666%_40|,33.56766666666665%_50|,26.32233333333333%_60|,여자_53%,남자_47%
홍미닭발 신사본점,58.29149999999997%_10|,99.30649999999999%_20|,88.52249999999997%_30|,87.85749999999994%_40|,64.6725%_50|,47.27999999999997%_60|,여자_56%,남자_44%
르알래스카 가로수길 본점,60.85449999999996%_10|,97.93049999999994%_20|,84.17899999999997%_30|,79.85699999999999%_40|,62.01699999999997%_50|,48.262999999999984%_60|,여자_58%,남자_42%
오르비에토,25.38870588235295%_10|,49.29647058823528%_20|,41.72682352941177%_30|,21.274588235294107%_40|,17.75529411764705%_50|,11.764705882352951%_60|,여자_53%,남자_47%
한일관 압구정점,18.83505882352942%_10|,38.159058823529406%_20|,42.886823529411764%_30|,42.37905882352941%_40|,42.2515294117647%_50|,49.85176470588235%_60|,여자_49%,남자_51%
우텐더,25.00000000000001%_10|,91.06149999999998%_20|,94.17199999999994%_30|,77.06449999999995%_40|,54.10749999999995%_50|,25.00000000000001%_60|,여자_51%,남자_49%
카페그라쎄,25.00000000000001%_10|,93.50299999999997%_20|,85.51799999999994%_30|,72.90099999999997%_40|,59.60099999999999%_50|,25.00000000000001%_60|,여자_60%,남자_40%
윌비 가로수길점,36.133647058823534%_10|,47.184470588235286%_20|,38.475999999999985%_30|,32.12423529411764%_40|,20.07341176470589%_50|,11.764705882352951%_60|,여자_62%,남자_38%
바랗,25.00000000000001%_10|,70.13149999999999%_20|,89.97899999999994%_30|,96.22649999999996%_40|,92.79949999999995%_50|,85.96749999999994%_60|,여자_45%,남자_55%
모던오뎅,11.764705882352951%_10|,48.72658823529412%_20|,42.82823529411763%_30|,27.913647058823525%_40|,18.880235294117647%_50|,11.764705882352951%_60|,여자_55%,남자_45%
Ginos NY Pizza 압구정점,61.163000000000004%_10|,97.29849999999998%_20|,90.75049999999997%_30|,74.1335%_40|,54.09%_50|,25.00000000000001%_60|,여자_50%,남자_50%
구들,11.764705882352951%_10|,48.827529411764694%_20|,45.05364705882353%_30|,33.29270588235294%_40|,26.736470588235296%_50|,11.764705882352951%_60|,여자_54%,남자_46%
온천집 스키야키,6.065999999999969%_10|,32.18914285714284%_20|,28.705999999999964%_30|,25.379714285714268%_40|,15.370285714285703%_50|,9.91999999999996%_60|,여자_61%,남자_39%
