name,gubun,score,blogCount,visitCount
런던 베이글 뮤지엄 도산점,베이커리,none,방문자 리뷰_ 68,블로그 리뷰_ 205
꽁티드툴레아,브런치,none,"방문자 리뷰_ 2,671","블로그 리뷰_ 2,421"
뉴만두집,만두,4.36/5,방문자 리뷰_ 958,블로그 리뷰_ 694
카페무니 압구정본점,"카페,디저트",4.36/5,방문자 리뷰_ 229,블로그 리뷰_ 441
포스터리 베이커,케이크전문,4.36/5,방문자 리뷰_ 267,블로그 리뷰_ 245
압구정하루,일식당,4.36/5,"방문자 리뷰_ 2,079","블로그 리뷰_ 1,537"
온기정,일식당,4.3/5,"방문자 리뷰_ 1,337",블로그 리뷰_ 949
카페 노티드 청담,카페,4.44/5,"방문자 리뷰_ 15,152","블로그 리뷰_ 5,692"
미미면가,일식당,4.27/5,"방문자 리뷰_ 1,396","블로그 리뷰_ 1,853"
리틀넥 청담,이탈리아음식,4.5/5,"방문자 리뷰_ 2,087","블로그 리뷰_ 3,280"
호족반,한식,4.34/5,"방문자 리뷰_ 1,450","블로그 리뷰_ 1,643"
까폼,태국음식,4.52/5,"방문자 리뷰_ 1,405","블로그 리뷰_ 1,228"
쮸즈,"딤섬,중식만두",4.38/5,"방문자 리뷰_ 1,421","블로그 리뷰_ 2,087"
아우어베이커리 가로수길점,베이커리,4.46/5,"방문자 리뷰_ 3,078","블로그 리뷰_ 1,832"
벽돌해피푸드 압구정점,중식당,4.46/5,방문자 리뷰_ 521,블로그 리뷰_ 700
달마시안,양식,4.46/5,방문자 리뷰_ 662,블로그 리뷰_ 924
묵전,"전통,민속주점",4.45/5,방문자 리뷰_ 697,블로그 리뷰_ 744
삼원가든,한식,4.45/5,방문자 리뷰_ 477,블로그 리뷰_ 429
카멜커피,"카페,디저트",4.43/5,"방문자 리뷰_ 1,582","블로그 리뷰_ 1,087"
달래해장,한식,4.43/5,방문자 리뷰_ 289,블로그 리뷰_ 207
오스테리아 꼬또 압구정점,이탈리아음식,4.43/5,"방문자 리뷰_ 1,121","블로그 리뷰_ 1,169"
마일스톤 커피,카페,4.62/5,"방문자 리뷰_ 1,520","블로그 리뷰_ 1,325"
플레이버스 바이 바프,양식,4.62/5,방문자 리뷰_ 47,블로그 리뷰_ 57
올리버,일식당,4.62/5,방문자 리뷰_ 45,블로그 리뷰_ 35
대막,일식당,4.43/5,방문자 리뷰_ 844,"블로그 리뷰_ 1,435"
신사전,"전,빈대떡",4.31/5,방문자 리뷰_ 520,블로그 리뷰_ 394
우와,일식당,4.48/5,방문자 리뷰_ 870,"블로그 리뷰_ 1,221"
다운타우너 청담,햄버거,4.61/5,"방문자 리뷰_ 3,039","블로그 리뷰_ 2,813"
아베크 청담,양식,4.39/5,방문자 리뷰_ 412,블로그 리뷰_ 589
뉴욕라츠오베이글스,베이글,4.53/5,"방문자 리뷰_ 1,324",블로그 리뷰_ 543
한올,양식,4.53/5,방문자 리뷰_ 38,블로그 리뷰_ 24
무탄,중식당,4.36/5,"방문자 리뷰_ 1,630","블로그 리뷰_ 1,299"
브루클린더버거조인트 가로수길점,햄버거,4.48/5,"방문자 리뷰_ 1,769","블로그 리뷰_ 2,479"
파넬,양식,4.17/5,방문자 리뷰_ 875,블로그 리뷰_ 847
뱃고동,낙지요리,4.28/5,"방문자 리뷰_ 2,156","블로그 리뷰_ 1,468"
핫쵸,일식당,4.46/5,방문자 리뷰_ 375,블로그 리뷰_ 480
르브런쉭 신사점,브런치,4.34/5,방문자 리뷰_ 625,블로그 리뷰_ 805
샌드커피 논탄토 신사,카페,4.47/5,방문자 리뷰_ 617,블로그 리뷰_ 763
다이닝 목로,요리주점,4.65/5,방문자 리뷰_ 388,블로그 리뷰_ 546
클랩피자 청담점,피자,4.52/5,"방문자 리뷰_ 2,428","블로그 리뷰_ 1,275"
카츠바이콘반,일식당,4.58/5,"방문자 리뷰_ 1,081","블로그 리뷰_ 1,124"
콴안다오,베트남음식,4.52/5,"방문자 리뷰_ 1,358","블로그 리뷰_ 1,170"
지아니스나폴리 가로수길점,이탈리아음식,4.35/5,방문자 리뷰_ 348,블로그 리뷰_ 779
카이센동 우니도,일식당,4.84/5,방문자 리뷰_ 380,블로그 리뷰_ 236
도산맘마미아,"카페,디저트",4.36/5,"방문자 리뷰_ 2,086","블로그 리뷰_ 2,408"
도산분식 도산공원점,종합분식,4.23/5,"방문자 리뷰_ 1,078","블로그 리뷰_ 1,665"
한추,"맥주,호프",4.19/5,방문자 리뷰_ 812,"블로그 리뷰_ 1,671"
선데이 버거 클럽,햄버거,4.53/5,방문자 리뷰_ 622,블로그 리뷰_ 565
맥주덕후 피자덕후,피자,4.92/5,방문자 리뷰_ 952,블로그 리뷰_ 621
텍사스데브라질 압구정점,"스테이크,립",4.33/5,"방문자 리뷰_ 3,399",블로그 리뷰_ 619
