name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
스타벅스 동숭길입구점,25.00000000000001%_10|,96.23549999999994%_20|,73.23049999999995%_30|,68.72599999999998%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_62%,남자_38%
탕화쿵푸마라탕 대학로점,48.633411764705876%_10|,48.72823529411765%_20|,27.436%_30|,25.760470588235286%_40|,19.907058823529418%_50|,11.764705882352951%_60|,여자_61%,남자_39%
식탁의목적,48.633411764705876%_10|,48.72823529411765%_20|,27.436%_30|,25.760470588235286%_40|,19.907058823529418%_50|,11.764705882352951%_60|,여자_61%,남자_39%
해마 티룸,25.00000000000001%_10|,99.30549999999995%_20|,76.59549999999996%_30|,57.04949999999995%_40|,53.375499999999995%_50|,25.00000000000001%_60|,여자_61%,남자_39%
꼬치오뎅,11.764705882352951%_10|,47.26188235294118%_20|,42.30988235294117%_30|,31.851529411764695%_40|,18.22164705882353%_50|,11.764705882352951%_60|,여자_50%,남자_50%
스시사소우,28.261176470588246%_10|,48.00729411764704%_20|,34.072941176470586%_30|,30.160470588235295%_40|,24.478352941176478%_50|,11.764705882352951%_60|,여자_50%,남자_50%
아리가또맘마 대학로점,91.85749999999994%_10|,98.80199999999996%_20|,71.16999999999999%_30|,62.192%_40|,40.7385%_50|,25.00000000000001%_60|,여자_55%,남자_45%
도리안그레이,11.764705882352951%_10|,51.975058823529416%_20|,20.48776470588234%_30|,13.434117647058825%_40|,11.764705882352951%_50|,11.764705882352951%_60|,여자_55%,남자_45%
코코로식탁,35.48729411764705%_10|,49.069411764705876%_20|,31.63600000000001%_30|,23.571058823529402%_40|,16.799529411764695%_50|,11.764705882352951%_60|,여자_56%,남자_44%
가부 혜화점,25.00000000000001%_10|,83.10349999999997%_20|,78.2185%_30|,93.19899999999994%_40|,78.85199999999996%_50|,74.82299999999995%_60|,여자_46%,남자_54%
옥이모깻잎떡볶이,25.00000000000001%_10|,80.38250000000001%_20|,86.78099999999996%_30|,91.02199999999996%_40|,56.87449999999997%_50|,25.00000000000001%_60|,여자_56%,남자_44%
군자대한곱창 대학로점,11.764705882352951%_10|,47.338352941176474%_20|,32.71647058823529%_30|,31.052235294117636%_40|,22.849176470588233%_50|,11.764705882352951%_60|,여자_54%,남자_46%
키쉬미뇽 대학로점,11.764705882352951%_10|,48.22894117647058%_20|,33.2785882352941%_30|,27.08070588235294%_40|,19.89435294117648%_50|,11.764705882352951%_60|,여자_63%,남자_37%
돈천동식당,11.764705882352951%_10|,48.22894117647058%_20|,33.2785882352941%_30|,27.08070588235294%_40|,19.89435294117648%_50|,11.764705882352951%_60|,여자_63%,남자_37%
라쿤카페 꾸꾸네,50.908470588235296%_10|,49.50705882352939%_20|,27.084235294117644%_30|,26.350588235294126%_40|,16.62447058823529%_50|,11.764705882352951%_60|,여자_53%,남자_47%
림스치킨 혜화점,25.00000000000001%_10|,80.9885%_20|,89.29149999999998%_30|,86.61349999999997%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_48%,남자_52%
빌런치팬케이크,25.00000000000001%_10|,80.9885%_20|,89.29149999999998%_30|,86.61349999999997%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_48%,남자_52%
봉심식당,25.00000000000001%_10|,99.13749999999996%_20|,79.74049999999997%_30|,68.10899999999995%_40|,49.422499999999964%_50|,25.00000000000001%_60|,여자_53%,남자_47%
대학로족발보쌈,25.00000000000001%_10|,89.79399999999995%_20|,78.36049999999997%_30|,82.68199999999996%_40|,79.535%_50|,64.385%_60|,여자_46%,남자_54%
제순식당 대학로직영점,25.00000000000001%_10|,95.85349999999994%_20|,77.60749999999997%_30|,73.77749999999997%_40|,54.55549999999996%_50|,25.00000000000001%_60|,여자_49%,남자_51%
미정국수0410 대학로점,25.00000000000001%_10|,91.22999999999995%_20|,79.419%_30|,76.33899999999997%_40|,61.791999999999994%_50|,25.00000000000001%_60|,여자_53%,남자_47%
스시마시따,17.926571428571396%_10|,29.541142857142823%_20|,14.016857142857134%_30|,17.00685714285712%_40|,5.4551428571428335%_50|,11.315999999999978%_60|,여자_47%,남자_53%
카페스트롤,17.926571428571396%_10|,29.541142857142823%_20|,14.016857142857134%_30|,17.00685714285712%_40|,5.4551428571428335%_50|,11.315999999999978%_60|,여자_47%,남자_53%
간짜장전문점세아,17.926571428571396%_10|,29.541142857142823%_20|,14.016857142857134%_30|,17.00685714285712%_40|,5.4551428571428335%_50|,11.315999999999978%_60|,여자_47%,남자_53%
스페이스플라토,11.764705882352951%_10|,47.43482352941177%_20|,35.47082352941175%_30|,23.762823529411754%_40|,17.88894117647058%_50|,11.764705882352951%_60|,여자_52%,남자_48%
석관동떡볶이 대학로점,73.981%_10|,93.53549999999996%_20|,79.83749999999998%_30|,81.93349999999997%_40|,55.85149999999997%_50|,25.00000000000001%_60|,여자_57%,남자_43%
이레미,25.00000000000001%_10|,91.84199999999994%_20|,80.40999999999995%_30|,78.90599999999995%_40|,68.13099999999997%_50|,25.00000000000001%_60|,여자_53%,남자_47%
포도원삼계탕대학로점,25.00000000000001%_10|,87.51299999999998%_20|,86.27549999999997%_30|,77.1835%_40|,67.454%_50|,67.49199999999998%_60|,여자_53%,남자_47%
소구미 대학로직영점,35.555999999999926%_10|,96.54899999999991%_20|,56.147999999999875%_30|,58.56299999999993%_40|,56.08499999999995%_50|,36.35199999999995%_60|,여자_45%,남자_55%
명륜건강원,25.00000000000001%_10|,97.00849999999997%_20|,78.35199999999996%_30|,73.58099999999999%_40|,61.54949999999996%_50|,25.00000000000001%_60|,여자_56%,남자_44%
파인데이즈,25.00000000000001%_10|,97.00849999999997%_20|,78.35199999999996%_30|,73.58099999999999%_40|,61.54949999999996%_50|,25.00000000000001%_60|,여자_56%,남자_44%
걸작떡볶이치킨 서울대학로점,25.00000000000001%_10|,97.00849999999997%_20|,78.35199999999996%_30|,73.58099999999999%_40|,61.54949999999996%_50|,25.00000000000001%_60|,여자_56%,남자_44%
