name|gubun|score|visitCount|blogCount
배스킨라빈스 대학로|아이스크림|0/5|방문자 리뷰_ 888|블로그 리뷰_ 40
봉추찜닭 대학로점|찜닭|4.26/5|방문자 리뷰_ 556|블로그 리뷰_ 116
티랩제이|차|4.26/5|방문자 리뷰_ 49|블로그 리뷰_ 11
천향록|중식당|4.35/5|방문자 리뷰_ 179|블로그 리뷰_ 215
혜화달손만두|칼국수,만두|4.36/5|방문자 리뷰_ 525|블로그 리뷰_ 15
프롬하츠커피 대학로점|카페,디저트|4.36/5|방문자 리뷰_ 1,044|블로그 리뷰_ 32
뼈닥스감자탕|감자탕|4.17/5|방문자 리뷰_ 55|블로그 리뷰_ 65
구스타파스|스페인음식|4.35/5|방문자 리뷰_ 45|블로그 리뷰_ 68
공차 대학로점|차|4.41/5|방문자 리뷰_ 1,891|블로그 리뷰_ 108
오후홍콩 대학로점|카페|4.46/5|방문자 리뷰_ 216|블로그 리뷰_ 211
진아춘|중식당|4.28/5|방문자 리뷰_ 178|블로그 리뷰_ 88
샐러디 성대입구점|다이어트,샐러드|4.28/5|방문자 리뷰_ 227|블로그 리뷰_ 22
일송칼국수|칼국수,만두|4.4/5|방문자 리뷰_ 176|블로그 리뷰_ 30
빈대떡신사|전,빈대떡|4.28/5|방문자 리뷰_ 97|블로그 리뷰_ 37
천지주점|전통,민속주점|4.22/5|방문자 리뷰_ 40|블로그 리뷰_ 20
명쭈3|주꾸미요리|4.43/5|방문자 리뷰_ 204|블로그 리뷰_ 228
다발김치찌개 대학로점|찌개,전골|4.36/5|방문자 리뷰_ 98|블로그 리뷰_ 26
김가네김밥 대학로본점|분식|4.33/5|방문자 리뷰_ 1,370|블로그 리뷰_ 116
양평해장국|해장국|4.31/5|방문자 리뷰_ 279|블로그 리뷰_ 60
서유기마라탕&훠궈 대학로점|중식당|4.59/5|방문자 리뷰_ 223|블로그 리뷰_ 24
프루츠대학로점|맥주,호프|4.44/5|방문자 리뷰_ 111|블로그 리뷰_ 46
릴리마를렌|카페,디저트|4.44/5|방문자 리뷰_ 53|블로그 리뷰_ 17
포보 성균관대점|국수|4.61/5|방문자 리뷰_ 866|블로그 리뷰_ 89
엉터리생고기 대학로점|육류,고기요리|4.25/5|방문자 리뷰_ 173|블로그 리뷰_ 47
펍매드|맥주,호프|4.34/5|방문자 리뷰_ 49|블로그 리뷰_ 69
비스까미노|카페,디저트|4.6/5|방문자 리뷰_ 101|블로그 리뷰_ 15
교촌치킨 대학로점|치킨,닭강정|4.38/5|방문자 리뷰_ 1,422|블로그 리뷰_ 58
엘파소|멕시코,남미음식|4.63/5|방문자 리뷰_ 88|블로그 리뷰_ 8
60계치킨 서울대학로점|치킨,닭강정|4.37/5|방문자 리뷰_ 518|블로그 리뷰_ 18
레코드피자|피자|4.37/5|방문자 리뷰_ 18|블로그 리뷰_ 3
조개집|조개요리|4.37/5|방문자 리뷰_ 30|블로그 리뷰_ 1
스페이스엠|와인|4.81/5|방문자 리뷰_ 66|블로그 리뷰_ 45
남대문황금족발 대학로점|족발,보쌈|4.43/5|방문자 리뷰_ 76|블로그 리뷰_ 10
챠코|바(BAR)|4.5/5|방문자 리뷰_ 25|블로그 리뷰_ 24
골목길25|양식|4.24/5|방문자 리뷰_ 72|블로그 리뷰_ 29
지금보고싶다 혜화대학로점|요리주점|4.23/5|방문자 리뷰_ 132|블로그 리뷰_ 42
킹스커피 24시 카페|카페|4.12/5|방문자 리뷰_ 90|블로그 리뷰_ 3
후룩뽕|중식당|4.08/5|방문자 리뷰_ 123|블로그 리뷰_ 40
BBQ치킨 명륜점|치킨,닭강정|4.25/5|방문자 리뷰_ 209|블로그 리뷰_ 8
방선생웃음밥상|한정식|4.4/5|방문자 리뷰_ 66|블로그 리뷰_ 13
생활맥주 대학로좁은골목점|맥주,호프|4.38/5|방문자 리뷰_ 190|블로그 리뷰_ 68
투썸플레이스 혜화로타리점|카페|4.29/5|방문자 리뷰_ 400|블로그 리뷰_ 44
33떡볶이 대학로점|33떡볶이|4.31/5|방문자 리뷰_ 263|블로그 리뷰_ 36
미향|아귀찜,해물찜|4.43/5|방문자 리뷰_ 129|블로그 리뷰_ 13
오름|육류,고기요리|4.43/5|방문자 리뷰_ 85|블로그 리뷰_ 6
초교수카페|카페,디저트|4.37/5|방문자 리뷰_ 187|블로그 리뷰_ 29
크래프트 혜화|양식|4.44/5|방문자 리뷰_ 37|블로그 리뷰_ 30
동숭숯불갈비|육류,고기요리|4.44/5|방문자 리뷰_ 224|블로그 리뷰_ 42
옛날농장 대학로점|육류,고기요리|4.34/5|방문자 리뷰_ 325|블로그 리뷰_ 176
꼬꼬아찌숯불치킨 혜화대학로점|치킨,닭강정|4.32/5|방문자 리뷰_ 174|블로그 리뷰_ 69
