name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio
이름없는파스타 연남점|"42.40894117647059%_10|"|"48.76541176470588%_20|"|"33.59576470588234%_30|"|"27.905176470588223%_40|"|"21.41011764705882%_50|"|"21.11294117647058%_60|"|여자_59%|남자_41%
연교|"10.295142857142821%_10|"|"40.45714285714285%_20|"|"23.684857142857112%_30|"|"14.898285714285675%_40|"|"9.91285714285712%_50|"|"3.758857142857128%_60|"|여자_55%|남자_45%
카페 예능|"50.11270588235295%_10|"|"50.69858823529412%_20|"|"25.796705882352928%_30|"|"17.525647058823527%_40|"|"10.936705882352939%_50|"|"11.764705882352951%_60|"|여자_68%|남자_32%
식스티즈|"82.20100000000001%_10|"|"99.84399999999995%_20|"|"74.50549999999998%_30|"|"67.66699999999996%_40|"|"52.984999999999985%_50|"|"46.512499999999996%_60|"|여자_48%|남자_52%
키움초밥|"21.420285714285686%_10|"|"38.60685714285712%_20|"|"14.635999999999969%_30|"|"10.708285714285696%_40|"|"7.684285714285684%_50|"|"3.333714285714257%_60|"|여자_48%|남자_52%
뉴오더클럽 연남|"63.14833333333332%_10|"|"91.69133333333333%_20|"|"50.96699999999997%_30|"|"33.30999999999998%_40|"|"29.002000000000006%_50|"|"22.697%_60|"|여자_59%|남자_41%
철길왕갈비살|"25.00000000000001%_10|"|"79.20399999999998%_20|"|"91.99549999999998%_30|"|"98.88749999999999%_40|"|"72.15700000000001%_50|"|"65.04849999999999%_60|"|여자_46%|남자_54%
진저피그|"39.2075294117647%_10|"|"52.82117647058823%_20|"|"37.92447058823528%_30|"|"32.035529411764706%_40|"|"24.452941176470596%_50|"|"20.564941176470576%_60|"|여자_44%|남자_56%
홍스쭈꾸미 홍대본점|"73.91249999999997%_10|"|"99.19999999999997%_20|"|"78.79149999999998%_30|"|"77.30399999999996%_40|"|"60.39049999999999%_50|"|"25.00000000000001%_60|"|여자_54%|남자_46%
오리지널시카고피자 홍대본점|"73.91249999999997%_10|"|"99.19999999999997%_20|"|"78.79149999999998%_30|"|"77.30399999999996%_40|"|"60.39049999999999%_50|"|"25.00000000000001%_60|"|여자_54%|남자_46%
합정조이떡볶이|"37.40164705882353%_10|"|"48.15270588235293%_20|"|"42.07835294117647%_30|"|"35.25623529411766%_40|"|"22.834588235294113%_50|"|"15.043294117647068%_60|"|여자_60%|남자_40%
긴자료코 본점|"39.96399999999999%_10|"|"48.65599999999999%_20|"|"36.95952941176471%_30|"|"28.713882352941166%_40|"|"22.639294117647054%_50|"|"16.36282352941176%_60|"|여자_50%|남자_50%
평안도 상원냉면|"25.00000000000001%_10|"|"86.84949999999999%_20|"|"88.05699999999996%_30|"|"83.66799999999999%_40|"|"75.929%_50|"|"84.95899999999997%_60|"|여자_38%|남자_62%
오이지 연남|"61.231666666666676%_10|"|"77.85633333333332%_20|"|"50.82133333333334%_30|"|"42.07900000000001%_40|"|"37.64466666666665%_50|"|"29.724999999999994%_60|"|여자_58%|남자_42%
연남주막1987|"39.31333333333335%_10|"|"77.78166666666667%_20|"|"53.581333333333326%_30|"|"46.131666666666675%_40|"|"38.82%_50|"|"31.321666666666648%_60|"|여자_51%|남자_49%
마포곱창타운|"14.7182857142857%_10|"|"37.52342857142854%_20|"|"21.942571428571416%_30|"|"15.010571428571415%_40|"|"8.226285714285694%_50|"|"3.9034285714285577%_60|"|여자_51%|남자_49%
홍대씨부엉|"42.71764705882352%_10|"|"49.3075294117647%_20|"|"36.330823529411774%_30|"|"39.08941176470588%_40|"|"30.106117647058827%_50|"|"21.465647058823528%_60|"|여자_51%|남자_49%
달콤한거짓말|"42.85482352941175%_10|"|"50.719999999999985%_20|"|"38.39011764705882%_30|"|"33.24894117647058%_40|"|"23.414823529411755%_50|"|"16.399058823529405%_60|"|여자_59%|남자_41%
황곱|"11.764705882352951%_10|"|"51.244705882352946%_20|"|"36.56094117647057%_30|"|"29.914352941176475%_40|"|"18.067529411764717%_50|"|"11.764705882352951%_60|"|여자_51%|남자_49%
카타코토카페|"11.764705882352951%_10|"|"51.244705882352946%_20|"|"36.56094117647057%_30|"|"29.914352941176475%_40|"|"18.067529411764717%_50|"|"11.764705882352951%_60|"|여자_51%|남자_49%
또보겠지떡볶이집 호호시스터점|"40.853647058823526%_10|"|"52.407058823529404%_20|"|"43.75670588235293%_30|"|"34.943529411764715%_40|"|"20.688%_50|"|"13.925647058823532%_60|"|여자_62%|남자_38%
커피리브레 연남점|"25.00000000000001%_10|"|"96.05449999999995%_20|"|"91.26999999999998%_30|"|"84.94499999999996%_40|"|"71.70449999999998%_50|"|"65.96999999999996%_60|"|여자_54%|남자_46%
몽주방|"55.11999999999998%_10|"|"78.59966666666665%_20|"|"51.272666666666666%_30|"|"36.345333333333336%_40|"|"27.962000000000003%_50|"|"23.265000000000015%_60|"|여자_53%|남자_47%
들풀한상|"25.00000000000001%_10|"|"92.59949999999996%_20|"|"87.54149999999996%_30|"|"85.90399999999995%_40|"|"89.79299999999998%_50|"|"85.25649999999997%_60|"|여자_53%|남자_47%
락희돈|"25.00000000000001%_10|"|"97.44399999999995%_20|"|"85.40599999999995%_30|"|"70.26349999999995%_40|"|"53.913999999999994%_50|"|"25.00000000000001%_60|"|여자_45%|남자_55%
제스티살룬 연남|"42.69099999999999%_10|"|"79.09899999999999%_20|"|"60.45233333333332%_30|"|"47.23766666666665%_40|"|"35.43766666666666%_50|"|"26.371666666666677%_60|"|여자_57%|남자_43%
핏제리아오 합정역점|"39.65299999999995%_10|"|"82.17999999999994%_20|"|"65.50499999999994%_30|"|"56.553999999999895%_40|"|"42.796999999999876%_50|"|"39.11699999999997%_60|"|여자_55%|남자_45%
