name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
동두천솥뚜껑삼겹살 합정점,28.96823529411764%_10|,52.31976470588234%_20|,38.238823529411754%_30|,28.520941176470593%_40|,24.764941176470582%_50|,20.093411764705866%_60|,여자_47%,남자_53%
디어리스트 연남,72.59199999999998%_10|,80.23566666666666%_20|,49.26366666666666%_30|,39.880333333333326%_40|,36.485666666666674%_50|,30.047666666666657%_60|,여자_58%,남자_42%
연남족발1987,25.00000000000001%_10|,98.12949999999995%_20|,80.24649999999997%_30|,76.01449999999997%_40|,65.2825%_50|,58.54199999999996%_60|,여자_47%,남자_53%
캘리포니아 도넛 클럽 & 비라티오 홍대점,38.75670588235293%_10|,52.62282352941177%_20|,41.078352941176476%_30|,34.89576470588234%_40|,23.387764705882347%_50|,16.403294117647068%_60|,여자_60%,남자_40%
디퍼 루프탑,11.764705882352951%_10|,52.07082352941175%_20|,38.029411764705884%_30|,27.890117647058823%_40|,19.05482352941177%_50|,11.764705882352951%_60|,여자_54%,남자_46%
커피 벌스데이,62.55899999999998%_10|,76.14033333333332%_20|,42.60333333333332%_30|,26.696666666666662%_40|,19.314666666666664%_50|,16.66666666666668%_60|,여자_64%,남자_36%
연남쌀국수 똣,25.227999999999923%_10|,97.39899999999993%_20|,65.03099999999996%_30|,54.57399999999991%_40|,20.38599999999991%_50|,10.90899999999995%_60|,여자_54%,남자_46%
야키토리 나루토 오모테나시,11.764705882352951%_10|,51.29082352941177%_20|,42.650588235294116%_30|,29.433411764705873%_40|,17.376000000000005%_50|,16.528941176470582%_60|,여자_47%,남자_53%
정무관,17.04682352941176%_10|,49.68752941176471%_20|,43.58494117647057%_30|,37.22541176470588%_40|,32.483529411764714%_50|,25.598588235294102%_60|,여자_46%,남자_54%
루프탑 G 길리건스,40.127333333333326%_10|,90.66466666666663%_20|,50.560666666666656%_30|,38.74066666666668%_40|,30.168000000000006%_50|,23.500666666666646%_60|,여자_52%,남자_48%
치킨앤카레군,11.764705882352951%_10|,49.22564705882352%_20|,29.593882352941186%_30|,24.761176470588225%_40|,18.776235294117637%_50|,11.764705882352951%_60|,여자_52%,남자_48%
무니,30.2755%_10|,98.04299999999996%_20|,91.66799999999999%_30|,76.57449999999997%_40|,62.96449999999996%_50|,42.68899999999996%_60|,여자_49%,남자_51%
세상끝의라멘,42.83976470588235%_10|,50.69364705882352%_20|,38.74541176470589%_30|,25.89576470588234%_40|,17.257647058823526%_50|,16.016941176470592%_60|,여자_46%,남자_54%
이치류 홍대본점,20.01999999999999%_10|,51.14305882352942%_20|,47.69835294117645%_30|,34.65317647058822%_40|,26.72988235294117%_50|,22.344941176470584%_60|,여자_44%,남자_56%
어른이대공원,20.01999999999999%_10|,51.14305882352942%_20|,47.69835294117645%_30|,34.65317647058822%_40|,26.72988235294117%_50|,22.344941176470584%_60|,여자_44%,남자_56%
포36거리 홍대점,20.01999999999999%_10|,51.14305882352942%_20|,47.69835294117645%_30|,34.65317647058822%_40|,26.72988235294117%_50|,22.344941176470584%_60|,여자_44%,남자_56%
금성회관 합정본점,25.00000000000001%_10|,95.45249999999996%_20|,89.37399999999998%_30|,83.08199999999997%_40|,69.57099999999997%_50|,68.90099999999997%_60|,여자_44%,남자_56%
이츠모라멘,47.62776470588235%_10|,52.52611764705881%_20|,37.338823529411755%_30|,24.793882352941164%_40|,16.50752941176471%_50|,15.709882352941179%_60|,여자_47%,남자_53%
돈주는남자 본점,55.208333333333314%_10|,82.8183333333333%_20|,54.42466666666665%_30|,44.22466666666662%_40|,41.20733333333331%_50|,33.49133333333329%_60|,여자_43%,남자_57%
히메시야,43.38541176470588%_10|,51.491294117647044%_20|,33.398117647058825%_30|,26.95247058823529%_40|,22.551058823529406%_50|,23.415999999999997%_60|,여자_52%,남자_48%
루프탑어반비치,52.642%_10|,93.89533333333333%_20|,50.74999999999999%_30|,35.325%_40|,25.921333333333347%_50|,23.071666666666673%_60|,여자_59%,남자_41%
구스토타코,25.066823529411764%_10|,49.37835294117646%_20|,41.39176470588236%_30|,29.178117647058816%_40|,19.828470588235287%_50|,11.764705882352951%_60|,여자_54%,남자_46%
샐러디 합정역점,33.68282352941175%_10|,50.01388235294119%_20|,38.06423529411763%_30|,25.739294117647066%_40|,16.889176470588243%_50|,11.764705882352951%_60|,여자_65%,남자_35%
멘야하나비 합정점,36.32188235294116%_10|,50.77223529411765%_20|,38.83670588235294%_30|,24.33129411764707%_40|,17.788705882352925%_50|,14.887764705882356%_60|,여자_54%,남자_46%
