,name,gubun,score,visitCount,blogCount
0,이름없는파스타 연남점,"스파게티,파스타전문",4.45/5,방문자 리뷰_ 40,블로그 리뷰_ 28
1,연교,"딤섬,중식만두",4.49/5,방문자 리뷰_ 916,블로그 리뷰_ 891
2,카페 예능,"카페,디저트",4.49/5,방문자 리뷰_ 21,블로그 리뷰_ 16
3,식스티즈,햄버거,4.59/5,방문자 리뷰_ 282,블로그 리뷰_ 167
4,키움초밥,"초밥,롤",4.59/5,"방문자 리뷰_ 1,073","블로그 리뷰_ 1,197"
5,뉴오더클럽 연남,피자,4.59/5,방문자 리뷰_ 850,"블로그 리뷰_ 1,055"
6,철길왕갈비살,"육류,고기요리",4.36/5,방문자 리뷰_ 689,블로그 리뷰_ 470
7,진저피그,돼지고기구이,4.6/5,"방문자 리뷰_ 1,272",블로그 리뷰_ 674
8,홍스쭈꾸미 홍대본점,주꾸미요리,4.44/5,"방문자 리뷰_ 1,058","블로그 리뷰_ 1,835"
9,오리지널시카고피자 홍대본점,피자,4.29/5,방문자 리뷰_ 384,"블로그 리뷰_ 1,220"
10,합정조이떡볶이,떡볶이,4.38/5,방문자 리뷰_ 413,블로그 리뷰_ 82
11,긴자료코 본점,돈가스,4.52/5,방문자 리뷰_ 953,블로그 리뷰_ 473
12,평안도 상원냉면,냉면,4.48/5,방문자 리뷰_ 315,블로그 리뷰_ 163
13,오이지 연남,한식,4.48/5,방문자 리뷰_ 145,블로그 리뷰_ 142
14,연남주막1987,"전통,민속주점",4.52/5,방문자 리뷰_ 340,블로그 리뷰_ 269
15,마포곱창타운,"곱창,막창,양",4.48/5,방문자 리뷰_ 841,블로그 리뷰_ 969
16,홍대씨부엉,떡볶이,4.51/5,방문자 리뷰_ 537,블로그 리뷰_ 916
17,달콤한거짓말,케이크전문,4.36/5,방문자 리뷰_ 677,블로그 리뷰_ 953
18,황곱,"곱창,막창,양",4.5/5,방문자 리뷰_ 455,블로그 리뷰_ 319
19,카타코토카페,카레,4.52/5,방문자 리뷰_ 298,블로그 리뷰_ 287
20,또보겠지떡볶이집 호호시스터점,분식,4.56/5,"방문자 리뷰_ 1,235","블로그 리뷰_ 1,074"
21,커피리브레 연남점,카페,4.43/5,방문자 리뷰_ 664,블로그 리뷰_ 744
22,몽주방,요리주점,4.43/5,방문자 리뷰_ 91,블로그 리뷰_ 77
23,들풀한상,한식,4.36/5,방문자 리뷰_ 413,블로그 리뷰_ 633
24,락희돈,"일식튀김,꼬치",4.41/5,방문자 리뷰_ 330,블로그 리뷰_ 306
25,제스티살룬 연남,햄버거,4.58/5,"방문자 리뷰_ 1,595",블로그 리뷰_ 877
26,핏제리아오 합정역점,피자,4.58/5,방문자 리뷰_ 34,블로그 리뷰_ 24
27,슬로우타코,"멕시코,남미음식",4.79/5,방문자 리뷰_ 369,블로그 리뷰_ 338
28,스미비부타동,덮밥,4.44/5,방문자 리뷰_ 861,블로그 리뷰_ 774
29,오버트 합정,"카페,디저트",4.44/5,방문자 리뷰_ 86,블로그 리뷰_ 81
30,헤이죠지,양식,4.44/5,방문자 리뷰_ 330,블로그 리뷰_ 454
31,더피자보이즈 홍대입구역점,피자,4.57/5,방문자 리뷰_ 653,블로그 리뷰_ 604
32,사쿠라테이엔 합정점,이자카야,4.85/5,방문자 리뷰_ 141,블로그 리뷰_ 112
33,1984,"카페,디저트",4.63/5,방문자 리뷰_ 767,"블로그 리뷰_ 1,605"
34,가든 포에트,양식,4.85/5,방문자 리뷰_ 560,블로그 리뷰_ 164
35,모파상,"카페,디저트",4.36/5,방문자 리뷰_ 774,블로그 리뷰_ 888
36,에일크루,"맥주,호프",4.52/5,방문자 리뷰_ 417,블로그 리뷰_ 284
37,닝교초식당 홍대점,일식당,4.52/5,방문자 리뷰_ 493,블로그 리뷰_ 221
38,우마담,"육류,고기요리",4.55/5,방문자 리뷰_ 336,블로그 리뷰_ 464
39,카와카츠 합정점,돈가스,4.81/5,방문자 리뷰_ 271,블로그 리뷰_ 221
40,츠케루,일본식라면,4.62/5,"방문자 리뷰_ 1,693",블로그 리뷰_ 195
41,청년닭발1987,닭발,4.42/5,방문자 리뷰_ 474,블로그 리뷰_ 701
42,혼가츠,돈가스,4.35/5,"방문자 리뷰_ 1,034","블로그 리뷰_ 1,844"
43,막걸리싸롱,"전통,민속주점",4.14/5,방문자 리뷰_ 110,블로그 리뷰_ 501
44,교동집,주꾸미요리,4.14/5,방문자 리뷰_ 596,블로그 리뷰_ 499
45,트래블메이커,브런치,4/5,방문자 리뷰_ 306,블로그 리뷰_ 298
46,오비야,일식당,4.19/5,방문자 리뷰_ 209,블로그 리뷰_ 459
47,하연옥 마포점,냉면,4.33/5,방문자 리뷰_ 957,블로그 리뷰_ 267
48,키친485,이탈리아음식,4.34/5,방문자 리뷰_ 695,"블로그 리뷰_ 1,040"
49,심야식당 하스,이자카야,4.46/5,방문자 리뷰_ 206,블로그 리뷰_ 337
