name,gubun,score,visitCount,blogCount
그동네떡볶이,종합분식,4.52/5,방문자 리뷰_ 872,블로그 리뷰_ 551
고시고시,퓨전음식,4.52/5,방문자 리뷰_ 381,블로그 리뷰_ 465
돼지명가,"육류,고기요리",4.56/5,방문자 리뷰_ 337,블로그 리뷰_ 205
연남어부,생선회,4.49/5,방문자 리뷰_ 201,블로그 리뷰_ 227
더다이닝랩,양식,4.5/5,"방문자 리뷰_ 2,395",블로그 리뷰_ 901
젤라띠젤라띠,아이스크림,4.56/5,"방문자 리뷰_ 1,011","블로그 리뷰_ 1,115"
홍대원조통골뱅이,한식,4.56/5,방문자 리뷰_ 42,블로그 리뷰_ 61
육몽 홍대본점,돼지고기구이,4.72/5,"방문자 리뷰_ 1,172","블로그 리뷰_ 1,081"
블랑누아,와인,4.61/5,방문자 리뷰_ 626,블로그 리뷰_ 358
참치가,일식당,4.27/5,방문자 리뷰_ 132,블로그 리뷰_ 264
더피자보이즈 합정본점,피자,4.54/5,방문자 리뷰_ 344,블로그 리뷰_ 564
지로우 라멘,일식당,4.47/5,방문자 리뷰_ 671,블로그 리뷰_ 725
13-Jul,"스테이크,립",4.47/5,방문자 리뷰_ 186,블로그 리뷰_ 56
저스트단비 홍대점,크레페,4.47/5,방문자 리뷰_ 20,블로그 리뷰_ 14
너구리베이글 합정점,베이커리,4.47/5,방문자 리뷰_ 127,블로그 리뷰_ 63
광명대창집 홍대점,"곱창,막창,양",4.73/5,방문자 리뷰_ 338,블로그 리뷰_ 61
도 도넛,도넛,4.73/5,방문자 리뷰_ 59,블로그 리뷰_ 40
미티,요리주점,4.93/5,방문자 리뷰_ 276,블로그 리뷰_ 94
이가산시도삭면,중식당,4.93/5,방문자 리뷰_ 45,블로그 리뷰_ 25
마가렛리버,베이커리,4.43/5,방문자 리뷰_ 608,블로그 리뷰_ 613
마레스타,양식,4.51/5,방문자 리뷰_ 417,블로그 리뷰_ 364
홍콩포차,요리주점,4.51/5,방문자 리뷰_ 10,블로그 리뷰_ 18
팔로피자,피자,4.47/5,방문자 리뷰_ 549,블로그 리뷰_ 962
계담다,요리주점,4.42/5,방문자 리뷰_ 314,블로그 리뷰_ 295
리차드하우스 연남,양식,4.42/5,방문자 리뷰_ 21,블로그 리뷰_ 12
튜토리얼,카페,4.67/5,방문자 리뷰_ 147,블로그 리뷰_ 441
조용한저녁,양식,4.83/5,"방문자 리뷰_ 2,502",블로그 리뷰_ 345
멘타카무쇼,일본식라면,4.61/5,방문자 리뷰_ 285,블로그 리뷰_ 124
산더미불고기,"육류,고기요리",4.65/5,방문자 리뷰_ 872,블로그 리뷰_ 687
보르도,양식,4.65/5,방문자 리뷰_ 92,블로그 리뷰_ 51
이양권반상,한식,5.0/5,방문자 리뷰_ 199,블로그 리뷰_ 113
히츠지야,일식당,4.82/5,방문자 리뷰_ 834,블로그 리뷰_ 334
이리에라멘,일본식라면,4.67/5,방문자 리뷰_ 197,블로그 리뷰_ 116
카츠오모이 홍대점,돈가스,4.58/5,방문자 리뷰_ 371,블로그 리뷰_ 187
쿠시노주방,이자카야,4.41/5,방문자 리뷰_ 372,블로그 리뷰_ 555
포포브레드,베이커리,4.75/5,방문자 리뷰_ 147,블로그 리뷰_ 183
umoae,"카페,디저트",4.74/5,방문자 리뷰_ 237,블로그 리뷰_ 210
후라토식당 상수직영점,일식당,4.71/5,"방문자 리뷰_ 1,111",블로그 리뷰_ 328
모멘트커피 2호점,카페,4.43/5,방문자 리뷰_ 349,블로그 리뷰_ 946
마녀주방 홍대점,이탈리아음식,4.47/5,"방문자 리뷰_ 1,357","블로그 리뷰_ 1,468"
맛깔1987,생선회,4.46/5,방문자 리뷰_ 222,블로그 리뷰_ 196
타프,와인,4.65/5,방문자 리뷰_ 112,블로그 리뷰_ 170
목로관,"육류,고기요리",4.3/5,방문자 리뷰_ 506,블로그 리뷰_ 178
심야식당밤,이자카야,4.79/5,방문자 리뷰_ 128,블로그 리뷰_ 117
소고산제일루,중식당,4.33/5,방문자 리뷰_ 392,블로그 리뷰_ 468
바스버거 연남점,햄버거,4.56/5,방문자 리뷰_ 703,블로그 리뷰_ 415
EGO,"카페,디저트",4.59/5,방문자 리뷰_ 410,블로그 리뷰_ 187
심플리타이 합정점,태국음식,4.43/5,방문자 리뷰_ 538,블로그 리뷰_ 397
합정광안리,생선회,4.47/5,방문자 리뷰_ 354,블로그 리뷰_ 652
오맥,"맥주,호프",4.47/5,방문자 리뷰_ 25,블로그 리뷰_ 15
