name,gubun,score,visit,blog
지리산토종흑돼지구이,돼지고기구이,4.34/5,방문자 리뷰_ 83,블로그 리뷰_ 38
긴자료코 신림점,돈가스,4.34/5,방문자 리뷰_ 193,블로그 리뷰_ 50
한마음정육식당 서울 신림점,정육식당,4.51/5,방문자 리뷰_ 183,블로그 리뷰_ 115
사이공본가 신림점,베트남음식,4.33/5,방문자 리뷰_ 505,블로그 리뷰_ 174
양평동 장군집 신림역점,"육류,고기요리",4.33/5,방문자 리뷰_ 73,블로그 리뷰_ 89
흥부보쌈,"족발,보쌈",4.22/5,방문자 리뷰_ 189,블로그 리뷰_ 166
명태어장 난곡점,"해물,생선요리",4.4/5,방문자 리뷰_ 370,블로그 리뷰_ 41
대홍샤브샤브,중식당,4.48/5,방문자 리뷰_ 100,블로그 리뷰_ 70
와인어클락 신림점,와인,4.52/5,방문자 리뷰_ 163,블로그 리뷰_ 89
남도,한식,4.51/5,방문자 리뷰_ 85,블로그 리뷰_ 119
지리산삼계탕,"백숙,삼계탕",4.41/5,방문자 리뷰_ 174,블로그 리뷰_ 328
까페달달스콘,"카페,디저트",4.56/5,방문자 리뷰_ 648,블로그 리뷰_ 83
두끼 신림역점,분식,4.41/5,방문자 리뷰_ 287,블로그 리뷰_ 160
설빙 신림점,빙수,4.4/5,"방문자 리뷰_ 1,640",블로그 리뷰_ 270
유가네닭갈비 신림점,닭갈비,4.49/5,방문자 리뷰_ 737,블로그 리뷰_ 162
스타벅스 신림타임스트림점,카페,4.48/5,"방문자 리뷰_ 5,487",블로그 리뷰_ 153
지구상사 신림점,요리주점,4.48/5,방문자 리뷰_ 72,블로그 리뷰_ 17
만리성,중식당,4.11/5,방문자 리뷰_ 203,블로그 리뷰_ 17
불티나는 전집,"전,빈대떡",4.28/5,방문자 리뷰_ 46,블로그 리뷰_ 10
수해복마라탕 서울대점,중식당,4.6/5,방문자 리뷰_ 303,블로그 리뷰_ 70
애견동반식당 사랑봄,양식,4.91/5,방문자 리뷰_ 477,블로그 리뷰_ 59
우리집팔당닭발 신림점,닭발,4.67/5,방문자 리뷰_ 172,블로그 리뷰_ 146
서울대학교 호암교수회관,한식,4.67/5,방문자 리뷰_ 57,블로그 리뷰_ 16
옛마을 구로디지털역점,한식,4.51/5,방문자 리뷰_ 403,블로그 리뷰_ 98
더빈마켓,"카페,디저트",4.6/5,방문자 리뷰_ 412,블로그 리뷰_ 108
소보로,베이커리,4.58/5,방문자 리뷰_ 288,블로그 리뷰_ 111
스시락,"초밥,롤",4.31/5,방문자 리뷰_ 303,블로그 리뷰_ 180
모녀,한식,4.31/5,방문자 리뷰_ 46,블로그 리뷰_ 33
봉용파절이삼겹살,한식,4.07/5,방문자 리뷰_ 157,블로그 리뷰_ 165
숯총각꼼장어닭발 신림점,닭발,4.57/5,방문자 리뷰_ 93,블로그 리뷰_ 120
신림동 피자집,피자,4.8/5,방문자 리뷰_ 135,블로그 리뷰_ 56
어사출또 신림역점,생선회,4.41/5,방문자 리뷰_ 358,블로그 리뷰_ 153
시골장칼국수,"칼국수,만두",4.48/5,방문자 리뷰_ 147,블로그 리뷰_ 53
밀리언버거,햄버거,4.39/5,방문자 리뷰_ 419,블로그 리뷰_ 115
낭풍김치찌개,"찌개,전골",4.41/5,방문자 리뷰_ 201,블로그 리뷰_ 102
카페드발렌느,카페,4.75/5,방문자 리뷰_ 32,블로그 리뷰_ 78
불꽃닭강정,"치킨,닭강정",4.38/5,방문자 리뷰_ 606,블로그 리뷰_ 58
달꼬미,요리주점,4.38/5,방문자 리뷰_ 40,블로그 리뷰_ 33
백년불고기물갈비 신림점,"육류,고기요리",4.6/5,방문자 리뷰_ 230,블로그 리뷰_ 153
속에천불청송얼음막걸리 신대방점,"전통,민속주점",4.33/5,방문자 리뷰_ 35,블로그 리뷰_ 24
구움동,"카페,디저트",4.84/5,방문자 리뷰_ 206,블로그 리뷰_ 35
루체에살레,"스파게티,파스타전문",4.73/5,방문자 리뷰_ 142,블로그 리뷰_ 80
홍콩반점0410 신림역점,중식당,4.4/5,방문자 리뷰_ 707,블로그 리뷰_ 199
니뽕내뽕 신림점,중식당,4.37/5,방문자 리뷰_ 522,블로그 리뷰_ 153
산촌신쭈꾸미 서울대점,주꾸미요리,4.32/5,방문자 리뷰_ 606,블로그 리뷰_ 64
카페 수베 SUBE,카페,4.82/5,방문자 리뷰_ 135,블로그 리뷰_ 76
배스킨라빈스 신림남부점,아이스크림,4.36/5,"방문자 리뷰_ 1,691",블로그 리뷰_ 13
두둑한샤브칼국수 신림점,샤브샤브,4.46/5,방문자 리뷰_ 557,블로그 리뷰_ 101
메밀쟁이,막국수,4.48/5,방문자 리뷰_ 91,블로그 리뷰_ 21
낮부엉이,"맥주,호프",4.41/5,방문자 리뷰_ 161,블로그 리뷰_ 133
