STDR_YM_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,SIGNGU_CD,ADSTRD_CD
202112,A,골목상권,2110753,시흥동 은행나무사거리,11545,11545710
202112,A,골목상권,2110427,노원 을지대학교병원,11350,11350611
202112,A,골목상권,2110755,동일여자고등학교,11545,11545680
202112,A,골목상권,2110739,시흥3동 우편취급국,11545,11545690
202112,A,골목상권,2111017,송파나루역 3번,11710,11710562
202112,A,골목상권,2110249,중화역 1번,11260,11260600
202112,A,골목상권,2110963,역삼월드메르디앙아파트,11680,11680640
202112,A,골목상권,2110332,돌곶이역 3번,11290,11290770
202112,A,골목상권,2110245,KB국민은행 중화동지점,11260,11260610
202112,A,골목상권,2110719,영서중학교,11530,11530540
202112,A,골목상권,2110932,서울시인재개발원,11650,11650510
202112,A,골목상권,2110933,한국상담대학원대학교,11650,11650510
202112,A,골목상권,2110868,남부초등학교,11620,11620685
202112,A,골목상권,2110395,신한은행 방학동지점,11320,11320690
202112,A,골목상권,2110393,국민은행방학지점,11320,11320710
202112,A,골목상권,2110114,왕십리파출소,11200,11200535
202112,A,골목상권,2110760,선유도역 6번,11560,11560620
202112,A,골목상권,2111068,강동성심병원,11740,11740685
202112,A,골목상권,2110619,목4동주민센터,11470,11470540
202112,A,골목상권,2110093,우사단길,11170,11170685
202112,A,골목상권,2110734,금천파출소,11545,11545670
202112,A,골목상권,2111030,방이역 2번,11710,11710570
202112,A,골목상권,2110573,신촌역 6번,11440,11440600
202112,A,골목상권,2110053,청구역 1번,11140,11140615
202112,A,골목상권,2110972,강남세브란스병원미래의학연구센터,11680,11680650
202112,A,골목상권,2110911,방배배수지체육공원,11650,11650620
202112,A,골목상권,2110969,베르사이유1아파트,11680,11680650
202112,A,골목상권,2111002,한국교통안전공단 강남자동차검사소,11680,11680700
202112,A,골목상권,2110863,난우초등학교,11620,11620765
202112,A,골목상권,2110751,난곡중학교,11545,11545630
202112,A,골목상권,2110993,개포지하차도 북측,11680,11680660
202112,A,골목상권,2110725,가산동주민센터,11545,11545510
202112,A,골목상권,2110723,가산디지털단지역 1번 출입구,11545,11545510
202112,A,골목상권,2110938,바우뫼공원,11650,11650651
202112,A,골목상권,2110999,윗방죽마을공원,11680,11680700
202112,A,골목상권,2110941,언남고등학교,11650,11650652
202112,A,골목상권,2110087,이태원엔틱가구거리,11170,11170650
202112,A,골목상권,2110094,오산중학교,11170,11170700
202112,A,골목상권,2110262,상봉역 3번,11260,11260590
202112,A,골목상권,2110279,신내역 2번,11260,11260655
202112,A,골목상권,2110107,금호사거리,11200,11200620
202112,A,골목상권,2110576,대흥역 3번,11440,11440600
202112,A,골목상권,2111010,석촌역 7번,11710,11710600
202112,A,골목상권,2110098,서울독일학교,11170,11170685
202112,A,골목상권,2110669,화곡보람2차아파트,11500,11500591
202112,A,골목상권,2111081,둔촌푸르지오아파트,11740,11740700
202112,A,골목상권,2110331,돌곶이역 8번,11290,11290810
202112,A,골목상권,2110786,당산역 8번,11560,11560560
202112,A,골목상권,2110956,언주역 8번,11680,11680640
202112,A,골목상권,2111003,삼전역 4번,11710,11710650
202112,A,골목상권,2110565,홍익대,11440,11440655
202112,A,골목상권,2110149,세종대학교,11215,11215730
202112,A,골목상권,2110110,상왕십리역 6번,11200,11200520
202112,A,골목상권,2110539,미근동,11410,11410565
202112,A,골목상권,2110505,홍남교남측,11410,11410615
202112,A,골목상권,2110055,황학동벼룩시장,11140,11140670
202112,A,골목상권,2110122,마장역 2번,11200,11200540
202112,A,골목상권,2111065,천일초등학교,11740,11740620
202112,A,골목상권,2110305,보문역 5번,11290,11290600
202112,A,골목상권,2110499,연가초등학교,11410,11410720
202112,A,골목상권,2110150,중곡1동 마을마당,11215,11215740
202112,A,골목상권,2110236,신묵초등학교,11260,11260630
202112,A,골목상권,2111023,문정역 1번,11710,11710641
202112,A,골목상권,2110925,서초중학교,11650,11650530
202112,A,골목상권,2110910,내방역 5번,11650,11650621
202112,A,골목상권,2110775,대동초등학교,11560,11560710
202112,A,골목상권,2110854,조원동주민센터,11620,11620725
202112,A,골목상권,2110853,KT구로지사,11620,11620725
202112,A,골목상권,2110918,방배역 3번,11650,11650600
202112,A,골목상권,2110243,중랑노인종합복지관,11260,11260520
202112,A,골목상권,2110935,한전아트센터,11650,11650520
202112,A,골목상권,2110585,마포경찰서,11440,11440555
202112,A,골목상권,2110871,신원동주민센터,11620,11620655
202112,A,골목상권,2110811,보라매역 4번,11560,11560680
202112,A,골목상권,2110992,도곡초등학교,11680,11680630
202112,A,골목상권,2111043,마천공원,11710,11710550
202112,A,골목상권,2111039,벌말어린이공원,11710,11710570
202112,A,골목상권,2110771,대림역 11번,11560,11560710
202112,A,골목상권,2110700,고척초등학교,11530,11530720
202112,A,골목상권,2110903,방배아이파크아파트,11650,11650590
202112,A,골목상권,2110709,구로119안전센터,11530,11530530
202112,A,골목상권,2110986,삼성중앙역 7번,11680,11680590
202112,A,골목상권,2110949,한남IC,11680,11680510
202112,A,골목상권,2111026,문정역 2번,11710,11710641
202112,A,골목상권,2110621,목동역 5번,11470,11470510
202112,A,골목상권,2110684,서울공연예술고등학교,11530,11530790
202112,A,골목상권,2110757,양평역 2번,11560,11560610
202112,A,골목상권,2110878,미림여고,11620,11620745
202112,A,골목상권,2110866,난우중학교,11620,11620775
202112,A,골목상권,2110379,KT&G 북부지사,11305,11305590
202112,A,골목상권,2110882,신성초등학교,11620,11620665
202112,A,골목상권,2110724,금천구립가산도서관,11545,11545510
202112,A,골목상권,2110926,신중초등학교,11650,11650530
202112,A,골목상권,2111016,송파역 2번,11710,11710590
202112,A,골목상권,2110223,군자초등학교,11230,11230650
202112,A,골목상권,2110648,양천향교역 7번,11500,11500603
202112,A,골목상권,2110629,송정역 4번,11500,11500620
202112,A,골목상권,2110023,서울대병원,11110,11110640
202112,A,골목상권,2110946,청계산원터골,11650,11650652
202112,A,골목상권,2110160,광진경찰서,11215,11215850
202112,A,골목상권,2110923,방배역 1번,11650,11650620
202112,A,골목상권,2110788,영등포시장역 3번,11560,11560535
202112,A,골목상권,2111011,잠실나루역,11710,11710690
202112,A,골목상권,2110950,논현역 7번,11680,11680521
202112,A,골목상권,2110991,삼성중앙역 5번,11680,11680580
202112,A,골목상권,2110774,당산반도유보라팰리스아파트,11560,11560560
202112,A,골목상권,2110796,한림대학교한강성심병원,11560,11560535
202112,A,골목상권,2110601,신월1동우편취급국,11470,11470560
202112,A,골목상권,2110687,천왕역 3번(오류2동주민센터 서울오류남초등학교),11530,11530780
202112,A,골목상권,2110618,강서고등학교,11470,11470540
202112,A,골목상권,2110545,마포구청역 1번,11440,11440730
202112,A,골목상권,2110460,구산역 4번,11380,11380552
202112,A,골목상권,2110483,연천초등학교,11380,11380530
202112,A,골목상권,2110906,서문여고,11650,11650621
202112,A,골목상권,2110626,양화초등학교,11470,11470520
202112,A,골목상권,2110745,독산동정훈단지,11545,11545620
202112,A,골목상권,2110790,대림1동주민센터,11560,11560670
202112,A,골목상권,2110795,도림초등학교,11560,11560650
202112,A,골목상권,2110501,연희어린이공원,11410,11410615
202112,A,골목상권,2110514,서대문우체국,11410,11410585
202112,A,골목상권,2110838,상도1동주민센터앞,11590,11590530
202112,A,골목상권,2110488,우리은행응암동지점,11380,11380580
202112,A,골목상권,2110288,동구여중,11290,11290525
202112,A,골목상권,2110204,간데메공원,11230,11230600
202112,A,골목상권,2110340,인수중학교,11305,11305660
202112,A,골목상권,2110011,청운초등학교,11110,11110515
202112,A,골목상권,2110189,제기동역 1번,11230,11230545
202112,A,골목상권,2110231,장안교,11230,11230660
202112,A,골목상권,2110475,백련산해모로아파트,11380,11380580
202112,A,골목상권,2110890,봉천역 1번(관악초등학교),11620,11620595
202112,A,골목상권,2110435,서울과학기술대,11350,11350600
202112,A,골목상권,2110401,도봉구민회관,11320,11320515
202112,A,골목상권,2110337,아카데미하우스,11305,11305660
202112,A,골목상권,2110195,동대문구청,11230,11230536
202112,A,골목상권,2110388,도봉우체국,11320,11320680
202112,A,골목상권,2110224,외대앞역 2번,11230,11230720
202112,A,골목상권,2110246,월드순복음교회,11260,11260590
202112,A,골목상권,2110423,석계역 2번,11350,11350560
202112,A,골목상권,2110271,신내역 1번,11260,11260680
202112,A,골목상권,2110104,신금호역 4번,11200,11200615
202112,A,골목상권,2110193,고려대역 4번,11230,11230545
202112,A,골목상권,2110373,수유역 2번,11305,11305590
202112,A,골목상권,2110960,은광여고,11680,11680655
202112,A,골목상권,2111055,선사초등학교,11740,11740580
202112,A,골목상권,2110773,당산역 13번,11560,11560620
202112,A,골목상권,2110072,열정도,11170,11170560
202112,A,골목상권,2110121,한양대역 4번,11200,11200550
202112,A,골목상권,2110990,청담역 12번,11680,11680565
202112,A,골목상권,2110797,KT대방빌딩,11560,11560680
202112,A,골목상권,2110100,옥수동우편취급국,11200,11200645
202112,A,골목상권,2110091,리움미술관,11170,11170685
202112,A,골목상권,2110805,신길새마을금고신길4동지점,11560,11560660
202112,A,골목상권,2110663,우장산롯데캐슬아파트앞,11500,11500591
202112,A,골목상권,2110530,아현역 1번,11410,11410555
202112,A,골목상권,2110026,종로5가역 4번,11110,11110630
202112,A,골목상권,2110043,충무초등학교,11140,11140580
202112,A,골목상권,2110564,홍대입구역 3번,11440,11440660
202112,A,골목상권,2110948,헌인가구단지,11650,11650660
202112,A,골목상권,2110238,배꽃어린이공원,11260,11260610
202112,A,골목상권,2110914,내방역 6번,11650,11650621
202112,A,골목상권,2110880,신림역 1번,11620,11620645
202112,A,골목상권,2110779,대림갑을명가아파트,11560,11560700
202112,A,골목상권,2110791,신풍역 3번,11560,11560670
202112,A,골목상권,2111037,Sh수협은행 오금동금융센터(아랫말어린이공원),11710,11710570
202112,A,골목상권,2110705,고산초등학교,11530,11530720
202112,A,골목상권,2110570,KB국민은행 서강지점,11440,11440630
202112,A,골목상권,2110921,서울프랑스학교,11650,11650581
202112,A,골목상권,2110798,신풍역 2번,11560,11560680
202112,A,골목상권,2110852,이수역 9번,11590,11590620
202112,A,골목상권,2110343,무너미어린이공원,11305,11305645
202112,A,골목상권,2110523,홍제성원아파트,11410,11410620
202112,A,골목상권,2110200,동대문경찰서,11230,11230705
202112,A,골목상권,2110965,언주역 6번,11680,11680640
202112,A,골목상권,2110275,하나은행 망우동지점,11260,11260655
202112,A,골목상권,2110298,솔숲어린이공원,11290,11290620
202112,A,골목상권,2110347,구세군강북종합사회복지관,11305,11305534
202112,A,골목상권,2110383,덕성여대시반거리,11320,11320660
202112,A,골목상권,2110389,한일병원,11320,11320680
202112,A,골목상권,2110342,국립재활원,11305,11305660
202112,A,골목상권,2110412,창동중학교,11320,11320690
202112,A,골목상권,2110320,KB국민은행 종암동지점,11290,11290705
202112,A,골목상권,2110678,염창무학아파트,11500,11500510
