STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TOT_FLPOP_CO,ML_FLPOP_CO,FML_FLPOP_CO,AGRDE_10_FLPOP_CO,AGRDE_20_FLPOP_CO,AGRDE_30_FLPOP_CO,AGRDE_40_FLPOP_CO,AGRDE_50_FLPOP_CO,AGRDE_60_ABOVE_FLPOP_CO,TMZON_1_FLPOP_CO,TMZON_2_FLPOP_CO,TMZON_3_FLPOP_CO,TMZON_4_FLPOP_CO,TMZON_5_FLPOP_CO,TMZON_6_FLPOP_CO,MON_FLPOP_CO,TUES_FLPOP_CO,WED_FLPOP_CO,THUR_FLPOP_CO,FRI_FLPOP_CO,SAT_FLPOP_CO,SUN_FLPOP_CO
2021,4,U,관광특구,1001496,강남 마이스 관광특구,102294,51045,51249,6685,21900,28948,22434,12589,9738,6689,19499,23560,24558,22174,5813,13986,15268,15268,16676,16343,12935,10865
2021,4,U,관광특구,1001495,잠실 관광특구,3371333,1642782,1728551,336818,754106,804522,556163,426079,493644,584728,629946,509612,546549,724599,375897,471969,479673,479673,486816,489461,497158,460732
2021,4,U,관광특구,1001494,종로?청계 관광특구,3868466,2102996,1765468,124708,651068,723927,731587,722852,914323,462986,757573,798728,807412,739611,302155,579395,620051,620051,625190,616411,463525,338464
2021,4,U,관광특구,1001493,동대문패션타운 관광특구,3218311,1544837,1673475,128933,584937,813482,650008,490638,550314,731969,649151,471414,447697,512591,405488,480120,506022,506022,506558,498361,391061,329634
2021,4,U,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,3954704,2007791,1946913,131802,728140,1006255,882083,629170,577254,252573,841244,952658,945620,757425,205182,582190,651911,651911,660551,645755,423363,328433
2021,4,U,관광특구,1001491,이태원 관광특구,1905510,948480,957032,113917,497727,449773,300496,235536,308062,362771,335369,257923,285280,415741,248426,250115,249283,249283,257755,281982,322373,290501
2021,4,R,전통시장,2130326,고덕 골목형상점가,159978,73096,86882,28652,14747,27373,29963,23183,36061,38913,35263,19485,19281,26967,20069,22935,22884,22884,23009,23009,22740,22436
2021,4,R,전통시장,2130325,명일전통시장,219852,97364,122488,37384,22828,29553,35659,35379,59050,43792,42848,29820,30535,44496,28360,31220,31515,31515,31433,31880,31348,30681
2021,4,R,전통시장,2130324,길동복조리시장,508307,231976,276329,84513,54425,70350,77033,80352,141634,146702,103596,56948,56687,79635,64738,72626,71753,71753,70562,72257,75142,74834
2021,4,R,전통시장,2130323,둔촌역전통시장,352941,175201,177739,54666,45990,44468,54028,61011,92778,96351,72050,39669,40902,59171,44795,50407,49644,49644,50027,50303,51519,50640
2021,4,R,전통시장,2130322,고분다리전통시장,266287,131379,134906,38829,33606,39245,36574,44424,73608,75081,54378,29924,29970,43293,33643,37748,37106,37106,36788,36887,39770,41114
2021,4,R,전통시장,2130321,장신구 특화거리 상점가,158541,73740,84802,32654,20076,23643,26257,23290,32621,29807,33665,24859,24393,29416,16402,22865,23041,23041,23122,22935,21752,21733
2021,4,R,전통시장,2130320,암사종합시장,119166,56483,62684,12877,16188,21388,18195,20297,30222,27518,21871,15823,17146,22821,13986,17007,16888,16888,16876,17153,17642,16732
