,name,gubun,score,visitCount,blogCount
0,런던 베이글 뮤지엄 도산점,베이커리,,방문자 리뷰_ 61,블로그 리뷰_ 191
1,꽁티드툴레아,브런치,,"방문자 리뷰_ 2,669","블로그 리뷰_ 2,415"
2,뉴만두집,만두,4.37/5,방문자 리뷰_ 954,블로그 리뷰_ 694
3,카페무니 압구정본점,"카페,디저트",4.37/5,방문자 리뷰_ 226,블로그 리뷰_ 435
4,포스터리 베이커,케이크전문,4.37/5,방문자 리뷰_ 262,블로그 리뷰_ 238
5,압구정하루,일식당,4.37/5,"방문자 리뷰_ 2,075","블로그 리뷰_ 1,536"
6,온기정,일식당,4.3/5,"방문자 리뷰_ 1,338",블로그 리뷰_ 948
7,카페 노티드 청담,카페,4.44/5,"방문자 리뷰_ 15,150","블로그 리뷰_ 5,689"
8,리틀넥 청담,이탈리아음식,4.5/5,"방문자 리뷰_ 2,085","블로그 리뷰_ 3,278"
9,호족반,한식,4.34/5,"방문자 리뷰_ 1,450","블로그 리뷰_ 1,642"
10,쮸즈,"딤섬,중식만두",4.38/5,"방문자 리뷰_ 1,418","블로그 리뷰_ 2,085"
11,까폼,태국음식,4.52/5,"방문자 리뷰_ 1,404","블로그 리뷰_ 1,225"
12,벽돌해피푸드 압구정점,중식당,4.46/5,방문자 리뷰_ 520,블로그 리뷰_ 699
13,미미면가,일식당,4.27/5,"방문자 리뷰_ 1,393","블로그 리뷰_ 1,852"
14,아우어베이커리 가로수길점,베이커리,4.46/5,"방문자 리뷰_ 3,077","블로그 리뷰_ 1,830"
15,달마시안,양식,4.46/5,방문자 리뷰_ 657,블로그 리뷰_ 915
16,삼원가든,한식,4.46/5,방문자 리뷰_ 474,블로그 리뷰_ 428
17,묵전,"전통,민속주점",4.45/5,방문자 리뷰_ 695,블로그 리뷰_ 743
18,올리버,일식당,4.45/5,방문자 리뷰_ 43,블로그 리뷰_ 34
19,카멜커피,"카페,디저트",4.43/5,"방문자 리뷰_ 1,577","블로그 리뷰_ 1,085"
20,오스테리아 꼬또 압구정점,이탈리아음식,4.43/5,"방문자 리뷰_ 1,120","블로그 리뷰_ 1,169"
21,달래해장,한식,4.43/5,방문자 리뷰_ 287,블로그 리뷰_ 207
22,마일스톤 커피,카페,4.62/5,"방문자 리뷰_ 1,514","블로그 리뷰_ 1,319"
23,대막,일식당,4.43/5,방문자 리뷰_ 841,"블로그 리뷰_ 1,434"
24,뉴욕라츠오베이글스,베이글,4.53/5,"방문자 리뷰_ 1,321",블로그 리뷰_ 543
25,아베크 청담,양식,4.39/5,방문자 리뷰_ 408,블로그 리뷰_ 588
26,다운타우너 청담,햄버거,4.61/5,"방문자 리뷰_ 3,034","블로그 리뷰_ 2,810"
27,우와,일식당,4.48/5,방문자 리뷰_ 870,"블로그 리뷰_ 1,219"
28,플레이버스 바이 바프,양식,4.48/5,방문자 리뷰_ 43,블로그 리뷰_ 57
29,신사전,"전,빈대떡",4.31/5,방문자 리뷰_ 520,블로그 리뷰_ 392
30,파넬,양식,4.17/5,방문자 리뷰_ 874,블로그 리뷰_ 847
31,브루클린더버거조인트 가로수길점,햄버거,4.48/5,"방문자 리뷰_ 1,769","블로그 리뷰_ 2,477"
32,한올,양식,4.48/5,방문자 리뷰_ 37,블로그 리뷰_ 22
33,무탄,중식당,4.36/5,"방문자 리뷰_ 1,630","블로그 리뷰_ 1,296"
34,르브런쉭 신사점,브런치,4.34/5,방문자 리뷰_ 625,블로그 리뷰_ 806
35,뱃고동,낙지요리,4.28/5,"방문자 리뷰_ 2,150","블로그 리뷰_ 1,464"
36,클랩피자 청담점,피자,4.52/5,"방문자 리뷰_ 2,427","블로그 리뷰_ 1,274"
37,지아니스나폴리 가로수길점,이탈리아음식,4.35/5,방문자 리뷰_ 348,블로그 리뷰_ 779
38,콴안다오,베트남음식,4.52/5,"방문자 리뷰_ 1,356","블로그 리뷰_ 1,169"
39,카츠바이콘반,일식당,4.58/5,"방문자 리뷰_ 1,080","블로그 리뷰_ 1,124"
40,카이센동 우니도,일식당,4.84/5,방문자 리뷰_ 378,블로그 리뷰_ 235
41,핫쵸,일식당,4.46/5,방문자 리뷰_ 373,블로그 리뷰_ 478
42,선데이 버거 클럽,햄버거,4.53/5,방문자 리뷰_ 616,블로그 리뷰_ 564
43,도산분식 도산공원점,종합분식,4.23/5,"방문자 리뷰_ 1,078","블로그 리뷰_ 1,662"
44,도산맘마미아,"카페,디저트",4.36/5,"방문자 리뷰_ 2,086","블로그 리뷰_ 2,407"
45,강남면옥 본점,냉면,4.28/5,"방문자 리뷰_ 1,214",블로그 리뷰_ 648
46,샌드커피 논탄토 신사,카페,4.47/5,방문자 리뷰_ 617,블로그 리뷰_ 762
47,다이닝 목로,요리주점,4.65/5,방문자 리뷰_ 388,블로그 리뷰_ 546
48,안동국시,국수,4.26/5,방문자 리뷰_ 145,블로그 리뷰_ 83
