이름,평점,리뷰 수,카테고리,주소
왕비집 명동 본점,4.0,450,한국,서울 중구 충무로2가 63-3 2층
뉴델리,5.0,123,인도 요리,서울 강남구 논현로176길 28 신사동
류니끄,4.5,131,퓨전,서울 강남구 강남대로162길 40
코리아노스 키친,4.0,76,멕시코 요리,서울 강남구 선릉로157길 25 B1
스쿨푸드 가로수길점,4.0,114,아시아 요리,서울 강남구 도산대로 139
강남면옥,4.0,59,아시아 요리,서울 강남구 논현로152길 34
권숙수,4.5,50,한국,서울 강남구 언주로170길 27 4층
뱃고동,4.5,42,아시아 요리,서울 강남구 언주로172길 54
삼원 가든 본점,4.0,147,바베큐,서울 강남구 언주로 835
깐부치킨 신사역점,4.0,37,한국,서울 강남구 강남대로152길 30 태웅빌딩 1층
셰막,4.5,34,아시아 요리,서울 강남구 신사동 536-1
한일관 영등포점,4.5,32,한국,서울 영등포구 영중로 15
포도식당 압구정점,4.5,27,아시아 요리,서울 강남구 신사동 570-4 일신빌딩 1층
투뿔 등심 논현2호점,4.5,26,아시아 요리,서울 강남구 언주로148길 19
김북순 큰남비집,4.5,33,아시아 요리,서울 강남구 신사동 536-8 우림빌딩 1층
압구정 미연,5.0,14,한국,서울 강남구 압구정로54길 14 지하1층
톡톡,4.5,20,유럽 요리,서울 강남구 도산대로51길 33 3층
일일향,4.5,24,중국 요리,서울 강남구 신사동 601-3
저스트 스테이크,4.5,22,스테이크하우스,서울 강남구 신사동 657-3
삼원가든 대치점,4.5,24,한국,서울 강남구 대치2동 993-1
엘본 더 테이블 가로수길 본점 ,3.5,59,유럽 요리,서울 강남구 신사동 530-5
세광양대창 - 신사역가로수길점,5.0,10,바베큐,서울 강남구 도산대로1길 24 1층
스시선수,5.0,13,일본 요리,서울 강남구 도산대로45길 6 호림아트센터 2빌딩
가온,4.0,30,한국,서울 강남구 도산대로 317 호림아트빌딩 M층
베러댄비프,4.0,31,아시아 요리,서울 도산대로11길 5
메드포갈릭 압구정점,4.0,45,이탈리아 요리,서울 강남구 신사동 616-1 파티마빌딩 지하 1층
달빛술담,4.5,20,아시아 요리,서울 강남구 압구정로46길 38
바나나트리,4.5,13,점심식사,서울 압구정로4길 10 CU 편의점 뒷편 1층
머그포래빗,4.5,17,아시아 요리,서울 강남구 논현로153길 53
왕비집 명동 본점,4.0,450,한국,서울 중구 충무로2가 63-3 2층
아우어 베이커리,4.0,15,카페,서울 강남구 도산대로45길 10-11 JYC2 빌딩
연타발 압구정 본점,4.0,15,아시아 요리,서울 강남구 도산대로 231
아비꼬 신사가로수길점,4.0,17,일본 요리,서울 강남구 강남대로152길 46
메이드 레스토랑,4.5,10,이탈리아 요리,서울 강남구 논현로175길 17
한일관,4.0,17,아시아 요리,서울 강남구 압구정로38길 14
백곰막걸리&양조장,4.5,7,자가 맥주 판매pub,서울 강남구 압구정로48길 39 657-7 Sinsa-dong
신 마포 갈매기 가로수길점,4.0,11,아시아 요리,서울 강남구 신사동 536-8
유노추보,4.0,11,일본 요리,"서울 강남구 신사동 524-14  영진빌딩 1층 1F, Yeongjin Bldg."
램브라튼,4.5,6,바,서울 강남구 압구정로10길 30-10
테이블스타,4.0,9,이탈리아 요리,서울 강남구 논현로153길 62
라미띠에,4.5,10,프랑스 요리,서울 강남구 언주로153길 7 2층
임프레션,5.0,4,미국 요리,서울 강남구 언주로164길 24 5층
꼬에모,5.0,4,유럽 요리,서울 강남구 압구정로46길 71-1 2층
위키드스노우 가로수길점,4.0,10,카페,서울 강남구 압구정로14길 6
완산골명가 압구정2호점,4.5,11,아시아 요리,서울 대한민국 서울시 강남구 압구정로20길 21
까폼,5.0,4,아시아 요리,서울 강남구 선릉로153길 18
왕비집 명동 본점,4.0,450,한국,서울 중구 충무로2가 63-3 2층
이타카,5.0,4,인터내셔널,서울 언주로174길 30
레이지쿠오레,4.5,6,이탈리아 요리,서울 강남구 도산대로45길 16-11
buonasera,4.0,16,이탈리아 요리,서울 강남구 신사동 650-1
교촌치킨,4.5,5,아시아 요리,서울 언주로172길 29
마이쏭,4.0,9,미국 요리,서울 강남구 신사동 650-17
하루,4.0,11,일본 요리,서울 신사동 663-9
피어세븐틴,4.0,7,멕시코 요리,서울 강남구 압구정로10길 13 2층
오리엔탈 스푼 압구정 본점,4.0,12,아시아 요리,서울 강남구 신사동 647-24 지하1층
스시기요세,5.0,3,일본 요리,서울 강남구 압구정로46길 73
한우리,4.0,9,아시아 요리,서울 도산대로 304
왕비집 명동 본점,4.0,450,한국,서울 중구 충무로2가 63-3 2층
두부공작소,4.0,5,해산물,서울 강남대로160길 21
미드가르드,4.5,6,유럽 요리,서울 강남구 도산대로17길 6
사람사는 고깃집 김일도 신사점,5.0,3,아시아 요리,서울 강남구 압구정로2길 46
빌라 드 스파이시,3.5,16,아시아 요리,서울 강남구 도산대로13길 14-3
JS 가든,4.0,12,중국 요리,서울 강남구 논현동 92 SB Tower C동 1F
카페포엠,4.0,6,카페,서울 강남구 신사동 525-14
르타오,4.0,7,아시아 요리,서울 압구정로18길 31
미아전,4.5,3,아시아 요리,서울 강남구 언주로164길 34-1 1층
더 팬케이크 에피데믹,3.5,14,카페,서울 강남구 압구정로46길 42
솔트,4.5,4,점심식사,서울 강남대로158길 9
2시의 테이블 by 메종 드 꾸숑,5.0,4,스테이크하우스,서울 강남구 압구정로12길 42-1
24절기,4.0,6,인터내셔널,서울 도산대로37길 13
만두집,4.0,5,아시아 요리,서울 강남구 신사동 661-1
크래프트한스 강남직영점,3.5,11,바,서울 서초구 강남대로65길 7 3층
알로 페이퍼가든,4.0,5,카페,서울 강남구 압구정로10길 44
헥사곤 가로수길점,4.0,6,멕시코 요리,서울 강남구 도산대로11길 15 대영빌딩 2층
미앙,5.0,2,타이 요리,서울 강남구 논현로 854 안다즈호텔 지하1층
볼피노 - 서울,4.5,3,이탈리아 요리,서울 강남구 도산대로45길 10-7
스쿠로,4.5,3,이탈리아 요리,서울 강남구 도산대로17길 31 1F 스쿠로
반장떡볶이,4.0,6,아시아 요리,서울 도산대로 135
페어링6,4.0,5,일본 요리,서울 강남구 압구정로 152
나마스테 청담점,4.0,7,인도 요리,서울 강남구 신사동 548
