,name,score,visitCount,blogCount
0,도도곱창 건대본점,4.72/5,방문자 리뷰_ 548,블로그 리뷰_ 309
1,도단집,4.66/5,방문자 리뷰_ 448,블로그 리뷰_ 208
2,송화산시도삭면,4.53/5,"방문자 리뷰_ 1,046","블로그 리뷰_ 1,426"
3,서북면옥,4.26/5,"방문자 리뷰_ 1,199","블로그 리뷰_ 1,403"
4,오마카세 오사이초밥 건대본점,4.8/5,"방문자 리뷰_ 2,314",블로그 리뷰_ 389
5,매운향솥 마라탕 마라샹궈,4.47/5,방문자 리뷰_ 981,"블로그 리뷰_ 1,057"
6,송화산시도삭면 2호점,4.44/5,"방문자 리뷰_ 1,509",블로그 리뷰_ 543
7,에스프레소바 투또톤토,4.44/5,방문자 리뷰_ 140,블로그 리뷰_ 66
8,마초쉐프 건대점,4.7/5,"방문자 리뷰_ 2,010",블로그 리뷰_ 943
9,로니로티 건대점,4.47/5,"방문자 리뷰_ 1,953","블로그 리뷰_ 1,667"
10,비에이치테이블,4.54/5,방문자 리뷰_ 289,블로그 리뷰_ 384
11,오코노미야키식당하나,4.52/5,방문자 리뷰_ 576,블로그 리뷰_ 479
12,모츠커피,4.65/5,방문자 리뷰_ 265,블로그 리뷰_ 259
13,포비,4.45/5,방문자 리뷰_ 428,블로그 리뷰_ 631
14,daughter,4.49/5,방문자 리뷰_ 547,블로그 리뷰_ 716
15,페스타마레 건대본점,4.72/5,"방문자 리뷰_ 3,278","블로그 리뷰_ 1,344"
16,오우,4.72/5,방문자 리뷰_ 53,블로그 리뷰_ 25
17,감성타코 건대점,4.32/5,"방문자 리뷰_ 1,113",블로그 리뷰_ 870
18,봉자마라탕,4.25/5,방문자 리뷰_ 103,블로그 리뷰_ 340
19,민벅 건대본점,4.31/5,"방문자 리뷰_ 2,843","블로그 리뷰_ 1,704"
20,더 클래식 500 라구뜨,4.56/5,"방문자 리뷰_ 3,334","블로그 리뷰_ 1,003"
21,백소정 건대본점,4.56/5,"방문자 리뷰_ 1,951",블로그 리뷰_ 174
22,고기굽는놈,4.64/5,방문자 리뷰_ 815,블로그 리뷰_ 980
23,심야식당 후타리,4.79/5,방문자 리뷰_ 389,블로그 리뷰_ 257
24,뽕사부,4.61/5,"방문자 리뷰_ 2,204",블로그 리뷰_ 350
25,요비,4.41/5,방문자 리뷰_ 102,블로그 리뷰_ 308
26,송화양꼬치,4.48/5,방문자 리뷰_ 702,블로그 리뷰_ 752
27,화기애애 건대본점,4.56/5,방문자 리뷰_ 608,"블로그 리뷰_ 1,137"
28,라화쿵부 건대점,4.66/5,"방문자 리뷰_ 6,710","블로그 리뷰_ 1,326"
29,장미술상 건대점,4.96/5,방문자 리뷰_ 257,블로그 리뷰_ 143
30,아찌떡볶이,4.33/5,방문자 리뷰_ 901,블로그 리뷰_ 465
31,함흥본가면옥,4.37/5,"방문자 리뷰_ 2,461",블로그 리뷰_ 351
32,마당족발,4.37/5,방문자 리뷰_ 315,블로그 리뷰_ 423
33,카페 그자체 베이커리,4.59/5,방문자 리뷰_ 877,블로그 리뷰_ 682
34,원보양꼬치,4.56/5,방문자 리뷰_ 291,블로그 리뷰_ 478
35,조용한주택,4.72/5,방문자 리뷰_ 817,블로그 리뷰_ 148
36,정통집 건대점,4.39/5,방문자 리뷰_ 259,블로그 리뷰_ 351
37,느린마을양조장 건대점,4.64/5,방문자 리뷰_ 498,블로그 리뷰_ 862
38,미분당,4.44/5,방문자 리뷰_ 894,블로그 리뷰_ 674
39,용용선생 건대점,4.59/5,방문자 리뷰_ 466,블로그 리뷰_ 207
40,972Bar,4.58/5,방문자 리뷰_ 95,블로그 리뷰_ 437
41,경성양육관,4.58/5,방문자 리뷰_ 704,블로그 리뷰_ 782
42,대흥양다리바베큐 건대점,4.35/5,방문자 리뷰_ 240,블로그 리뷰_ 189
43,캐치볼클럽,4.35/5,방문자 리뷰_ 332,블로그 리뷰_ 729
44,만경상회 건대본점,4.42/5,"방문자 리뷰_ 1,113",블로그 리뷰_ 500
45,아오스요거트,4.5/5,방문자 리뷰_ 894,블로그 리뷰_ 458
46,우마이도 건대점,4.44/5,방문자 리뷰_ 593,"블로그 리뷰_ 1,071"
47,남한강민물매운탕,4.38/5,방문자 리뷰_ 422,블로그 리뷰_ 227
48,건대사시미,4.45/5,방문자 리뷰_ 366,블로그 리뷰_ 528
49,겐로쿠우동 건대직영점,4.59/5,방문자 리뷰_ 457,블로그 리뷰_ 410
50,건대 숯불부자곱창,4.84/5,방문자 리뷰_ 485,블로그 리뷰_ 243
51,성수완당 본점,4.56/5,방문자 리뷰_ 337,블로그 리뷰_ 205
52,폰버거,4.63/5,방문자 리뷰_ 234,블로그 리뷰_ 196
53,열매제과점,4.69/5,방문자 리뷰_ 288,블로그 리뷰_ 268
54,드로잉레시피,4.63/5,방문자 리뷰_ 360,블로그 리뷰_ 274
55,카페 아르무아,4.44/5,방문자 리뷰_ 669,블로그 리뷰_ 988
56,최신족발,4.42/5,방문자 리뷰_ 588,블로그 리뷰_ 896
57,꼼주,4.54/5,방문자 리뷰_ 165,블로그 리뷰_ 196
58,언리미티드,4.52/5,방문자 리뷰_ 201,블로그 리뷰_ 460
59,삼꾸미집 건대점,4.52/5,방문자 리뷰_ 43,블로그 리뷰_ 54
60,후토,4.47/5,방문자 리뷰_ 146,블로그 리뷰_ 148
