업소명,별점,리뷰수,좋아요수,소재지지번
브루클린더버거조인트 가로수길점,4.4,70,857,서울특별시 강남구 신사동 540-11
뱃고동 본점,4.2,20,199,서울시 강남구 신사동 663
이치에,4.7,7,388,서울특별시 강남구 신사동 656-7 2층
대가방 압구정동점,4.4,7,39,서울시 강남구 신사동 549-8
리북집 신사점,4.1,11,125,서울특별시 강남구 신사동 537-10
한추,3.8,33,496,서울특별시 강남구 신사동 549-9
김북순 큰남비집 본점,4.3,9,54,서울시 강남구 신사동 522
고급오복수산,4.4,7,7,서울시 강남구 신사동 603 안다즈호텔 지하1층
매덕스피자 신사점,4.4,9,10,서울시 강남구 신사동 541-11
산동교자관,4.6,4,114,서울특별시 강남구 신사동 615
벙커컴퍼니 압구정점,4.0,4,5,"서울 강남구 신사동 607-20 단독주택 1, 2층"
우마텐 텐동,4.2,11,62,서울특별시 강남구 신사동 661-10
한일관 압구정점,3.9,12,259,서울특별시 강남구 신사동 619-4
송쉐프,3.9,11,72,서울특별시 강남구 신사동 507-11
미미면가,4.3,6,6,서울특별시 강남구 신사동 521-16
두레국수,3.6,15,299,서울특별시 강남구 신사동 626-79
달래해장,4.5,2,10,서울특별시 강남구 신사동 510-11 강남시장
엘이베리코 압구정점,4.4,7,35,서울특별시 강남구 신사동 576-4
호화반점,4.5,12,22,서울특별시 강남구 신사동 661-4
보타르가,4.0,4,4,서울시 강남구 신사동 644
금수복국,4.4,7,31,서울특별시 강남구 신사동 627-13
마사타코,4.3,4,9,서울특별시 강남구 신사동 524-29
팻보이샌드위치,5.0,2,10,서울특별시 강남구 신사동 569-23
안동국시,4.2,3,7,서울시 강남구 신사동 612-2
우형준 정미소,4.2,5,56,서울특별시 강남구 신사동 572
인딕슬로우,4.6,6,11,서울특별시 강남구 신사동 525-4
대한곱창 신사점,4.3,8,3,서울시 강남구 신사동 515-10
딩딤1968,3.9,12,38,서울특별시 강남구 신사동 521-10
이끼롤까스 가로수길점,3.8,16,114,서울특별시 강남구 신사동 517-33
설매네,3.8,8,55,서울특별시 강남구 신사동 609-1
청초수물회 강남점,4.0,6,14,서울특별시 강남구 신사동 576-6
카페 로얄마카롱 신사역점,5.0,1,2,서울특별시 강남구 신사동 513 지하1층
Just Steak,4.0,7,183,서울특별시 강남구 신사동 631-16
스시인,5.0,1,105,서울특별시 강남구 신사동 645-28
춘식당,4.1,3,20,서울특별시 강남구 신사동 559-10
딸부자네불백,3.3,15,433,서울특별시 강남구 신사동 508-6
금성스테이크 부대찌개,3.7,9,61,서울특별시 강남구 신사동 640-1
이불덮밥 압구정점,3.6,3,7,서울시 강남구 신사동 577-5 카로시티 103호
양식당 더램키친,4.4,3,57,서울특별시 강남구 신사동 529-6 2층
리틀사이공 압구정점,4.2,6,132,서울특별시 강남구 신사동 640-1
카이센동 우니도,4.0,2,3,서울특별시 강남구 신사동 522
갓포아키,4.0,7,229,서울특별시 강남구 신사동 651-5
미분당,4.3,7,3,서울 강남구 신사동 511-20
마산옥,3.4,8,149,서울시 강남구 신사동 512-20 1층
영동소금구이 신사점,5.0,2,72,서울특별시 강남구 신사동 510-7
신비갈비살 본점,4.6,2,5,서울특별시 강남구 신사동 508-9
천미미,4.4,6,25,서울특별시 강남구 신사동 512-19
TWG 압구정점,3.9,6,3,서울특별시 강남구 신사동 603
피자익스프레스,4.1,10,4,서울특별시 강남구 신사동 524-31
담미온,4.0,5,24,서울특별시 강남구 신사동 569-30
