name,gubun,score,visitCount,blogCount
오늘도뚠뚠,"카페,디저트",4.54/5,방문자 리뷰_ 116,블로그 리뷰_ 25
솥돈 삼산점,돼지고기구이,4.59/5,방문자 리뷰_ 256,블로그 리뷰_ 55
북새통,떡볶이,4.37/5,방문자 리뷰_ 772,블로그 리뷰_ 291
오구당당 부평본점,쌈밥,4.38/5,"방문자 리뷰_ 1,971",블로그 리뷰_ 872
오캄,"스파게티,파스타전문",4.5/5,방문자 리뷰_ 690,블로그 리뷰_ 714
사오,베이커리,4.5/5,방문자 리뷰_ 734,블로그 리뷰_ 17
별미칡냉면원조,냉면,4.44/5,"방문자 리뷰_ 1,842",블로그 리뷰_ 496
그날곱창,"곱창,막창,양",4.88/5,"방문자 리뷰_ 1,054",블로그 리뷰_ 247
휘피디저트카페,"카페,디저트",4.54/5,방문자 리뷰_ 603,블로그 리뷰_ 434
참새초밥,"초밥,롤",4.69/5,"방문자 리뷰_ 3,384",블로그 리뷰_ 798
동두천솥뚜껑삼겹살 부평점,돼지고기구이,4.35/5,방문자 리뷰_ 625,블로그 리뷰_ 359
뚝배기이탈리아,이탈리아음식,4.5/5,방문자 리뷰_ 684,블로그 리뷰_ 239
로니로티 부평점,이탈리아음식,4.65/5,"방문자 리뷰_ 2,462",블로그 리뷰_ 694
차나드리,차,4.65/5,방문자 리뷰_ 329,블로그 리뷰_ 167
등갈비달인부평역점,"육류,고기요리",4.75/5,방문자 리뷰_ 641,블로그 리뷰_ 642
인브스키친,"스파게티,파스타전문",4.51/5,방문자 리뷰_ 923,블로그 리뷰_ 391
피플즈,피자,4.56/5,"방문자 리뷰_ 1,216","블로그 리뷰_ 1,149"
멜로우브런치하우스,브런치,4.53/5,방문자 리뷰_ 416,블로그 리뷰_ 146
삼미당,일본식라면,4.59/5,"방문자 리뷰_ 1,092",블로그 리뷰_ 659
부평막국수,냉면,4.37/5,방문자 리뷰_ 719,블로그 리뷰_ 277
캔모아 부평문화의거리점,"과일,주스전문점",4.35/5,방문자 리뷰_ 846,블로그 리뷰_ 387
실리제롬,베이커리,4.58/5,"방문자 리뷰_ 1,439",블로그 리뷰_ 236
참다랑어 막주는집 참치정육점 부평점,생선회,4.73/5,방문자 리뷰_ 73,블로그 리뷰_ 4
어그니스,"카페,디저트",4.83/5,방문자 리뷰_ 221,블로그 리뷰_ 97
키치키치다이닝,양식,4.55/5,방문자 리뷰_ 545,블로그 리뷰_ 428
인천뚝배기,"육류,고기요리",4.5/5,"방문자 리뷰_ 1,174",블로그 리뷰_ 720
쿠치나 디 나폴리,이탈리아음식,4.45/5,방문자 리뷰_ 530,블로그 리뷰_ 633
고망고,케이크전문,4.5/5,방문자 리뷰_ 436,블로그 리뷰_ 412
스시애 2호점,"일식,초밥뷔페",4.32/5,"방문자 리뷰_ 2,011","블로그 리뷰_ 1,147"
맛남살롱 부평점,브런치,4.58/5,방문자 리뷰_ 264,블로그 리뷰_ 188
우와,일식당,4.37/5,방문자 리뷰_ 907,블로그 리뷰_ 808
소코아 부평점,카레,4.59/5,"방문자 리뷰_ 1,006",블로그 리뷰_ 588
팔각도 부평역점,닭갈비,4.68/5,방문자 리뷰_ 568,블로그 리뷰_ 207
온센 부평점,일식당,4.41/5,"방문자 리뷰_ 1,379",블로그 리뷰_ 592
밀레,"카페,디저트",4.37/5,"방문자 리뷰_ 1,264",블로그 리뷰_ 483
홍미집 부평역점,닭볶음탕,4.37/5,방문자 리뷰_ 147,블로그 리뷰_ 47
더 레드락,"치킨,닭강정",4.48/5,방문자 리뷰_ 604,블로그 리뷰_ 433
불타는 주먹다짐,돼지고기구이,4.8/5,"방문자 리뷰_ 1,883",블로그 리뷰_ 627
