name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
오늘와인한잔 부평점,11.764705882352951%_10|,47.9745882352941%_20|,36.16988235294118%_30|,30.163999999999998%_40|,20.45670588235295%_50|,11.764705882352951%_60|,여자_52%,남자_48%
우프,39.39299999999991%_10|,74.1249999999999%_20|,81.30699999999993%_30|,69.70299999999997%_40|,41.42699999999989%_50|,22.913999999999884%_60|,여자_53%,남자_47%
북새통,6.377428571428551%_10|,24.21514285714282%_20|,32.22542857142855%_30|,37.81971428571428%_40|,23.589428571428556%_50|,10.963428571428562%_60|,여자_55%,남자_45%
오구당당 부평본점,20.166352941176463%_10|,49.48188235294117%_20|,46.300941176470594%_30|,47.71552941176471%_40|,46.49035294117646%_50|,41.315764705882344%_60|,여자_51%,남자_49%
오캄,51.75633333333332%_10|,75.43999999999997%_20|,58.67866666666664%_30|,47.39099999999999%_40|,35.04599999999998%_50|,29.75500000000001%_60|,여자_58%,남자_42%
사오,29.95176470588236%_10|,50.21647058823531%_20|,41.08235294117646%_30|,40.48141176470589%_40|,27.107764705882342%_50|,19.80517647058824%_60|,여자_59%,남자_41%
별미칡냉면원조,19.358117647058826%_10|,41.104705882352945%_20|,46.60329411764706%_30|,47.07317647058824%_40|,41.1865882352941%_50|,39.757411764705886%_60|,여자_45%,남자_55%
그날곱창,8.29485714285713%_10|,31.671428571428546%_20|,22.066285714285673%_30|,20.79799999999997%_40|,12.329999999999984%_50|,7.18199999999999%_60|,여자_48%,남자_52%
휘피디저트카페,74.60933333333332%_10|,77.17933333333333%_20|,47.26633333333333%_30|,34.67233333333334%_40|,25.553000000000008%_50|,25.78533333333332%_60|,여자_62%,남자_38%
참새초밥,12.60999999999998%_10|,34.4325714285714%_20|,20.41314285714283%_30|,16.210857142857133%_40|,8.830857142857125%_50|,4.834285714285696%_60|,여자_55%,남자_45%
동두천솥뚜껑삼겹살 부평점,51.158999999999985%_10|,76.96866666666664%_20|,57.044666666666664%_30|,48.07533333333331%_40|,35.97100000000001%_50|,33.18566666666666%_60|,여자_47%,남자_53%
뚝배기이탈리아,24.763999999999978%_10|,34.89714285714284%_20|,20.7962857142857%_30|,20.977142857142837%_40|,14.638285714285685%_50|,7.892857142857116%_60|,여자_57%,남자_43%
로니로티 부평점,23.60799999999998%_10|,30.225428571428548%_20|,18.39799999999998%_30|,20.525142857142846%_40|,12.270571428571417%_50|,9.283999999999976%_60|,여자_52%,남자_48%
차나드리,78.50749999999998%_10|,99.98649999999995%_20|,84.93549999999996%_30|,55.86099999999997%_40|,48.10199999999996%_50|,49.22999999999998%_60|,여자_57%,남자_43%
등갈비달인부평역점,36.388941176470595%_10|,47.22235294117645%_20|,36.29858823529411%_30|,31.746352941176465%_40|,24.058117647058815%_50|,11.764705882352951%_60|,여자_52%,남자_48%
인브스키친,25.00000000000001%_10|,99.06799999999996%_20|,89.11999999999995%_30|,76.79299999999998%_40|,63.92599999999996%_50|,46.82699999999999%_60|,여자_59%,남자_41%
피플즈,22.73685714285713%_10|,32.681142857142845%_20|,20.473714285714255%_30|,17.586857142857113%_40|,7.867428571428542%_50|,3.0977142857142597%_60|,여자_51%,남자_49%
멜로우브런치하우스,32.15035294117644%_10|,47.93529411764705%_20|,42.30941176470585%_30|,36.73482352941175%_40|,28.270823529411743%_50|,24.903529411764694%_60|,여자_62%,남자_38%
삼미당,41.05411764705881%_10|,50.85999999999999%_20|,39.70447058823529%_30|,31.611058823529408%_40|,26.060235294117636%_50|,11.764705882352951%_60|,여자_50%,남자_50%
부평막국수,15.740705882352943%_10|,37.23670588235293%_20|,41.72211764705882%_30|,43.49411764705881%_40|,43.38658823529412%_50|,48.070117647058815%_60|,여자_41%,남자_59%
캔모아 부평문화의거리점,48.392941176470586%_10|,49.53858823529412%_20|,34.924705882352924%_30|,23.723529411764716%_40|,15.713176470588227%_50|,18.425882352941173%_60|,여자_56%,남자_44%
실리제롬,56.12049999999999%_10|,93.74849999999998%_20|,90.87399999999998%_30|,80.67249999999996%_40|,58.144499999999965%_50|,41.240500000000004%_60|,여자_62%,남자_38%
첫번째부엌,15.385142857142828%_10|,30.68199999999997%_20|,16.903428571428556%_30|,11.214571428571409%_40|,6.236285714285695%_50|,3.88171428571425%_60|,여자_56%,남자_44%
마장돈 동암점,26.823999999999966%_10|,83.01699999999992%_20|,73.20399999999995%_30|,63.70599999999994%_40|,39.99299999999996%_50|,55.10799999999995%_60|,여자_43%,남자_57%
키치키치다이닝,39.63835294117646%_10|,50.89670588235293%_20|,41.24635294117646%_30|,35.87152941176468%_40|,28.0896470588235%_50|,24.515529411764692%_60|,여자_59%,남자_41%
인천뚝배기,14.40999999999997%_10|,30.900571428571403%_20|,20.54485714285713%_30|,20.265428571428544%_40|,13.456285714285698%_50|,10.759428571428531%_60|,여자_48%,남자_52%
쿠치나 디 나폴리,38.66070588235292%_10|,48.927529411764674%_20|,39.493411764705854%_30|,31.18188235294114%_40|,25.729882352941157%_50|,23.819058823529378%_60|,여자_53%,남자_47%
고망고,46.28729411764706%_10|,51.20376470588236%_20|,39.65670588235295%_30|,32.358588235294114%_40|,19.542352941176468%_50|,19.24729411764706%_60|,여자_57%,남자_43%
스시애 2호점,22.239714285714253%_10|,38.060285714285676%_20|,29.2325714285714%_30|,33.07742857142856%_40|,20.258571428571397%_50|,13.468571428571419%_60|,여자_40%,남자_60%
