name,gubun,score,visitCount,blogCount
솥돈 영등포점,돼지고기구이,4.47/5,방문자 리뷰_ 232,블로그 리뷰_ 97
해성중국요리,중식당,4.36/5,방문자 리뷰_ 264,블로그 리뷰_ 348
진주집,국수,4.4/5,"방문자 리뷰_ 5,569","블로그 리뷰_ 3,332"
정인면옥 본점,냉면,4.24/5,"방문자 리뷰_ 1,777","블로그 리뷰_ 1,598"
세상의 모든아침,브런치,4.26/5,"방문자 리뷰_ 2,668","블로그 리뷰_ 3,862"
갈빗,"육류,고기요리",4.49/5,방문자 리뷰_ 973,블로그 리뷰_ 918
대한옥,"곰탕,설렁탕",4.36/5,"방문자 리뷰_ 1,331","블로그 리뷰_ 1,613"
양키스 버거앤피자,피자,4.41/5,"방문자 리뷰_ 1,261",블로그 리뷰_ 632
오복수산 여의도점,일식당,4.51/5,"방문자 리뷰_ 1,010",블로그 리뷰_ 626
올드문래,"맥주,호프",4.46/5,"방문자 리뷰_ 1,770","블로그 리뷰_ 1,736"
화목순대국,"순대,순댓국",4.3/5,방문자 리뷰_ 982,블로그 리뷰_ 474
가양칼국수버섯매운탕,"칼국수,만두",4.44/5,"방문자 리뷰_ 2,207","블로그 리뷰_ 1,291"
코끼리베이글,베이글,4.41/5,"방문자 리뷰_ 4,000","블로그 리뷰_ 1,375"
원조호수삼계탕,"백숙,삼계탕",4.36/5,"방문자 리뷰_ 3,929","블로그 리뷰_ 1,268"
또순이네,소고기구이,4.25/5,"방문자 리뷰_ 2,752","블로그 리뷰_ 1,720"
사위식당 여의도점,"곱창,막창,양",4.57/5,"방문자 리뷰_ 1,305",블로그 리뷰_ 259
청수우동메밀냉면,"우동,소바",4.24/5,"방문자 리뷰_ 1,398",블로그 리뷰_ 666
몽밀,일식당,4.74/5,방문자 리뷰_ 462,블로그 리뷰_ 303
바스버거 여의도점,햄버거,4.51/5,"방문자 리뷰_ 1,239",블로그 리뷰_ 787
러스트 베이커리,베이커리,4.42/5,"방문자 리뷰_ 4,059","블로그 리뷰_ 2,153"
딘타이펑 영등포타임스퀘어점,중식당,4.3/5,"방문자 리뷰_ 2,238",블로그 리뷰_ 962
탭퍼블릭 여의도점,"맥주,호프",4.41/5,방문자 리뷰_ 986,블로그 리뷰_ 342
반카페,"카페,디저트",4.41/5,방문자 리뷰_ 349,블로그 리뷰_ 97
아향부 본점,중식당,4.44/5,방문자 리뷰_ 241,블로그 리뷰_ 221
그믐족발 본점,"족발,보쌈",4.43/5,"방문자 리뷰_ 1,156",블로그 리뷰_ 812
아루히,일식당,4.81/5,"방문자 리뷰_ 2,329",블로그 리뷰_ 872
소몽,일식당,4.81/5,방문자 리뷰_ 73,블로그 리뷰_ 32
아리수만찬,한식,4.26/5,"방문자 리뷰_ 1,480",블로그 리뷰_ 849
에베레스트 레스토랑 영등포점,인도음식,4.47/5,방문자 리뷰_ 867,"블로그 리뷰_ 1,065"
양키스그릴,"스테이크,립",4.5/5,"방문자 리뷰_ 1,011","블로그 리뷰_ 1,665"
청기와타운 영등포본점,"육류,고기요리",4.58/5,"방문자 리뷰_ 1,349",블로그 리뷰_ 786
을지다락 여의도,양식,4.61/5,방문자 리뷰_ 667,블로그 리뷰_ 415
화인,와인,4.76/5,방문자 리뷰_ 189,블로그 리뷰_ 208
삼거리먼지막순대국,"순대,순댓국",4.36/5,"방문자 리뷰_ 1,581",블로그 리뷰_ 538
테이스팅룸 IFC몰,이탈리아음식,4.44/5,"방문자 리뷰_ 2,418",블로그 리뷰_ 751
양키통닭 본점,"맥주,호프",4.48/5,"방문자 리뷰_ 1,424","블로그 리뷰_ 1,550"
골목집,오리요리,4.48/5,"방문자 리뷰_ 1,533",블로그 리뷰_ 662
카페노티드 여의도IFC점,카페,4.48/5,"방문자 리뷰_ 3,072",블로그 리뷰_ 553
베르두레,브런치,4.53/5,방문자 리뷰_ 689,블로그 리뷰_ 280
채윤희,포장마차,4.32/5,방문자 리뷰_ 416,블로그 리뷰_ 536
워킹온더클라우드,양식,4.69/5,"방문자 리뷰_ 5,023","블로그 리뷰_ 1,653"
하이디라오 영등포지점,중식당,4.61/5,"방문자 리뷰_ 2,831",블로그 리뷰_ 622
영일분식,종합분식,4.36/5,"방문자 리뷰_ 1,809","블로그 리뷰_ 1,293"
비어바나,"맥주,호프",4.31/5,"방문자 리뷰_ 1,167",블로그 리뷰_ 575
잠수교집 직영 문래점,돼지고기구이,4.53/5,방문자 리뷰_ 754,블로그 리뷰_ 447
호우섬 더현대서울점,중식당,4.31/5,"방문자 리뷰_ 3,308","블로그 리뷰_ 1,496"
구석집,한식,4.31/5,방문자 리뷰_ 499,블로그 리뷰_ 175
후라토식당 여의도직영점,일식당,4.63/5,"방문자 리뷰_ 1,564",블로그 리뷰_ 477
여의도 셋째집,돼지고기구이,4.63/5,방문자 리뷰_ 435,블로그 리뷰_ 602
콘래드서울 버티고,바(BAR),4.29/5,방문자 리뷰_ 978,블로그 리뷰_ 767
콘래드서울 제스트,뷔페,4.29/5,"방문자 리뷰_ 3,749",블로그 리뷰_ 956
아메리칸트레이 영등포타임스퀘어점,"다이어트,샐러드",4.29/5,방문자 리뷰_ 55,블로그 리뷰_ 61
원조부안집 본점,돼지고기구이,4.54/5,"방문자 리뷰_ 1,319",블로그 리뷰_ 560
당산오돌 본점,"육류,고기요리",4.54/5,방문자 리뷰_ 630,"블로그 리뷰_ 3,207"
대관원,중식당,4.35/5,방문자 리뷰_ 976,블로그 리뷰_ 446
브루클린더버거조인트 여의도점,햄버거,4.42/5,"방문자 리뷰_ 1,254",블로그 리뷰_ 590
동래정 본점,"육류,고기요리",4.66/5,방문자 리뷰_ 277,블로그 리뷰_ 234
라케이브,와인,4.79/5,방문자 리뷰_ 413,블로그 리뷰_ 234
콘타이 IFC몰점,태국음식,4.23/5,"방문자 리뷰_ 2,368",블로그 리뷰_ 666
여로집 영등포점,오징어요리,4.33/5,"방문자 리뷰_ 1,222",블로그 리뷰_ 803
달리181 여의도점,양식,4.33/5,방문자 리뷰_ 290,블로그 리뷰_ 116
계옥정,닭요리,4.33/5,방문자 리뷰_ 848,블로그 리뷰_ 163
웨이브스,양식,4.41/5,방문자 리뷰_ 940,"블로그 리뷰_ 1,186"
도쿄등심 여의도점,소고기구이,4.61/5,"방문자 리뷰_ 2,131","블로그 리뷰_ 2,396"
콘부 더현대서울,일본식라면,4.61/5,방문자 리뷰_ 91,블로그 리뷰_ 81
베르데커피,"카페,디저트",4.61/5,방문자 리뷰_ 243,블로그 리뷰_ 254
페어링,"스파게티,파스타전문",4.69/5,방문자 리뷰_ 911,블로그 리뷰_ 432
원조부안집 영등포역점,돼지고기구이,4.72/5,"방문자 리뷰_ 1,283",블로그 리뷰_ 484
너도나도식당,한식,4.34/5,방문자 리뷰_ 761,블로그 리뷰_ 371
쉐이크쉑 영등포 타임스퀘어점,햄버거,4.42/5,"방문자 리뷰_ 11,432",블로그 리뷰_ 902
오묘,일식당,4.82/5,방문자 리뷰_ 57,블로그 리뷰_ 44
폰트 문래점,"카페,디저트",4.82/5,방문자 리뷰_ 593,블로그 리뷰_ 406
카페레이어드 더현대서울점,베이커리,4.41/5,방문자 리뷰_ 618,"블로그 리뷰_ 1,102"
함흥냉면,냉면,4.28/5,"방문자 리뷰_ 1,085",블로그 리뷰_ 403
우미노미,일식당,4.28/5,방문자 리뷰_ 660,블로그 리뷰_ 420
느루집,닭갈비,4.28/5,방문자 리뷰_ 75,블로그 리뷰_ 32
블루보틀 여의도 카페,블루보틀,4.43/5,"방문자 리뷰_ 6,522",블로그 리뷰_ 816
틈커피,"카페,디저트",4.43/5,방문자 리뷰_ 22,블로그 리뷰_ 21
이한스시,"초밥,롤",4.38/5,"방문자 리뷰_ 1,669","블로그 리뷰_ 1,457"
렌위치,샌드위치,4.38/5,방문자 리뷰_ 298,블로그 리뷰_ 99
플라츠,양식,4.2/5,방문자 리뷰_ 273,블로그 리뷰_ 274
쉐프조  문래본점,케이크전문,4.41/5,"방문자 리뷰_ 2,608",블로그 리뷰_ 708
목화원,일식당,4.41/5,방문자 리뷰_ 35,블로그 리뷰_ 32
로라멘,일본식라면,4.51/5,방문자 리뷰_ 538,블로그 리뷰_ 479
타마스시,"초밥,롤",4.63/5,방문자 리뷰_ 492,블로그 리뷰_ 671
카페1953위드오드리,"카페,디저트",4.48/5,"방문자 리뷰_ 1,729",블로그 리뷰_ 843
곱 문래점,"곱창,막창,양",4.48/5,방문자 리뷰_ 929,블로그 리뷰_ 906
앤티크커피,"카페,디저트",4.63/5,방문자 리뷰_ 546,블로그 리뷰_ 403
이조보쌈,"족발,보쌈",4.27/5,"방문자 리뷰_ 1,523",블로그 리뷰_ 757
호텔707,바(BAR),4.41/5,방문자 리뷰_ 802,"블로그 리뷰_ 1,642"
귀비주옥,중식당,4.41/5,방문자 리뷰_ 170,블로그 리뷰_ 105
아이엠베이글 여의도점,브런치,4.61/5,"방문자 리뷰_ 1,405",블로그 리뷰_ 376
덕원,"곰탕,설렁탕",4.26/5,방문자 리뷰_ 192,블로그 리뷰_ 167
모퉁이네,떡볶이,4.38/5,방문자 리뷰_ 443,블로그 리뷰_ 220
스몰,요리주점,4.35/5,방문자 리뷰_ 485,블로그 리뷰_ 367
통통,중식당,4.48/5,방문자 리뷰_ 780,블로그 리뷰_ 344
번패티번 더현대서울점,햄버거,4.37/5,"방문자 리뷰_ 2,136",블로그 리뷰_ 749
