name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
코지로 선유도점,25.00000000000001%_10|,93.57799999999996%_20|,85.82199999999997%_30|,71.33399999999999%_40|,67.30099999999997%_50|,63.16449999999999%_60|,여자_45%,남자_55%
냅다청양집 본점,38.883999999999965%_10|,99.31399999999998%_20|,92.50799999999995%_30|,84.2995%_40|,70.39099999999996%_50|,67.228%_60|,여자_46%,남자_54%
진주집,24.87366666666668%_10|,90.54299999999998%_20|,95.34333333333332%_30|,87.98266666666665%_40|,85.11233333333334%_50|,76.34999999999998%_60|,여자_49%,남자_51%
정인면옥 본점,27.79500000000001%_10|,83.47633333333333%_20|,86.40133333333331%_30|,81.48466666666664%_40|,81.82333333333331%_50|,76.86899999999999%_60|,여자_38%,남자_62%
세상의 모든아침,27.79500000000001%_10|,83.47633333333333%_20|,86.40133333333331%_30|,81.48466666666664%_40|,81.82333333333331%_50|,76.86899999999999%_60|,여자_38%,남자_62%
갈빗,18.21799999999999%_10|,78.00066666666667%_20|,70.93666666666667%_30|,63.562%_40|,56.957666666666675%_50|,54.03166666666665%_60|,여자_44%,남자_56%
대한옥,18.21799999999999%_10|,78.00066666666667%_20|,70.93666666666667%_30|,63.562%_40|,56.957666666666675%_50|,54.03166666666665%_60|,여자_44%,남자_56%
양키스 버거앤피자,30.008666666666677%_10|,81.05433333333333%_20|,67.22633333333334%_30|,52.890666666666675%_40|,43.19566666666667%_50|,36.28199999999999%_60|,여자_52%,남자_48%
오복수산 여의도점,19.867%_10|,84.85799999999998%_20|,87.663%_30|,75.61666666666666%_40|,69.44899999999997%_50|,55.26066666666666%_60|,여자_48%,남자_52%
올드문래,18.54133333333333%_10|,89.0843333333333%_20|,72.17799999999998%_30|,61.639666666666635%_40|,56.280666666666676%_50|,39.65633333333333%_60|,여자_53%,남자_47%
화목순대국,11.305882352941184%_10|,40.796470588235294%_20|,50.02823529411765%_30|,47.773647058823535%_40|,40.45411764705882%_50|,37.38047058823529%_60|,여자_40%,남자_60%
가양칼국수버섯매운탕,17.898823529411757%_10|,49.79270588235294%_20|,46.35764705882352%_30|,36.53223529411764%_40|,29.71976470588235%_50|,27.060235294117657%_60|,여자_56%,남자_44%
코끼리베이글,17.25788235294118%_10|,48.74635294117647%_20|,51.611999999999995%_30|,47.002117647058824%_40|,34.251058823529405%_50|,27.511294117647054%_60|,여자_65%,남자_35%
원조호수삼계탕,17.25788235294118%_10|,48.74635294117647%_20|,51.611999999999995%_30|,47.002117647058824%_40|,34.251058823529405%_50|,27.511294117647054%_60|,여자_65%,남자_35%
또순이네,14.136470588235298%_10|,47.116941176470576%_20|,51.661882352941156%_30|,47.856941176470585%_40|,45.53694117647059%_50|,43.82188235294118%_60|,여자_39%,남자_61%
사위식당 여의도점,9.062571428571413%_10|,33.61114285714284%_20|,23.93228571428569%_30|,20.79142857142854%_40|,17.70485714285711%_50|,14.087428571428562%_60|,여자_49%,남자_51%
청수우동메밀냉면,20.50941176470589%_10|,43.36988235294117%_20|,48.20164705882352%_30|,48.97082352941177%_40|,47.80588235294117%_50|,46.40188235294118%_60|,여자_46%,남자_54%
몽밀,22.66682352941177%_10|,50.541176470588226%_20|,43.93764705882352%_30|,34.08494117647059%_40|,27.90164705882352%_50|,25.756705882352925%_60|,여자_54%,남자_46%
바스버거 여의도점,29.560705882352938%_10|,50.34823529411763%_20|,44.515058823529415%_30|,38.75082352941177%_40|,29.02917647058823%_50|,21.815999999999992%_60|,여자_50%,남자_50%
