name,gubun,score,visitCount,blogCount
상수반주,요리주점,4.84/5,방문자 리뷰_ 49,블로그 리뷰_ 50
천이오겹살,"육류,고기요리",4.29/5,방문자 리뷰_ 410,블로그 리뷰_ 920
우동 카덴,"우동,소바",4.23/5,"방문자 리뷰_ 1,654","블로그 리뷰_ 1,983"
산울림1992,요리주점,4.47/5,방문자 리뷰_ 393,블로그 리뷰_ 679
우와,일식당,4.45/5,"방문자 리뷰_ 1,151","블로그 리뷰_ 1,740"
모센즈스위트,"카페,디저트",4.65/5,방문자 리뷰_ 535,블로그 리뷰_ 460
홍대IN파스타,"스파게티,파스타전문",4.42/5,"방문자 리뷰_ 1,077","블로그 리뷰_ 1,233"
옥동식,국밥,4.44/5,"방문자 리뷰_ 1,402","블로그 리뷰_ 1,384"
카쿠시타,일식당,4.54/5,방문자 리뷰_ 514,블로그 리뷰_ 511
피오니,케이크전문,4.42/5,"방문자 리뷰_ 2,410","블로그 리뷰_ 2,449"
브런치가,브런치,4.2/5,"방문자 리뷰_ 1,124","블로그 리뷰_ 1,304"
하이디라오 홍대점,중식당,4.61/5,"방문자 리뷰_ 4,079",블로그 리뷰_ 855
샌드커피 논탄토 연남,카페,4.5/5,방문자 리뷰_ 917,블로그 리뷰_ 722
빠넬로,이탈리아음식,4.34/5,방문자 리뷰_ 283,블로그 리뷰_ 696
콜린,"카페,디저트",4.49/5,"방문자 리뷰_ 2,004","블로그 리뷰_ 1,218"
로쏘 1924 나폴리 화덕피자 홍대점,피자,4.68/5,"방문자 리뷰_ 4,109","블로그 리뷰_ 1,405"
또보겠지떡볶이집 붕붕허니비점,분식,4.58/5,"방문자 리뷰_ 1,824","블로그 리뷰_ 1,422"
육지,"육류,고기요리",4.79/5,방문자 리뷰_ 637,블로그 리뷰_ 320
광야,이탈리아음식,4.57/5,방문자 리뷰_ 830,블로그 리뷰_ 904
스케줄합정,양식,4.57/5,"방문자 리뷰_ 1,099",블로그 리뷰_ 953
신미경홍대닭갈비,닭갈비,4.47/5,"방문자 리뷰_ 1,861","블로그 리뷰_ 1,256"
칸다소바,일본식라면,4.46/5,"방문자 리뷰_ 1,870","블로그 리뷰_ 1,018"
합정공감,이자카야,4.46/5,방문자 리뷰_ 508,블로그 리뷰_ 114
에그써티,오므라이스,4.86/5,방문자 리뷰_ 254,블로그 리뷰_ 212
유메 홍대본점,이자카야,4.86/5,방문자 리뷰_ 287,블로그 리뷰_ 932
도프피자베이커스 홍대점,피자,4.86/5,방문자 리뷰_ 58,블로그 리뷰_ 62
하카타분코,일본식라면,4.28/5,방문자 리뷰_ 631,"블로그 리뷰_ 1,560"
경주식당,한식,4.45/5,방문자 리뷰_ 509,"블로그 리뷰_ 1,397"
943 킹스크로스CAFE,"카페,디저트",4.26/5,"방문자 리뷰_ 1,022",블로그 리뷰_ 901
오모테나시 오마카세,일식당,4.26/5,방문자 리뷰_ 109,블로그 리뷰_ 451
올바른김밥,김밥,4.79/5,"방문자 리뷰_ 1,686",블로그 리뷰_ 133
버터베이커리,베이커리,4.57/5,"방문자 리뷰_ 1,269",블로그 리뷰_ 443
느린마을양조장 홍대점,요리주점,4.62/5,방문자 리뷰_ 493,블로그 리뷰_ 234
중화복춘 공원,중식당,4.42/5,방문자 리뷰_ 455,블로그 리뷰_ 792
야키토리 나루토,"일식튀김,꼬치",4.87/5,방문자 리뷰_ 509,블로그 리뷰_ 505
가미우동,"우동,소바",4.58/5,"방문자 리뷰_ 1,058",블로그 리뷰_ 946
비스트로사랑방,"스파게티,파스타전문",4.54/5,방문자 리뷰_ 456,블로그 리뷰_ 649
프리모바치오바치 홍대본점,이탈리아음식,4.39/5,"방문자 리뷰_ 1,615","블로그 리뷰_ 1,571"
아오이토리,베이커리,4.44/5,"방문자 리뷰_ 2,175","블로그 리뷰_ 1,291"
부탄츄 홍대본점,일본식라면,4.24/5,방문자 리뷰_ 997,"블로그 리뷰_ 1,076"
피자네버슬립스,피자,4.58/5,"방문자 리뷰_ 1,164","블로그 리뷰_ 1,234"
스테이크 슈퍼,"스테이크,립",4.92/5,방문자 리뷰_ 543,블로그 리뷰_ 295
금별맥주 홍대직영점,"맥주,호프",4.51/5,방문자 리뷰_ 339,블로그 리뷰_ 290
