name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
꽈페 홍대점,45.00141176470587%_10|,49.740705882352934%_20|,36.72988235294116%_30|,40.39294117647058%_40|,28.92541176470587%_50|,19.40329411764705%_60|,여자_61%,남자_39%
베어스덴베이커리,37.86329411764706%_10|,50.43388235294116%_20|,38.95364705882351%_30|,36.355058823529404%_40|,28.99670588235294%_50|,21.71411764705881%_60|,여자_61%,남자_39%
우동 카덴,6.380799999999985%_10|,30.308533333333298%_20|,14.883199999999988%_30|,13.136533333333308%_40|,12.070933333333308%_50|,3.9845333333333053%_60|,여자_52%,남자_48%
산울림1992,19.87466666666667%_10|,97.12833333333332%_20|,73.42199999999998%_30|,67.58633333333333%_40|,66.53099999999999%_50|,46.77633333333333%_60|,여자_56%,남자_44%
우와,48.37%_10|,79.99300000000001%_20|,41.248%_30|,28.231999999999967%_40|,25.31033333333329%_50|,9.264666666666626%_60|,여자_57%,남자_43%
모센즈스위트,56.036666666666655%_10|,97.11799999999998%_20|,66.51333333333334%_30|,49.70833333333331%_40|,38.12966666666665%_50|,30.55366666666666%_60|,여자_59%,남자_41%
홍대IN파스타,96.229%_10|,96.77366666666667%_20|,46.22866666666663%_30|,48.22699999999996%_40|,43.60533333333332%_50|,33.3413333333333%_60|,여자_55%,남자_45%
옥동식,15.056857142857128%_10|,39.039714285714275%_20|,29.018857142857122%_30|,22.4542857142857%_40|,15.653142857142827%_50|,10.823999999999977%_60|,여자_43%,남자_57%
카쿠시타,24.805499999999984%_10|,96.189%_20|,45.998%_30|,41.48199999999997%_40|,52.30349999999996%_50|,44.86399999999997%_60|,여자_53%,남자_47%
피오니,78.769%_10|,98.15733333333331%_20|,65.64033333333332%_30|,51.077666666666644%_40|,37.484666666666676%_50|,26.072666666666667%_60|,여자_62%,남자_38%
브런치가,53.33049999999996%_10|,77.23549999999997%_20|,48.10049999999995%_30|,48.73399999999995%_40|,34.83749999999997%_50|,8.95649999999998%_60|,여자_61%,남자_39%
하이디라오 홍대점,89.27499999999998%_10|,96.31566666666663%_20|,49.300999999999995%_30|,40.73233333333333%_40|,35.89833333333332%_50|,25.40333333333333%_60|,여자_69%,남자_31%
샌드커피 논탄토 연남,52.15099999999998%_10|,90.20333333333332%_20|,62.595999999999975%_30|,48.01866666666665%_40|,39.00366666666665%_50|,30.29266666666667%_60|,여자_57%,남자_43%
빠넬로,34.61550000000001%_10|,99.28699999999998%_20|,96.84349999999999%_30|,70.53949999999996%_40|,54.76950000000001%_50|,51.48099999999998%_60|,여자_49%,남자_51%
콜린,34.61550000000001%_10|,99.28699999999998%_20|,96.84349999999999%_30|,70.53949999999996%_40|,54.76950000000001%_50|,51.48099999999998%_60|,여자_49%,남자_51%
