name|gubun|price|score|count|menu1|menu2|menu3|menu4|address|phone|openingHour|detailInfo
79파운야드 도산공원점|베이커리|5600.0|2.9|154|스크류 탱탱볼|캔디 탱탱볼|쌍쌍 탱탱볼|스크류탱탱 크로볼| 서울 강남구 선릉로153길 32 1층 (지번) 신사동 647-24 |02-544-5332|11:00 - 22:00|단체석, 주차, 발렛파킹, 포장, 배달, 무선 인터넷
C27 가로수길점|카페|7150.0|3.3|286|치즈케이크|C27 coffee|치즈라떼|치즈프라페|서울 강남구 도산대로15길 39|02-544-1527|10:00 - 23:00|단체석, 발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분
e청우참치|생선회|20000.0|4.5|25|참치회 특 1인|공기초밥|소주|맥주| 서울 강남구 강남대로156길 18 1층 (지번) 신사동 511-6 |02-549-8356|16:00 - 22:00|단체석, 예약, 무선 인터넷, 국민지원금
ING|요리주점|18250.0|3.3|32|수제&수입 생맥주14종|복음&신선메뉴|수입병맥주20종|치킨&튀김|서울 강남구 언주로170길 34|02-545-3866|17:00 - 새벽 04:30|단체석, 주차, 발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분
JS가든 압구정점|중식당|72250.0|4.0|52|북경오리|목화솜탕수육 (S)|사천식닭날개 (S)|금사오룡 (S)| 서울 강남구 언주로174길 13 미소빌딩 2층 (지번) 신사동 638-9 |0504-1400-4677|11:30 - 22:00|단체석, 주차, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금
OMG 게판5분전|요리주점|16000.0|1.9|4|크리스피수육|흑돼지 볶음|차돌 고추장찌개|차돌 수제비| 서울 강남구 도산대로51길 39 1층 (지번) 신사동 657-23 |none|19:00 - 06:00|단체석, 발렛파킹, 반려동물 동반, 남/녀 화장실 구분
RPM|카페,디저트|5000.0|3.1|61|에스프레소|아메리카노|라떼|플랫화이트| 서울 강남구 언주로172길 64 1층 (지번) 신사동 663-20 |02-544-5240|11:00 - 02:00|단체석, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분
R카페|카페,디저트|12750.0|3.3|58|meal|단호박스프|옥수수스프|시저샐러드| 서울 강남구 압구정로56길 26 (지번) 신사동 664-17 |02-511-6612|11:30 - 22:00|단체석, 주차, 발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분
W가나|육류,고기요리|250000.0|3.7|39|W가나 오마카세|none|none|none| 서울 강남구 도산대로49길 20 2층 (지번) 신사동 653-19 |070-8848-4341|17:00 - 22:00|단체석, 주차, 발렛파킹, 남/녀 화장실 구분
가담|중식당|41500.0|3.8|91|게살해물요리|고추탕수육|난자완스|가담정식 1인분| 서울 강남구 언주로167길 35 (지번) 신사동 608-8 |02-545-5163|11:20 - 21:30|매장 내 식사
