name|gubun|price|score|count|menu1|menu2|menu3|menu4|address|phone|openingHour|detailInfo
다운타우너 청담|햄버거|8050|4.5|66|AVOCADO(아보카도 버거)|BACON CHEESE(베이컨치즈 버거)|CHEESE(치즈버거)|GARLIC BUTTER FRIES(갈릭버터 프라이즈)|서울특별시 강남구 신사동 666-25|0507-1422-9399|11:30 - 21:30|발렛파킹, 포장, 배달, 무선 인터넷, 반려동물 동반, 국민지원금
콴안다오|베트남음식|8625|4.4|31|짜조|반미|퍼보|껌승|서울특별시 강남구 신사동 516-2|0507-1408-1651|11:00 - 22:00|주차, 발렛파킹, 무선 인터넷
카츠 바이 콘반|일식당|16500|4.9|21|로스카츠|히레카츠|믹스카츠|로스카츠(단품)|서울특별시 강남구 신사동 647-22|0507-1332-3903|11:30 - 20:30|단체석, 발렛파킹, 포장, 무선 인터넷, 제로페이, 국민지원금
새들러 하우스|와플|9280|4.7|22|와플세트|페스츄리 바게트|새들러슈페너|호지티 라떼|서울특별시 강남구 신사동 561-8|070-8265-5541|12:00 - 20:00|발렛파킹, 포장, 무선 인터넷, 반려동물 동반
미미면가 2호점|우동,소바|16000|3.9|72|성게알 온소바|성게알 냉소바|새우튀김 온소바|새우튀김 냉소바|서울시 강남구 신사동 512-21 지하1층|0507-1316-5466|11:30 - 21:00|무선 인터넷
아우어베이커리 가로수길점|베이커리|4550|4.5|27|아메리카노|더티초코|에스프레소|플랫화이트|서울특별시 강남구 신사동 523-19|02-546-3800|10:00 - 21:30|단체석, 발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분
뱃고동|낙지요리|15125|4.2|20|오징어불고기백반|낙지불고기백반|산낙지불고기|낙지불고기|서울시 강남구 신사동 663|0507-1413-8008|11:30 - 22:00|단체석, 발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금
네기다이닝라운지|일식당|40000|4.5|6|사시미 모리아와세(2인)|이베리코카타로스 베요타|토마토 스키야키 힌우차돌|마구로타르타르|서울특별시 강남구 신사동 540-19|02-548-0807|18:00 - 24:00|단체석, 발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금
칙피스 신사점|양식|14250|4.2|22|비건 샐러드|아보카도 샐러드|미트 러버 피타 볼 세트|그릴드쉬림프 라이스|서울특별시 강남구 신사동 540-18|0507-1338-6780|11:30 - 20:30|발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분
아우어베이커리 도산본점|베이커리|4825|4.1|28|더티초코|빨미까레|바닐라더블|그린티더블|서울특별시 강남구 신사동 648-15|02-545-5556|09:00 - 21:00|발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분
텔러스 9.5|바(BAR)|9000|4.7|8|블랙 바닐라 밀크티|유자 민트 에이드|발로나 초코라떼|바닐라라떼|서울특별시 강남구 신사동 561-19|02-542-2395|12:00 - 24:00|발렛파킹, 무선 인터넷
