name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio
The낙원양꼬치 2호점|25.00000000000001|92.0095|88.14599999999997|77.29649999999997|48.55749999999996|40.24850000000001|49|51
coffee urban|44.75058823529411|48.585411764705874|34.46823529411765|26.788705882352925|20.07882352941177|11.764705882352953|56|44
강강술래 신림본동점|23.81433333333334|58.20600000000001|66.45566666666664|74.389|82.08999999999999|91.918|47|53
강릉형제장칼국수|39.12500000000001|99.52249999999998|94.14349999999996|80.76949999999997|67.66049999999998|59.31699999999999|49|51
고베규카츠 신림점|43.48094117647057|50.3435294117647|36.61952941176469|30.926352941176454|27.12588235294115|25.13317647058822|45|55
기막힌포차|25.00000000000001|81.89899999999997|88.70849999999999|90.03649999999999|68.25099999999999|61.30249999999996|48|52
깡통닭갈비|2.887714285714248|28.952285714285686|19.658857142857123|15.023142857142824|8.392285714285679|7.314857142857116|44|56
달리181 신림점|36.98541176470586|47.2425882352941|38.08141176470588|33.60070588235292|26.824705882352923|23.854117647058807|52|48
도림항|25.00000000000001|94.15399999999998|95.09799999999998|81.75999999999998|67.52849999999997|61.69049999999996|45|55
디자이너리 카페|53.94666666666665|78.75699999999999|60.64866666666667|45.12666666666664|36.47666666666667|30.85433333333331|56|44
디저트문|24.67341176470588|49.893176470588216|36.53176470588234|24.70141176470588|15.608|11.764705882352953|56|44
또순이원조순대 본점|49.73300000000001|90.57249999999996|94.08749999999996|87.19549999999995|66.61499999999995|63.679499999999976|48|52
르브와 신림점|35.02258823529412|49.135764705882345|41.20894117647059|31.8150588235294|25.23317647058824|11.764705882352953|49|51
막불감동|41.76999999999996|96.87849999999996|89.892|90.494|91.08849999999998|92.8395|44|56
만 성 찬 팅|21.502588235294105|51.116470588235295|41.443058823529405|30.787294117647058|22.120705882352944|23.019764705882345|44|56
문성골족발집|25.00000000000001|97.17399999999996|84.6295|69.06149999999998|59.56749999999997|56.96899999999997|47|53
미림분식|52.8235|86.22649999999994|91.40399999999995|89.25699999999995|63.29299999999997|48.75800000000001|51|49
박재성의 메밀숯불닭갈비|25.00000000000001|94.61449999999996|84.49449999999995|75.96149999999999|64.34199999999998|25.00000000000001|46|54
본화로|25.00000000000001|98.76949999999998|88.76349999999996|66.80499999999998|44.87499999999998|25.00000000000001|44|56
부뚜막|22.406117647058828|47.99694117647059|42.57082352941177|37.875529411764695|34.27435294117645|32.33576470588234|41|59
사생활|11.764705882352953|49.84917647058823|42.03952941176471|32.44658823529411|25.360941176470583|18.99882352941175|55|45
삼삼당|22.075058823529407|52.17741176470588|42.77176470588236|37.31552941176471|28.898588235294117|27.459529411764706|42|58
삼촌네|14.249647058823523|42.9755294117647|47.763058823529406|41.71576470588235|25.17482352941176|28.43200000000001|51|49
생각보다맛있는집 신림점|41.96599999999999|91.07599999999996|87.16099999999996|81.26899999999996|75.981|77.64999999999998|50|50
서가장인곱창 신림점|65.04999999999995|94.6795|80.47049999999997|86.22299999999996|60.40249999999998|54.74699999999994|49|51
서울갈비 신림점|11.764705882352953|50.85576470588236|46.61670588235293|34.65058823529411|26.115294117647064|25.672941176470594|45|55
서울뼛국|25.00000000000001|95.95649999999996|87.04499999999994|69.36599999999996|50.774499999999975|25.00000000000001|43|57
솟대막걸리 양조장|25.00000000000001|97.17399999999996|84.6295|69.06149999999998|59.56749999999997|56.96899999999997|47|53
스턱|25.00000000000001|82.25549999999996|85.77649999999994|76.568|64.09999999999997|67.045|46|54
신림춘천집 본점|27.50099999999989|98.44099999999992|66.56799999999997|45.43399999999988|31.023999999999948|23.26799999999996|47|53
신림황소곱창|3.537999999999978|30.36999999999998|19.694571428571415|12.266285714285676|3.0951428571428203|2.8977142857142497|48|52
신촌황소곱창 신림직영점|11.764705882352953|47.910588235294114|40.026117647058825|30.72376470588236|21.99741176470589|11.764705882352953|49|51
신텐|3.793428571428535|35.98628571428571|22.29914285714282|16.980285714285685|13.176285714285704|9.383428571428553|45|55
아리차이|30.567500000000013|92.0075|92.66799999999994|87.23749999999998|80.37999999999998|78.98399999999998|45|55
연하남|11.764705882352953|47.10917647058823|36.44352941176472|24.57341176470588|17.58070588235293|11.764705882352953|52|48
옛날집|25.00000000000001|92.94499999999996|86.12449999999995|74.46999999999996|70.10049999999998|25.00000000000001|44|56
오첨지|25.00000000000001|81.89899999999997|88.70849999999999|90.03649999999999|68.25099999999999|61.30249999999996|48|52
온정돈까스 본점|53.63766666666663|81.42166666666664|69.93799999999996|54.00666666666666|37.04399999999997|34.64299999999999|37|63
원조부안집 신대방점|25.00000000000001|99.69899999999996|86.98499999999994|65.87599999999996|46.75699999999998|25.00000000000001|46|54
은행골 본점신관|27.50099999999989|98.44099999999992|66.56799999999997|45.43399999999988|31.023999999999948|23.26799999999996|47|53
일품|25.00000000000001|99.94149999999998|88.21999999999998|63.98599999999996|46.39649999999999|25.00000000000001|44|56
전주익산|25.00000000000001|92.26649999999994|98.69949999999996|84.67699999999996|59.9835|75.848|49|51
중화요리 팔공|26.28599999999997|93.60549999999998|98.52949999999996|95.20749999999995|88.43299999999995|77.41699999999999|38|62
진화로|11.764705882352953|48.760235294117656|40.54870588235295|34.6835294117647|15.7844705882353|11.764705882352953|45|55
천미미|25.00000000000001|84.38549999999996|94.46749999999994|88.58299999999998|77.6375|71.958|43|57
춘천골 숯불 닭갈비|24.67341176470588|49.893176470588216|36.53176470588234|24.70141176470588|15.608|11.764705882352953|56|44
카츠 오도|50.729999999999954|96.8105|89.05299999999995|75.20049999999998|63.060999999999936|61.033499999999975|46|54
카페신림|34.01999999999999|47.97152941176471|36.12117647058823|25.797176470588237|17.955764705882363|11.764705882352953|54|46
포크벨리|25.00000000000001|82.25549999999996|85.77649999999994|76.568|64.09999999999997|67.045|46|54
폼앤노말|30.614823529411773|51.8981176470588|39.00258823529412|22.82988235294117|16.58211764705883|16.204705882352936|57|43
하와이조개 신림본점|11.764705882352953|47.83058823529412|45.51294117647058|36.04352941176471|25.263294117647067|23.382352941176464|44|56
강남곱창이야기신림점|25.00000000000001|99.82949999999998|82.12799999999996|64.0395|43.85549999999998|25.00000000000001|52|48
고기싸롱 신대방역점|77.03399999999996|93.38949999999998|80.22749999999998|76.73349999999998|60.23049999999998|51.75399999999998|44|56
고래가주 신림점|11.764705882352953|51.048|40.66682352941177|27.183764705882364|19.554823529411756|20.91176470588236|44|56
고모네 식당|25.00000000000001|93.44999999999996|82.11249999999995|77.59349999999996|76.68449999999997|25.00000000000001|45|55
구루메키친|11.764705882352953|48.88729411764706|41.55764705882353|25.814352941176463|15.007999999999988|11.764705882352953|47|53
기막힌포차|25.00000000000001|93.45049999999996|83.47299999999998|70.48949999999996|46.51499999999996|48.1515|47|53
김영자나주곰탕 본점|25.00000000000001|74.85999999999996|84.83999999999999|88.80349999999994|79.54499999999996|83.08199999999997|41|59
꼬꼬아찌숯불치킨 신림점|91.64449999999998|98.71899999999997|76.666|55.09349999999999|25.00000000000001|25.00000000000001|51|49
꿈당|25.00000000000001|95.218|84.75149999999995|62.319999999999965|25.00000000000001|25.00000000000001|47|53
노란집|25.00000000000001|98.86999999999998|86.51549999999999|72.88149999999996|49.69749999999999|25.00000000000001|59|41
대원갈비|25.00000000000001|90.82899999999997|88.76699999999995|83.44549999999997|68.59549999999996|69.78349999999998|44|56
동학|11.764705882352953|49.440941176470574|36.34941176470588|29.17505882352942|23.65788235294118|11.764705882352953|46|54
라공방 신림점|45.63341176470587|48.434823529411766|35.17129411764706|30.40117647058824|21.77129411764707|19.57905882352942|55|45
