name|gubun|score|visitCount|blogCount
The낙원양꼬치 2호점|양꼬치|4.45|317|254
coffee urban|카페|4.3|311|118
강강술래 신림본동점|육류,고기요리|4.37|4646|649
강릉형제장칼국수|칼국수,만두|4.59|436|208
고베규카츠 신림점|돈가스|4.48|580|733
깡통닭갈비|닭갈비|4.51|400|697
달리181 신림점|양식|4.65|449|207
도림항|해물,생선요리|4.69|434|199
디자이너리 카페|카페,디저트|4.48|526|614
디저트문|카페,디저트|4.68|151|190
또순이원조순대 본점|순대,순댓국|4.14|2377|1186
르브와 신림점|양식|4.37|476|638
막불감동|냉면|4.65|2917|1096
만 성 찬 팅|중식당|4.41|740|677
문성골족발집|족발,보쌈|4.65|302|366
미림분식|종합분식|4.41|589|376
박재성의 메밀숯불닭갈비|닭갈비|4.9|725|221
발빠닭 신림점|닭발|4.71|69|63
본화로|육류,고기요리|4.68|463|661
부뚜막|육류,고기요리|4.54|450|1233
사생활|카페,디저트|4.75|1596|441
삼삼당|돼지고기구이|4.96|1620|927
삼촌네|순대,순댓국|4.48|653|788
생각보다맛있는집 신림점|칼국수,만두|4.37|1164|177
서울갈비 신림점|한식|4.44|1168|753
서울뼛국|해장국|4.45|357|171
솟대막걸리 양조장|전통,민속주점|4.4|124|184
스턱|카페,디저트|4.31|45|30
신림춘천집 본점|닭갈비|4.5|1111|328
신림황소곱창|곱창,막창,양|4.35|245|484
신촌황소곱창 신림직영점|곱창,막창,양|4.31|410|484
신텐|일식당|4.59|397|79
아리차이|중식당|4.36|1634|643
연하남|일식당|4.81|124|107
온정돈까스 본점|돈가스|4.22|737|707
우마|이자카야|4.67|127|205
원조부안집 신대방점|돼지고기구이|4.75|827|516
은행골 본점신관|초밥,롤|4.39|1678|1361
일품|돼지고기구이|4.41|433|830
전주익산|순대,순댓국|4.57|854|1913
중화요리 팔공|중식당|4.43|694|353
진화로|이자카야|4.62|293|258
춘천골 숯불 닭갈비|닭갈비|4.52|497|344
카츠 오도|일식당|4.82|589|257
