name|gubun|score|visitCount|blogCount
구움동|카페,디저트|4.84|206|35
긴자료코 신림점|돈가스|4.34|193|50
까페달달스콘|카페,디저트|4.56|648|83
남도|한식|4.51|85|119
낭풍김치찌개|찌개,전골|4.41|201|102
낮부엉이|맥주,호프|4.41|161|133
니뽕내뽕 신림점|중식당|4.37|522|153
달꼬미|요리주점|4.38|40|33
대홍샤브샤브|중식당|4.48|100|70
더빈마켓|카페,디저트|4.6|412|108
두끼 신림역점|분식|4.41|287|160
두둑한샤브칼국수 신림점|샤브샤브|4.46|557|101
루체에살레|스파게티,파스타전문|4.73|142|80
만리성|중식당|4.11|203|17
메밀쟁이|막국수|4.48|91|21
명태어장 난곡점|해물,생선요리|4.4|370|41
모녀|한식|4.31|46|33
밀리언버거|햄버거|4.39|419|115
배스킨라빈스 신림남부점|아이스크림|4.36|1691|13
백년불고기물갈비 신림점|육류,고기요리|4.6|230|153
봉용파절이삼겹살|한식|4.07|157|165
불꽃닭강정|치킨,닭강정|4.38|606|58
불티나는 전집|전,빈대떡|4.28|46|10
사이공본가 신림점|베트남음식|4.33|505|174
산촌신쭈꾸미 서울대점|주꾸미요리|4.32|606|64
서울대학교 호암교수회관|한식|4.67|57|16
설빙 신림점|빙수|4.4|1640|270
소보로|베이커리|4.58|288|111
속에천불청송얼음막걸리 신대방점|전통,민속주점|4.33|35|24
수해복마라탕 서울대점|중식당|4.6|303|70
숯총각꼼장어닭발 신림점|닭발|4.57|93|120
스시락|초밥,롤|4.31|303|180
스타벅스 신림타임스트림점|카페|4.48|5487|153
시골장칼국수|칼국수,만두|4.48|147|53
신림동 피자집|피자|4.8|135|56
애견동반식당 사랑봄|양식|4.91|477|59
양평동 장군집 신림역점|육류,고기요리|4.33|73|89
어사출또 신림역점|생선회|4.41|358|153
옛마을 구로디지털역점|한식|4.51|403|98
와인어클락 신림점|와인|4.52|163|89
우리집팔당닭발 신림점|닭발|4.67|172|146
유가네닭갈비 신림점|닭갈비|4.49|737|162
지구상사 신림점|요리주점|4.48|72|17
지리산삼계탕|백숙,삼계탕|4.41|174|328
지리산토종흑돼지구이|돼지고기구이|4.34|83|38
카페 수베 SUBE|카페|4.82|135|76
카페드발렌느|카페|4.75|32|78
한마음정육식당 서울 신림점|정육식당|4.51|183|115
홍콩반점0410 신림역점|중식당|4.4|707|199
흥부보쌈|족발,보쌈|4.22|189|166
