name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio
5dining|25.00000000000001|89.50099999999996|89.99949999999998|74.34299999999998|55.644999999999975|44.43499999999999|48|52
구영회참치앤초밥 신림점|25.00000000000001|86.86699999999999|82.75799999999998|80.4365|70.68249999999996|71.0565|44|56
나는남자닭 신림본점|25.00000000000001|96.86199999999997|82.01699999999998|67.09299999999999|53.789999999999985|25.00000000000001|49|51
냥빵|25.00000000000001|96.86199999999997|82.01699999999998|67.09299999999999|53.789999999999985|25.00000000000001|49|51
더진국수육국밥 신림점|11.764705882352951|48.152941176470584|35.90070588235294|25.072941176470582|20.271294117647066|11.764705882352951|42|58
두리닭발앤쪽갈비|25.00000000000001|95.35099999999998|81.006|72.96799999999996|25.00000000000001|25.00000000000001|52|48
디지지|25.00000000000001|94.98299999999995|78.53799999999997|61.187999999999995|53.83749999999996|25.00000000000001|63|37
땡초우동 신림점|25.00000000000001|96.86199999999997|82.01699999999998|67.09299999999999|53.789999999999985|25.00000000000001|49|51
똥개네퓨전포차|48.718999999999994|83.31249999999999|90.98349999999996|83.52799999999996|59.66749999999996|56.34899999999996|48|52
레드제플린|25.00000000000001|96.40249999999997|83.92299999999999|68.90499999999997|53.7965|25.00000000000001|51|49
만끽|25.00000000000001|96.40249999999997|83.92299999999999|68.90499999999997|53.7965|25.00000000000001|51|49
맛사랑쭈꾸미 신림점|0.0|0.0|0.0|0.0|0.0|0.0|10|10
맥도날드 신림점|67.71799999999998|96.04749999999997|84.75449999999998|69.5025|25.00000000000001|25.00000000000001|52|48
미나리삼겹살|25.00000000000001|89.50099999999996|89.99949999999998|74.34299999999998|55.644999999999975|44.43499999999999|48|52
미자네|48.718999999999994|83.31249999999999|90.98349999999996|83.52799999999996|59.66749999999996|56.34899999999996|48|52
버거앤프라이즈 신대방역점|67.261|96.80549999999995|84.12799999999994|68.32749999999996|44.85749999999998|25.00000000000001|51|49
북경반점|25.00000000000001|87.87949999999996|84.15449999999998|80.006|61.410499999999956|25.00000000000001|40|60
불타는꼬꼬발 신림본점|25.00000000000001|94.68349999999994|83.51699999999997|80.193|53.64099999999997|25.00000000000001|51|49
