name|gubun|score|visitCount|blogCount
갸우뚱|중식당|4.61|326|196
고물상|맥주,호프|4.6|489|375
고엔|이자카야|4.56|100|70
깔리|인도음식|4.54|1024|1117
나누미떡볶이 성대본점|떡볶이|4.35|2512|1058
낫컴플리트|카페,디저트|4.56|285|312
뎁짜이|베트남음식|4.35|1269|1511
도토리편백집|돼지고기구이|4.32|1095|886
독일주택|바(BAR)|4.51|420|707
동화|요리주점|4.71|298|138
또오리|오리요리|4.52|358|427
리본윈도우|브런치|4.58|208|100
마띠에르|카페,디저트|4.48|523|514
메밀향그집|한식|4.49|736|1145
멘야산다이메 명륜4가점|일본식라면|4.31|696|720
명륜손칼국수|칼국수,만두|4.38|278|132
무던|아이스크림|4.6|136|206
미도인 대학로|양식|4.37|1089|536
미분당 대학로점|베트남음식|4.47|1020|370
버거파크|햄버거|4.51|1327|930
브라운 에비뉴|브런치|4.63|436|222
삼 원 샏|카페,디저트|4.39|584|717
삼겹살 전문점 대통령|육류,고기요리|4.37|632|581
서양집|이탈리아음식|4.58|679|1000
서화커피|카페,디저트|4.49|232|473
소친친|퓨전음식|4.49|437|410
솔나무길된장예술|비빔밥|4.49|513|460
야스미|일식당|4.39|365|344
오이지 대학로|한식|4.51|1164|681
울리브루잉|맥주,호프|5.0|59|19
유자유김치떡볶이 대학로점|떡볶이|4.53|507|415
육미안|소고기구이|4.39|486|314
일월일일|카페,디저트|4.5|344|304
정돈 대학로본점|돈가스|4.48|3108|2651
쪼리375|닭요리|4.54|780|1476
창경궁로240|카페,디저트|4.6|10|12
창화당 대학로점|칼국수,만두|4.24|431|333
칠린|바(BAR)|4.54|702|375
카페첫만남|카페,디저트|4.32|460|164
카페혜화동|카페,디저트|4.49|397|339
칸다소바|일식당|4.47|2134|996
통큰갈비 대학로점|육류,고기요리|4.38|262|220
파스타마켓|스파게티,파스타전문|4.37|937|623
페르시안궁전|인도음식|4.77|1307|1011
하이디라오 대학로점|중식당|4.68|1811|378
학림|카페|4.51|1700|1606
혜화곱창|곱창,막창,양|4.47|494|238
혜화도담|한식|4.53|1026|601
혜화칼국수|칼국수,만두|4.25|1411|974
호호식당 대학로|일식당|4.42|2261|2013
1940 금문|중식당|4.68|359|75
겐로쿠우동 대학로점|우동,소바|4.5|670|564
고기공방|육류,고기요리|4.6|222|230
고쿠텐 대학로점|일식당|4.33|356|314
곱창고 대학로점|곱창,막창,양|4.75|155|110
그림제작소 혜화점|카페,디저트|4.8|712|149
나무요일|와인|4.38|26|78
다다미 소바|일식당|4.2|617|119
달빛마루|요리주점|4.3|174|346
랑데자뷰 대학로점|카페,디저트|4.24|280|223
릴랙스 인 다운타운|카페,디저트|4.64|54|134
마녀주방 대학로점|이탈리아음식|4.41|1112|399
마마그릭 성대점|다이어트,샐러드|4.69|111|91
맘스터치 종로대학로점|치킨,닭강정|4.39|534|47
맛의정원|양식|4.47|305|124
메리그린|카페,디저트|4.56|249|215
미가라멘 대학로점|일본식라면|4.36|274|226
바오쯔|딤섬,중식만두|4.32|328|153
부추곱창 대학로점|곱창,막창,양|4.48|208|494
부탄츄 대학로점|일본식라면|4.33|494|322
서울바당|야식|4.32|29|25
서피동파|한식|4.47|206|132
센꼬치|이자카야|4.54|85|44
솔솥 대학로점|한식|4.32|52|15
스노브 대학로점|케이크전문|4.33|1094|786
오늘도 한잔|바(BAR)|4.63|132|54
육식주|육류,고기요리|5.0|160|116
은식당|육류,고기요리|4.37|306|194
이마쇼쿠|일식당|4.43|116|50
이유식당|백반,가정식|4.49|333|87
이자카야진|오뎅,꼬치|4.29|115|94
청화원|딤섬,중식만두|3.99|411|75
카페 빵쌤 대학로점|카페,디저트|4.54|440|82
카페키이로|카페,디저트|4.54|446|607
키햐아 혜화점|일식당|4.47|225|201
포크랜드피케이월드직영점|돼지고기구이|4.39|230|349
피자보이시나 대학로점|피자|4.54|287|437
피터팬스테이크|스테이크,립|4.68|496|320
학림커피|카페|4.53|244|132
현초밥|초밥,롤|4.34|782|515
혜화 골목냉면|냉면|4.29|833|104
혜화돌쇠아저씨|종합분식|4.54|236|266
혜화동 다이닝|양식|4.36|124|151
혜화랑|와인|4.47|115|309
혜화양육관|양꼬치|4.38|450|483
혼가츠 대학로점|돈가스|4.39|756|608
화화담 대학로|베트남음식|5.0|371|188
히메시야|일식당|4.32|434|113
PIT A PAT|북카페|4.49|188|67
경성양꼬치 혜화점|양꼬치|4.38|99|401
기꾸스시|초밥,롤|4.35|463|126
눅|요리주점|4.47|2|1
달팽이카페|브런치|4.73|96|130
대학로쭈왕쭈꾸미|주꾸미요리|4.29|106|84
대한맥주집 대학로점|치킨,닭강정|4.26|212|357
돈돈정 대학로점|일식당|4.16|573|505
라뜰리에 꼼때|프랑스음식|4.97|25|72
리춘시장 대학로CGV점|중식당|4.23|335|50
마로화적|육류,고기요리|4.31|132|148
맥덕스|맥주,호프|4.71|57|323
맥썸 대학로점|맥주,호프|4.4|246|41
머노까머나 대학로점|인도음식|4.54|1150|1300
명륜동식당|육류,고기요리|4.29|152|27
명륜포차|포장마차|4.33|212|73
바이미디저트|카페,디저트|4.65|117|73
별달밤|카페,디저트|4.7|36|1
블루룸|카페,디저트|4.65|187|337
비어오크|맥주,호프|4.47|529|203
솔트24|베이커리|4.47|852|90
심야식당|요리주점|4.51|151|97
아도레 쿠치나|스파게티,파스타전문|4.47|348|93
아뻬 서울|카페,디저트|4.59|128|146
역전할머니맥주 대학로점|맥주,호프|4.41|762|66
오도레D|이탈리아음식|4.83|94|63
유캔하이x육미안|소고기구이|4.29|87|51
육수당 대학로점|국밥|4.28|609|202
육회한연어 대학로점|요리주점|4.35|291|114
은행골 대학로점|초밥,롤|4.3|354|292
이공오도씨|카페|4.54|186|177
재팔이네닭발 대학로점|닭발|4.72|82|132
정통집 대학로점|돼지고기구이|4.32|158|56
청산손만두|만두|4.46|189|131
