name|gubun|score|visitCount|blogCount
7번방|포장마차|4.47|59|128
943 킹스크로스CAFE|카페,디저트|4.25|1023|904
가미우동|우동,소바|4.58|1061|947
감성타코 홍대점|멕시코,남미음식|4.34|1339|1952
개화기요정|요리주점|4.44|406|722
경주식당|한식|4.45|509|1396
공상온도|카페,디저트|4.41|277|682
광야|이탈리아음식|4.57|832|905
금별맥주 홍대직영점|맥주,호프|4.51|342|291
느린마을양조장 홍대점|요리주점|4.62|493|234
도토리앤다람쥐|카페|4.65|197|205
또보겠지떡볶이집 붕붕허니비점|분식|4.58|1824|1423
로쏘 1924 나폴리 화덕피자 홍대점|피자|4.68|4110|1405
모센즈스위트|카페,디저트|4.65|535|464
버터베이커리|베이커리|4.57|1271|444
부탄츄 홍대본점|일본식라면|4.24|998|1077
불떡클럽 연남본점|떡볶이|4.54|1285|187
브런치가|브런치|4.2|1125|1306
비스트로사랑방|스파게티,파스타전문|4.54|459|649
빠넬로|이탈리아음식|4.34|283|698
산울림1992|요리주점|4.47|398|680
상수주택|요리주점|4.34|60|15
샌드커피 논탄토 연남|카페|4.5|917|723
소코아 홍대점|카레|4.6|623|414
스케줄합정|양식|4.47|1102|955
스케줄합정|양식|4.41|1102|954
스테이크 슈퍼|스테이크,립|4.92|546|296
슬로우캘리 연남본점|다이어트,샐러드|4.59|1639|1041
신미경홍대닭갈비|닭갈비|4.47|1865|1257
아오이토리|베이커리|4.44|2177|1293
야키토리 나루토|일식튀김,꼬치|4.87|510|506
어메이징농카이|태국음식|4.48|611|523
연남물갈비|육류,고기요리|4.48|642|501
오모테나시 오마카세|일식당|4.47|109|454
옥동식|국밥|4.44|1402|1385
올바른김밥|김밥|4.79|1688|134
우동 카덴|우동,소바|4.23|1664|1987
우와|일식당|4.45|1153|1742
유메 홍대본점|이자카야|4.47|287|932
육지|육류,고기요리|4.79|636|320
중화복춘 공원|중식당|4.42|458|792
카와카츠|돈가스|4.47|582|674
카쿠시타|일식당|4.54|516|513
카페 공명|카페,디저트|4.49|1306|717
칸다소바|일본식라면|4.46|1875|1022
콜린|카페,디저트|4.49|2005|1218
풀뜯는돼지|육류,고기요리|4.81|519|226
프리모바치오바치 홍대본점|이탈리아음식|4.39|1617|1574
피오니|케이크전문|4.42|2414|2450
피자네버슬립스|피자|4.58|1172|1237
하이디라오 홍대점|중식당|4.61|4084|856
하카타분코|일본식라면|4.28|632|1562
해피베어데이|카페,디저트|4.77|518|473
홍대IN파스타|스파게티,파스타전문|4.42|1081|1231
OBPC 연남본점|피자|4.46|432|424
가로수포차|요리주점|4.61|126|70
고기꾼김춘배 홍대본점|돼지고기구이|4.52|1312|996
고쿠텐 홍대점|일식당|4.46|940|471
나성타코|멕시코,남미음식|4.72|631|490
냉장고 합정점|돼지고기구이|4.75|208|267
뉴욕아파트먼트 홍대점|햄버거|4.61|974|1554
니꾸킹버거|햄버거|4.82|191|168
더페이머스버거 홍대점|햄버거|4.42|489|1040
더핏짜 본점|피자|4.45|808|121
도프피자베이커스 홍대점|피자|4.6|59|61
라헬의부엌 홍대점|카페,디저트|4.51|983|505
랑데자뷰 홍대점|카페,디저트|4.34|522|1362
르쁘띠푸 홍대본점|카페|4.39|699|1229
마시타야|일본식라면|4.55|146|412
멘야준|일본식라면|4.56|719|404
미도인 홍대|양식|4.5|1035|595
미쁘동|일식당|4.41|1828|1604
발리 슈퍼스토어|맥주,호프|4.37|333|893
배터리88 홍대점|요리주점|4.41|367|388
버터밀크|카페,디저트|4.45|557|651
비스트로큐슈|카레|4.48|425|327
산리오 러버스 클럽|카페|4.47|3541|861
솔솥 연남점|한식|4.52|1543|1185
스시오 블랙컨테이너|일식,초밥뷔페|4.75|720|1089
스아게|일식당|4.61|494|404
시나모롤 스위트카페|카페,디저트|4.48|92|80
썬키친|요리주점|4.89|323|194
아날로그가든|카페|4.44|452|293
얀 쿠브레|카페,디저트|4.32|1596|651
온돌 합정점|찌개,전골|4.63|1118|940
온미동 연남|일식당|4.54|759|463
우동가조쿠|우동,소바|4.57|617|227
작당모의|카페,디저트|4.38|974|844
정돈 홍대점|돈가스|4.52|845|527
진진|중식당|4.52|839|851
천이오겹살|육류,고기요리|4.29|411|921
초이 다이닝|일식당|5.0|257|267
카레시|카레|4.7|711|557
카멜로연남|양식|4.73|1274|1120
카페노티드 연남|카페|4.45|2341|568
코노미|일식당|4.37|348|638
코테츠|일식당|4.44|275|240
키쉬미뇽|카페,디저트|4.43|1977|1031
테이스티버거|햄버거|4.38|797|851
푸하하크림빵|베이커리|4.37|1971|1294
하카타나카|일식당|4.44|626|706
함반|한식|4.7|337|307
합정공감|이자카야|4.89|509|114
호맥 합정점|맥주,호프|4.45|735|314
1984|카페,디저트|4.63|767|1605
가든 포에트|양식|4.85|560|164
교동집|주꾸미요리|4.14|596|499
긴자료코 본점|돈가스|4.52|953|473
뉴오더클럽 연남|피자|4.59|850|1055
닝교초식당 홍대점|일식당|4.52|493|221
달콤한거짓말|케이크전문|4.36|677|953
더피자보이즈 홍대입구역점|피자|4.57|653|604
들풀한상|한식|4.36|413|633
또보겠지떡볶이집 호호시스터점|분식|4.56|1235|1074
락희돈|일식튀김,꼬치|4.41|330|306
마포곱창타운|곱창,막창,양|4.48|841|969
막걸리싸롱|전통,민속주점|4.14|110|501
모파상|카페,디저트|4.36|774|888
몽주방|요리주점|4.43|91|77
사쿠라테이엔 합정점|이자카야|4.85|141|112
스미비부타동|덮밥|4.44|861|774
슬로우타코|멕시코,남미음식|4.79|369|338
식스티즈|햄버거|4.59|282|167
심야식당 하스|이자카야|4.46|206|337
에일크루|맥주,호프|4.52|417|284
연교|딤섬,중식만두|4.49|916|891
연남주막1987|전통,민속주점|4.52|340|269
오리지널시카고피자 홍대본점|피자|4.29|384|1220
오버트 합정|카페,디저트|4.44|86|81
오비야|일식당|4.19|209|459
오이지 연남|한식|4.48|145|142
우마담|육류,고기요리|4.55|336|464
이름없는파스타 연남점|스파게티,파스타전문|4.45|40|28
제스티살룬 연남|햄버거|4.58|1595|877
진저피그|돼지고기구이|4.6|1272|674
철길왕갈비살|육류,고기요리|4.36|689|470
청년닭발1987|닭발|4.42|474|701
츠케루|일본식라면|4.62|1693|195
카와카츠 합정점|돈가스|4.81|271|221
카타코토카페|카레|4.52|298|287
카페 예능|카페,디저트|4.49|21|16
커피리브레 연남점|카페|4.43|664|744
키움초밥|초밥,롤|4.59|1073|1197
키친485|이탈리아음식|4.34|695|1040
트래블메이커|브런치|4.0|306|298
평안도 상원냉면|냉면|4.48|315|163
핏제리아오 합정역점|피자|4.58|34|24
하연옥 마포점|냉면|4.33|957|267
합정조이떡볶이|떡볶이|4.38|413|82
헤이죠지|양식|4.44|330|454
혼가츠|돈가스|4.35|1034|1844
홍대씨부엉|떡볶이|4.51|537|916
홍스쭈꾸미 홍대본점|주꾸미요리|4.44|1058|1835
황곱|곱창,막창,양|4.5|455|319
1989버거스탠드 연남|햄버거|4.82|290|568
JASE|바(BAR)|4.37|178|479
고망고 연남점|카페,디저트|4.48|2803|321
구공탄곱창 본점|곱창,막창,양|4.5|628|539
구스토타코|멕시코,남미음식|4.34|361|354
금성회관 합정본점|한식|4.72|717|346
김씨육면|국수|4.65|389|270
