name|gubun|score|visitCount|blogCount
OBPC 연남본점|피자|4.46|432|424
가로수포차|요리주점|4.61|126|70
고기꾼김춘배 홍대본점|돼지고기구이|4.52|1312|996
고쿠텐 홍대점|일식당|4.46|940|471
나성타코|멕시코,남미음식|4.72|631|490
냉장고 합정점|돼지고기구이|4.75|208|267
뉴욕아파트먼트 홍대점|햄버거|4.61|974|1554
니꾸킹버거|햄버거|4.82|191|168
더페이머스버거 홍대점|햄버거|4.42|489|1040
더핏짜 본점|피자|4.45|808|121
도프피자베이커스 홍대점|피자|4.6|59|61
라헬의부엌 홍대점|카페,디저트|4.51|983|505
랑데자뷰 홍대점|카페,디저트|4.34|522|1362
르쁘띠푸 홍대본점|카페|4.39|699|1229
마시타야|일본식라면|4.55|146|412
멘야준|일본식라면|4.56|719|404
미도인 홍대|양식|4.5|1035|595
미쁘동|일식당|4.41|1828|1604
발리 슈퍼스토어|맥주,호프|4.37|333|893
배터리88 홍대점|요리주점|4.41|367|388
버터밀크|카페,디저트|4.45|557|651
비스트로큐슈|카레|4.48|425|327
산리오 러버스 클럽|카페|4.47|3541|861
솔솥 연남점|한식|4.52|1543|1185
스시오 블랙컨테이너|일식,초밥뷔페|4.75|720|1089
스아게|일식당|4.61|494|404
시나모롤 스위트카페|카페,디저트|4.48|92|80
썬키친|요리주점|4.89|323|194
아날로그가든|카페|4.44|452|293
얀 쿠브레|카페,디저트|4.32|1596|651
온돌 합정점|찌개,전골|4.63|1118|940
온미동 연남|일식당|4.54|759|463
우동가조쿠|우동,소바|4.57|617|227
작당모의|카페,디저트|4.38|974|844
정돈 홍대점|돈가스|4.52|845|527
진진|중식당|4.52|839|851
천이오겹살|육류,고기요리|4.29|411|921
초이 다이닝|일식당|5.0|257|267
카레시|카레|4.7|711|557
카멜로연남|양식|4.73|1274|1120
카페노티드 연남|카페|4.45|2341|568
코노미|일식당|4.37|348|638
코테츠|일식당|4.44|275|240
키쉬미뇽|카페,디저트|4.43|1977|1031
테이스티버거|햄버거|4.38|797|851
푸하하크림빵|베이커리|4.37|1971|1294
하카타나카|일식당|4.44|626|706
함반|한식|4.7|337|307
합정공감|이자카야|4.89|509|114
호맥 합정점|맥주,호프|4.45|735|314
