name|gubun|price|score|count|menu1|menu2|menu3|menu4|address|phone|openingHour|detailInfo
미라이|이자카야 / 오뎅 / 꼬치|29500.0|4.8|120|사시미8종 (2인)|마구로치즈아에|양갈비 스미비 야끼|노도구로 시오 야끼|서울특별시 강남구 논현로153길 24 끌레르빌 1F|02-540-0934|18:00 - 23:00|주차공간없음, 예약, 무선 인터넷, 남/녀 화장실 구분, 제로페이, 국민지원금
시라카와|이자카야 / 오뎅 / 꼬치|16475.0|4.8|66|덴푸라 5종모듬|방어회와 흑임자 소스|소고기조림|기린생맥주|서울특별시 강남구 선릉로161길 7 1F|070-4115-4769|17:00 - 23:00|발렛, 예약, 무선 인터넷, 제로페이, 국민지원금
일리조|이탈리안|18250.0|4.8|38|알리오올리오|봉골레파스타|포르치니파스타|라구파스타|서울특별시 강남구 압구정로42길 23 1F|02-544-1980|11:30 - 22:00|유료주차 가능, 단체석, 예약, 무선 인터넷, 남/녀 화장실 구분
로바타탄요|정통 일식 / 일반 일식|24500.0|4.7|91|야채모듬5종|닭 토종닭구이|안심 스테이크|시사모|서울특별시 강남구 압구정로28길 49 109호|02-6339-9667|17:00 - 22:00|발렛, 예약, 무선 인터넷, 제로페이, 국민지원금
코슌|이자카야 / 오뎅 / 꼬치|5800.0|4.7|23|세미|풀 (카운터)|풀 (룸)|none|서울특별시 강남구 언주로153길 14 2F|0507-1315-8729|17:00 - 24:00|단체석, 주차, 발렛파킹, 예약, 무선 인터넷
소이연남마오|태국 음식|17250.0|4.7|69|소고기쌀국수|똠얌쌀국수|꿍팟퐁커리(새우 옐로 커리)|똠얌꿍|서울특별시 강남구 도산대로53길 30|02-545-5130|11:30 - 22:00|발렛, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 지역화폐(모바일형), 제로페이, 국민지원금
인딕 슬로우|인도 음식|15200.0|4.7|74|브런치 탈리|흑임자피자&가지 피자|인딕커리|포도&블루치즈|서울특별시 강남구 압구정로4길 13 1F|02-511-0139|11:30 - 21:30|발렛, 포장, 배달, 예약, 무선 인터넷, 반려동물 동반, 지역화폐(카드형), 지역화폐(모바일형), 제로페이, 국민지원금
삐아프|카페 / 디저트|23875.0|4.7|79|봉봉 4구 세트|봉봉 6구 세트|봉봉 10구 세트|봉봉 15구 세트|서울특별시 강남구 논현로175길 109  1F|02-545-0317|12:30 - 19:30|무료주차 가능, 포장, 예약, 제로페이
상진식감|까스 요리|15333.33333|4.7|7|가슴살카츠(사사미카츠)|상진카츠|안심카츠|none|서울특별시 강남구 도산대로11길 31-10  B1|02-6439-2735|11:30 - 21:00|예약, 무선 인터넷, 제로페이
파씨오네|프랑스 음식|75000.0|4.6|148|런치 코스|디너 코스|none|none|서울특별시 강남구 언주로164길 39|02-546-7719|12:00 - 22:30|단체석, 주차, 발렛파킹, 예약
콴안다오|베트남 음식|8625.0|4.6|209|짜조|반미|퍼보|껌승|서울특별시 강남구 강남대로156길 28-2 1F|02-512-1651|11:00 - 22:00|주차, 발렛파킹, 무선 인터넷
와라야키 쿠이신보|이자카야 / 오뎅 / 꼬치|25250.0|4.6|122|참치뱃살 타타키|참치등살 타타키|참치사시미|도미사시미|서울특별시 강남구 도산대로15길 6 대화빌딩|02-546-9215|17:30 - 01:00|발렛파킹, 포장, 배달, 국민지원금
가담|정통 중식 / 일반 중식|41500.0|4.6|143|게살해물요리|고추탕수육 (4인분)|난자완스|가담정식|서울특별시 강남구 언주로167길 35 옥산빌딩|02-545-5163|11:00 - 22:00|무료주차 가능 
가디록|이탈리안|69250.0|4.6|55|런치 코스|디너 코스|none|none|서울특별시 강남구 도산대로45길 18-4 2F|02-6404-6815|12:00 - 22:00|단체석, 주차, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분
신비갈비살|고기 요리|49250.0|4.6|26|갈비한짝모듬|갈비반짝모듬|한우갈비살 (100g)|마무리된장찌개+공기밥1|서울특별시 강남구 강남대로158길 15 1F|02-543-5992|17:00 - 24:00|주차공간없음, 단체석, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금
따띠따띠|퓨전 양식|54250.0|4.6|12|DINNER C|샤또브리앙 - 100g|채끝등심 - 100g|쁘띠 텐더|서울특별시 강남구 언주로157길 6 1F|02-6397-1023|11:30 - 22:00|주차공간없음 
PEACH|이탈리안|12875.0|4.6|11|Chestnut Latte|(Dessert) 생크림케이크|(Dessert) 흑임자 케이크|(Brunch) 피치 브런치|서울특별시 강남구 도산대로37길 21 문헌빌딩 1F|02-516-8171|11:00 - 22:00|단체석, 발렛파킹, 포장, 예약, 무선 인터넷
장 스테이크|스테이크 / 바베큐|53750.0|4.5|150|한우안심스테이크 (200g)|한우꽃등심스테이크 (200g)|한우채끝등심스테이크 (200g)|런치스테이크코스|서울특별시 강남구 압구정로 314 요한빌딩 5F|02-548-9621|12:00 - 22:00|단체석, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분
이치에|이자카야 / 오뎅 / 꼬치|36750.0|4.5|169|사시미모리아와세 (2인)|아마에비|혼마구로|호다테후라이|서울특별시 강남구 선릉로155길 23-3 2F|070-4273-4087|18:00 - 24:00|단체석, 주차, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분
삼창교자|딤섬 / 만두|7500.0|4.5|101|하이단교자|하이창교자|샤런교자|자오즈지탕면|서울특별시 강남구 강남대로156길 33|02-542-5588|11:30 - 22:00|발렛파킹, 포장, 배달, 무선 인터넷
보타르가|이탈리안|31000.0|4.5|50|보타르가|뇨끼|비스크 카네로니|라구 디 만조|서울특별시 강남구 언주로170길 16 1F|010-8558-5378|12:00 - 22:00|단체석, 발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분
칙피스 신사점|세계음식 기타|9875.0|4.5|179|부채살스테이크 라이스|치킨샐러드|비건샐러드|비건버거|서울특별시 강남구 강남대로152길 69|02-6956-6780|11:30 - 22:00|유료주차 가능 2시간 3,000원, 발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분
카츠바이콘반|까스 요리|27750.0|4.5|115|로스카츠 정식|로스카츠 단품|히레카츠 정식|히레카츠 단품|서울특별시 강남구 선릉로153길 36|02-547-3903|11:30 - 20:30|단체석, 발렛파킹, 포장, 무선 인터넷, 제로페이, 국민지원금
롸카두들 내쉬빌 핫치킨 압구정|브런치 / 버거 / 샌드위치|9000.0|4.5|96|더 클래식|그랜파|지펑크|수프림 C|서울특별시 강남구 언주로164길 35-3|02-3447-3456|11:30 - 21:00|주차공간없음, 포장, 배달, 무선 인터넷
