name|gubun|price|score|count|menu1|menu2|menu3|menu4|address|phone|openingHour|detailInfo
뉴만두집|만두|28000.0|4.36|1652|만두전골|만두국|콩비지|빈대떡|서울 강남구 압구정로 338|02-544-3710|12:00 - 21:30|매장내식사가능
카페무니 압구정본점|카페,디저트|9125.0|4.36|670|바닐라쉐이크|아이스크림 라떼|아인슈페너|무니 아메리카노|서울 강남구 압구정로56길 16|010-9340-4466|09:00 - 22:00|포장, 남/녀 화장실 구분
포스터리 베이커|케이크전문|0.0|4.36|512|cupcake|cake pudding|whole cake|none|서울 강남구 압구정로42길 25-5 포스터리 베이커|02-540-8911|11:00 - 22:00|주차, 발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분
압구정하루|일식당|8875.0|4.36|3616|돈가스|냉모밀|판모밀|비빔모밀|서울 강남구 언주로172길 56|02-514-5557|11:30 - 22:00|주차, 포장, 무선 인터넷, 남/녀 화장실 구분, 장애인 편의시설, 국민지원금
온기정|일식당|26750.0|4.3|2286|메밀소바 세트|메밀소바 정찬|스테키동 온기정찬(2인)|매운토리텐동|서울 강남구 압구정로4길 13-9 1층 온기정|02-545-7940|11:30 - 21:30|단체석, 주차, 발렛파킹, 포장, 배달, 무선 인터넷
카페 노티드 청담|카페|3375.0|4.44|20844|뉴욕버터밀크스콘|헤이스콘|초코 누텔라 스콘|맬트앤믹스청크쿠키|서울 강남구 도산대로53길 15 1층|0507-1426-9399|none|매장내식사가능
리틀넥 청담|이탈리아음식|13000.0|4.5|5367|아메리칸 오믈렛|살몬 포케|고구마 프라이즈|라자냐|서울 강남구 도산대로51길 17|0507-1400-1476|11:00 - 21:00|단체석, 발렛파킹, 포장, 배달, 무선 인터넷
호족반|한식|12300.0|4.34|3093|트러플 감자전|들기름 메밀국수|청담김 주먹밥|마늘 항정 수육|서울 강남구 언주로164길 39 1층|0507-1399-3353|11:30 - 21:30|발렛파킹, 포장, 배달, 무선 인터넷
쮸즈|딤섬,중식만두|6250.0|4.38|3508|소룡포|딴딴면|새우춘권|완탕면|서울 강남구 도산대로17길 13|02-6081-9888|11:30 - 21:00|발렛파킹
까폼|태국음식|14500.0|4.52|2633|태국 소고기 쌀국수|카오카무|뿌님팟퐁커리|텃만꿍|서울 강남구 선릉로153길 18 지하1층|0507-1411-7318|11:30 - 22:00|발렛파킹, 포장, 배달, 방문접수/출장, 무선 인터넷, 반려동물 동반
벽돌해피푸드 압구정점|중식당|17250.0|4.46|1221|토마토 계란 덮밥|크림새우|사천식 돼지고기 튀김|마라샹궈|서울 강남구 도산대로51길 36 1층|02-514-0200|11:30 - 22:00|단체석, 발렛파킹, 포장, 배달, 무선 인터넷, 남/녀 화장실 구분
미미면가|일식당|15500.0|4.27|3249|고등어구이 온소바|성게알 냉소바|냉/온소바|새우튀김 냉소바|서울 강남구 강남대로160길 29|0507-1413-5466|11:30 - 21:30|무선 인터넷
아우어베이커리 가로수길점|베이커리|4550.0|4.46|4910|아메리카노|더티초코|에스프레소|플랫화이트|서울 강남구 강남대로162길 39|02-546-3800|10:00 - 21:30|단체석, 발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분
달마시안|양식|16000.0|4.46|1586|컬리플라워 포테이토 스프|달마시안 수제 그래놀라 요거트볼|비프 스테이크 토스트|아보카도 치킨 콥 샐러드|서울 강남구 압구정로42길 42|0507-1491-0926|09:00 - 23:00|단체석, 발렛파킹, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분
삼원가든|한식|82500.0|4.45|906|삼 전통 양념갈비|한우 갈비 (양념/생)|한우 특생갈비|한우 불고기|서울 강남구 언주로 835|02-548-3030|11:30 - 21:00|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 남/녀 화장실 구분, 장애인 편의시설, 지역화폐(지류형), 지역화폐(카드형), 지역화폐(모바일형), 제로페이, 국민지원금
묵전|전통,민속주점|21857.14286|4.45|1441|시골장터모둠전|모듬 해물 파전|묵전 최고 한방 도마보쌈|돼지고기 김치찜|서울 강남구 언주로168길 22|02-548-1461|11:30 - 24:00|단체석, 발렛파킹, 포장, 예약, 남/녀 화장실 구분
올리버|일식당|26500.0|4.62|80|사시미 플레이터(2인)|올리버롤|감자 고등어 마끼|감자모찌|서울 강남구 선릉로157길 25 2층|0507-1347-8332|17:00 - 새벽 01:00|단체석, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 지역화폐(지류형), 지역화폐(카드형), 지역화폐(모바일형), 제로페이, 국민지원금
카멜커피|카페,디저트|5500.0|4.43|2669|카멜커피|아메리카노|카푸치노|플랫화이트|서울 강남구 도산대로45길 16-8|010-7774-1484|10:00 - 21:00|매장내식사가능
오스테리아 꼬또 압구정점|이탈리아음식|28000.0|4.43|2290|꽃갈비 라구 생면 빠빠델레|프레쉬 트러플 노리치아 생면 딸리올리니|버팔로 마르게리타 피자|쿨라텔로 단호박 아르보리오 리조또|서울 강남구 언주로165길 7-12 오스테리아꼬또 압구정점은 고객님들의 편리한 방문을 위하여 발렛파킹 서비스를 제공하고 있습니다. 주차장에 오셔서 직원에게 문의해 주세요|0507-1403-1962|11:30 - 22:00|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 제로페이, 국민지원금
달래해장|한식|16250.0|4.43|496|(특)해장국|탕국|낙지볶음|달래불고기|서울 강남구 압구정로2길 46 강남시장 1층 달래해장|0507-1480-5969|none|매장내식사가능
마일스톤 커피|카페|5125.0|4.62|2845|플랫화이트|수제마스카포네티라미수|에스프레소|아메리카노|서울 강남구 논현로159길 49|0507-1425-1195|10:00 - 21:00|포장, 배달, 무선 인터넷
대막|일식당|18000.0|4.43|2279|바질소바|후토마키 SET|아부라소바|후토마키 (5pcs)|서울 강남구 압구정로46길 75 , 1층|02-516-5056|12:00 - 21:00|매장내식사가능
뉴욕라츠오베이글스|베이글|0.0|4.53|1867|베이글|none|none|none|서울 강남구 압구정로48길 28 건물전체|02-3448-7777|08:30 - 20:00|단체석, 포장, 배달, 예약, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분
아베크 청담|양식|27250.0|4.39|1001|(브런치)로스트 치킨 플레터|독도 새우 버거|(브런치)가지 샥슈카|백김치 볶음밥|서울 강남구 선릉로 823 1층|0507-1368-5129|11:30 - 새벽 02:00|단체석, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분
다운타우너 청담|햄버거|8050.0|4.61|5852|AVOCADO(아보카도 버거)|BACON CHEESE(베이컨치즈 버거)|CHEESE(치즈버거)|GARLIC BUTTER FRIES(갈릭버터 프라이즈)|서울 강남구 도산대로53길 14 1층|0507-1422-9399|11:30 - 21:30|발렛파킹, 포장, 배달, 무선 인터넷, 반려동물 동반, 국민지원금
우와|일식당|17500.0|4.48|2091|클래식 오코노미야키&야키소바|철판 꽃갈비살 100g|토마토 오코노미야키& 시오 야키소바|하야시 오코노미야키& 바질 야키소바|서울 강남구 강남대로158길 17 1층|070-8833-7336|12:00 - 22:00|단체석, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금
플레이버스 바이 바프|양식|19000.0|4.62|104|Brunch Platter|Egg Benedict|Brioche French Toast|Campagne Jambon Fren|서울 강남구 강남대로158길 26 1층 플레이버스 바이 바프|0507-1456-1287|10:00 - 22:00|매장내식사가능
신사전|전,빈대떡|22750.0|4.31|914|벌집꿀|모듬전(소)|모듬전(중)|치즈감자전|서울 강남구 도산대로11길 18 신사전|02-3443-9991|11:00 - 24:00|단체석, 발렛파킹, 포장, 예약, 남/녀 화장실 구분
파넬|양식|25250.0|4.17|1722|수비드 스테이크샌드위치|연어에그베네딕트|베이컨에그베네딕트|살치살 스테이크|서울 강남구 언주로164길 14|02-511-6492|10:00 - 22:00|단체석, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분
브루클린더버거조인트 가로수길점|햄버거|8800.0|4.48|4248|브루클린웍스|더치즈버거|none|none|서울 강남구 도산대로15길 12 가로수빌딩 1층|02-545-0718|11:00 - 22:00|단체석, 주차, 발렛파킹, 포장, 무선 인터넷
한올|양식|31750.0|4.53|62|삐띠비에|수비드영양갈비찜|갈치속젓 파스타|새우크림 리조또|서울 강남구 도산대로15길 11 2층|0507-1314-8170|11:30 - 24:00|단체석, 발렛파킹, 예약, 남/녀 화장실 구분, 제로페이
무탄|중식당|37000.0|4.36|2929|스테이크트러플짜장면|마카롱 멘보샤|고추 유린기|오향장우육|서울 강남구 논현로176길 22 1층|02-549-9339|11:00 - 22:00|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분
르브런쉭 신사점|브런치|18900.0|4.34|1430|에그 베네딕트|아보카도에그슬럿|프렌치 토스트|만조리가토니|서울 강남구 강남대로162길 41-22 오로라빌|0507-1399-1985|10:30 - 20:00|주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 제로페이, 국민지원금
뱃고동|낙지요리|15125.0|4.28|3624|오징어불고기백반|낙지불고기백반|산낙지불고기|낙지불고기|서울 강남구 언주로172길 54|0507-1413-8008|11:30 - 22:00|단체석, 발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금
클랩피자 청담점|피자|8400.0|4.52|3703|HALF&HALF 14INCH|GARLIC|BUFFALO|CORN SALAD|서울 강남구 압구정로46길 71 1층|0507-1352-9973|11:30 - 21:30|단체석, 발렛파킹, 포장, 배달
지아니스나폴리 가로수길점|이탈리아음식|17000.0|4.35|1127|감베리 크레마|마르게리따 디 피오디라떼|인살라타 메디테라네오|프로시다 나폴리|서울 강남구 도산대로15길 15 2층|02-3416-0316|11:30 - 22:00|단체석, 주차, 발렛파킹, 포장, 예약, 무선 인터넷, 국민지원금
콴안다오|베트남음식|8625.0|4.52|2528|짜조|반미|퍼보|껌승|서울 강남구 강남대로156길 28-2|0507-1408-1651|11:00 - 22:00|주차, 발렛파킹, 무선 인터넷
카츠바이콘반|일식당|16500.0|4.58|2205|로스카츠|히레카츠|믹스카츠|로스카츠 (단품)|서울 강남구 선릉로153길 36|0507-1332-3903|11:30 - 20:30|단체석, 발렛파킹, 포장, 무선 인터넷, 제로페이, 국민지원금
카이센동 우니도|일식당|24000.0|4.84|616|우니도카이센동|카이센동|생생사케동|아부리돈부리|서울 강남구 압구정로2길 15 1층 카이센동우니도|0507-1401-0517|none|매장내식사가능
