name|gubun|score|visitCount|blogCount
우성식당|기사식당|4.2/5|방문자 리뷰_ 734|블로그 리뷰_ 138
냥토피아 카페앤샵|카페,디저트|4.74/5|방문자 리뷰_ 1,235|블로그 리뷰_ 219
미도인 건대|양식|4.58/5|방문자 리뷰_ 884|블로그 리뷰_ 239
평창 닭다리살 불고기|육류,고기요리|4.43/5|방문자 리뷰_ 300|블로그 리뷰_ 134
연옥양꼬치|양꼬치|4.75/5|방문자 리뷰_ 273|블로그 리뷰_ 497
포크포크 건대직영점|돈가스|4.53/5|방문자 리뷰_ 536|블로그 리뷰_ 222
호우시절|요리주점|4.59/5|방문자 리뷰_ 54|블로그 리뷰_ 85
애드앤드|카페,디저트|4.75/5|방문자 리뷰_ 164|블로그 리뷰_ 174
이덕복인|오리요리|4.75/5|방문자 리뷰_ 3|블로그 리뷰_ 7
쿵푸소룽샤&마라룽샤|중식당|4.64/5|방문자 리뷰_ 330|블로그 리뷰_ 658
훈춘양꼬치|양꼬치|4.64/5|방문자 리뷰_ 133|블로그 리뷰_ 123
한사바리|요리주점|4.57/5|방문자 리뷰_ 119|블로그 리뷰_ 62
스파이스드 SPICED|양식|4.57/5|방문자 리뷰_ 219|블로그 리뷰_ 64
옛날종로빈대떡|전,빈대떡|4.22/5|방문자 리뷰_ 123|블로그 리뷰_ 45
도키도키|이자카야|4.22/5|방문자 리뷰_ 137|블로그 리뷰_ 56
카페드라이|카페,디저트|4.53/5|방문자 리뷰_ 258|블로그 리뷰_ 340
LITE LANE|카페|4.43/5|방문자 리뷰_ 458|블로그 리뷰_ 260
은비스브레드 건국대|베이커리|4.43/5|방문자 리뷰_ 68|블로그 리뷰_ 9
매드포갈릭 건대스타시티점|이탈리아음식|4.43/5|방문자 리뷰_ 1,001|블로그 리뷰_ 380
고쿠텐 건대입구역점|덮밥|4.17/5|방문자 리뷰_ 181|블로그 리뷰_ 110
해란양꼬치|중식당|4.73/5|방문자 리뷰_ 220|블로그 리뷰_ 463
쑤담샤브샤브|샤브샤브|4.18/5|방문자 리뷰_ 2,443|블로그 리뷰_ 817
기류|카페,디저트|4.18/5|방문자 리뷰_ 48|블로그 리뷰_ 6
아메리칸트레이 건대입구점|다이어트,샐러드|4.18/5|방문자 리뷰_ 62|블로그 리뷰_ 89
청춘등판|한식|4.87/5|방문자 리뷰_ 404|블로그 리뷰_ 175
고흥순대국머리고기|순대,순댓국|4.45/5|방문자 리뷰_ 1,116|블로그 리뷰_ 140
화양시장할머니순대국|순대,순댓국|4.29/5|방문자 리뷰_ 575|블로그 리뷰_ 139
고베규카츠 건대점|돈가스|3.64/5|방문자 리뷰_ 182|블로그 리뷰_ 64
건대스시|일식당|4.51/5|방문자 리뷰_ 221|블로그 리뷰_ 222
설레임삼겹살|돼지고기구이|4.58/5|방문자 리뷰_ 140|블로그 리뷰_ 253
메종드쁘띠푸르 커먼그라운드점|베이커리|4.35/5|방문자 리뷰_ 607|블로그 리뷰_ 107
아날로그키친|이탈리아음식|4.48/5|방문자 리뷰_ 289|블로그 리뷰_ 433
화양과자|카페,디저트|4.64/5|방문자 리뷰_ 194|블로그 리뷰_ 78
라그랑우스|베이커리|4.48/5|방문자 리뷰_ 265|블로그 리뷰_ 119
등촌샤브칼국수 자양점|칼국수,만두|4.32/5|방문자 리뷰_ 711|블로그 리뷰_ 100
이태리부대찌개 건대점|찌개,전골|4.42/5|방문자 리뷰_ 445|블로그 리뷰_ 62
북카페세모|카페,디저트|4.76/5|방문자 리뷰_ 654|블로그 리뷰_ 2,593
오페뜨 건대점|카페,디저트|4.76/5|방문자 리뷰_ 700|블로그 리뷰_ 649
아마 건대점|인도음식|4.76/5|방문자 리뷰_ 94|블로그 리뷰_ 81
발빠닭 건대점|닭발|4.73/5|방문자 리뷰_ 185|블로그 리뷰_ 89
디슬로|바(BAR)|4.94/5|방문자 리뷰_ 153|블로그 리뷰_ 108
질서정연|요리주점|4.94/5|방문자 리뷰_ 169|블로그 리뷰_ 130
마실리아|요리주점|4.32/5|방문자 리뷰_ 166|블로그 리뷰_ 89
열불날개 건대2호점|닭발|4.43/5|방문자 리뷰_ 301|블로그 리뷰_ 628
반둥식당|아시아음식|4.48/5|방문자 리뷰_ 318|블로그 리뷰_ 281
깍뚝|돼지고기구이|4.51/5|방문자 리뷰_ 446|블로그 리뷰_ 280
최가커피|카페|4.5/5|방문자 리뷰_ 849|블로그 리뷰_ 732
샤오당쟈마라탕 건대점|중식당|4.41/5|방문자 리뷰_ 675|블로그 리뷰_ 48
대구안지랑곱창막창 건대점|곱창,막창,양|4.36/5|방문자 리뷰_ 166|블로그 리뷰_ 369
정면|국수|4.86/5|방문자 리뷰_ 333|블로그 리뷰_ 163
