name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio
콘유|"16.66666666666668%_10|"|"77.19799999999998%_20|"|"63.60366666666663%_30|"|"42.35033333333333%_40|"|"34.488%_50|"|"24.11133333333333%_60|"|여자_49%|남자_51%
콘피에르|"23.621176470588228%_10|"|"52.36776470588234%_20|"|"42.8145882352941%_30|"|"23.390117647058833%_40|"|"20.49694117647058%_50|"|"15.544235294117643%_60|"|여자_58%|남자_42%
롸카두들 내쉬빌 핫치킨 압구정|"25.930588235294117%_10|"|"49.98352941176471%_20|"|"42.9795294117647%_30|"|"30.313647058823523%_40|"|"22.25623529411765%_50|"|"11.764705882352951%_60|"|여자_48%|남자_52%
임프레션|"16.717882352941167%_10|"|"48.87882352941176%_20|"|"49.23294117647058%_30|"|"33.91270588235293%_40|"|"27.49294117647058%_50|"|"24.415294117647054%_60|"|여자_51%|남자_49%
벙커컴퍼니 압구정점|"19.75058823529412%_10|"|"47.677882352941175%_20|"|"44.29882352941178%_30|"|"38.464470588235294%_40|"|"32.5510588235294%_50|"|"30.25152941176471%_60|"|여자_51%|남자_49%
보타르가|"11.764705882352951%_10|"|"46.76070588235295%_20|"|"47.87694117647059%_30|"|"33.85811764705883%_40|"|"27.71952941176471%_50|"|"26.083999999999996%_60|"|여자_52%|남자_48%
메리고라운드 스테이크|"32.80235294117648%_10|"|"51.06070588235293%_20|"|"41.19717647058824%_30|"|"39.5550588235294%_40|"|"33.328941176470586%_50|"|"23.180235294117658%_60|"|여자_47%|남자_53%
신미식당|"25.00000000000001%_10|"|"94.03249999999998%_20|"|"95.88149999999997%_30|"|"88.29449999999997%_40|"|"70.678%_50|"|"61.103499999999954%_60|"|여자_48%|남자_52%
압구정제주집|"50.48449999999994%_10|"|"93.06549999999999%_20|"|"96.19099999999999%_30|"|"84.61399999999999%_40|"|"73.52449999999995%_50|"|"75.88099999999994%_60|"|여자_44%|남자_56%
얼오브샌드위치 압구정로데오점|"25.00000000000001%_10|"|"81.38199999999999%_20|"|"83.99749999999997%_30|"|"82.14399999999998%_40|"|"45.07749999999998%_50|"|"25.00000000000001%_60|"|여자_51%|남자_49%
감성타코 가로수길점|"41.25670588235293%_10|"|"49.669647058823514%_20|"|"35.75623529411764%_30|"|"33.35011764705882%_40|"|"25.699058823529413%_50|"|"11.764705882352951%_60|"|여자_54%|남자_46%
웜브라운 베이커리카페|"48.01749999999998%_10|"|"97.97449999999999%_20|"|"80.705%_30|"|"66.8925%_40|"|"47.92899999999998%_50|"|"25.00000000000001%_60|"|여자_65%|남자_35%
한남베르그 도산|"49.46850000000001%_10|"|"99.73699999999998%_20|"|"84.585%_30|"|"81.28049999999996%_40|"|"44.9375%_50|"|"32.21499999999998%_60|"|여자_55%|남자_45%
을지다락 도산공원|"26.385142857142824%_10|"|"35.08542857142854%_20|"|"21.243142857142843%_30|"|"16.033999999999978%_40|"|"9.525999999999987%_50|"|"5.868285714285675%_60|"|여자_57%|남자_43%
지강낙곱새 압구정본점|"14.915999999999963%_10|"|"29.57428571428568%_20|"|"21.770571428571415%_30|"|"20.925714285714246%_40|"|"12.578857142857114%_50|"|"8.636285714285684%_60|"|여자_53%|남자_47%
그랑씨엘|"62.29299999999994%_10|"|"97.94799999999995%_20|"|"94.77699999999997%_30|"|"77.44749999999996%_40|"|"55.91749999999996%_50|"|"50.63449999999998%_60|"|여자_58%|남자_42%
Just Steak|"21.156705882352938%_10|"|"50.677647058823524%_20|"|"45.97223529411763%_30|"|"37.412705882352945%_40|"|"31.891058823529413%_50|"|"29.09294117647059%_60|"|여자_47%|남자_53%
샤블리|"11.849428571428536%_10|"|"36.449999999999974%_20|"|"23.92342857142855%_30|"|"16.778285714285683%_40|"|"11.907428571428554%_50|"|"11.854571428571413%_60|"|여자_54%|남자_46%
호쿠모쿠|"25.00000000000001%_10|"|"90.99899999999997%_20|"|"81.8745%_30|"|"82.04099999999995%_40|"|"53.74549999999998%_50|"|"25.00000000000001%_60|"|여자_57%|남자_43%
도쿄등심 압구정점|"24.142352941176433%_10|"|"50.308941176470576%_20|"|"47.28541176470586%_30|"|"39.82564705882352%_40|"|"33.736705882352915%_50|"|"28.751058823529384%_60|"|여자_51%|남자_49%
길버트버거앤프라이즈|"31.400941176470575%_10|"|"48.588705882352926%_20|"|"39.50117647058824%_30|"|"34.59552941176471%_40|"|"27.75976470588234%_50|"|"11.764705882352951%_60|"|여자_50%|남자_50%
듀자미|"38.26141176470587%_10|"|"50.67223529411765%_20|"|"40.06117647058822%_30|"|"32.93505882352942%_40|"|"23.5875294117647%_50|"|"18.040235294117657%_60|"|여자_59%|남자_41%
마이쏭|"23.972941176470567%_10|"|"49.16799999999999%_20|"|"45.17670588235292%_30|"|"40.26282352941173%_40|"|"30.895529411764695%_50|"|"23.601411764705862%_60|"|여자_64%|남자_36%
이끼롤까스 가로수길점|"22.292285714285704%_10|"|"32.303714285714264%_20|"|"16.810571428571404%_30|"|"15.470571428571414%_40|"|"10.01142857142856%_50|"|"4.410285714285685%_60|"|여자_52%|남자_48%
레브|"28.43317647058823%_10|"|"48.896941176470584%_20|"|"36.905176470588216%_30|"|"23.907999999999983%_40|"|"17.513411764705893%_50|"|"11.764705882352951%_60|"|여자_53%|남자_47%
갓포아키 도산공원점|"28.43317647058823%_10|"|"48.896941176470584%_20|"|"36.905176470588216%_30|"|"23.907999999999983%_40|"|"17.513411764705893%_50|"|"11.764705882352951%_60|"|여자_53%|남자_47%
세시셀라 도산공원점|"25.77552941176471%_10|"|"52.03764705882353%_20|"|"43.41082352941176%_30|"|"31.039058823529412%_40|"|"22.97176470588235%_50|"|"19.976941176470593%_60|"|여자_64%|남자_36%
마르르 본점|"40.94564705882353%_10|"|"48.91435294117647%_20|"|"37.481411764705875%_30|"|"28.659764705882356%_40|"|"17.56588235294118%_50|"|"12.14658823529411%_60|"|여자_61%|남자_39%
온다|"46.384999999999984%_10|"|"79.41766666666666%_20|"|"59.33266666666665%_30|"|"38.597999999999956%_40|"|"35.92466666666665%_50|"|"40.02633333333332%_60|"|여자_59%|남자_41%
안다즈서울강남 조각보|"16.166117647058833%_10|"|"45.33411764705882%_20|"|"49.65176470588234%_30|"|"47.047294117647056%_40|"|"41.915058823529414%_50|"|"34.872941176470576%_60|"|여자_58%|남자_42%
소이연남마오|"25.00000000000001%_10|"|"91.32499999999996%_20|"|"92.89449999999995%_30|"|"79.80999999999997%_40|"|"57.11049999999999%_50|"|"46.44399999999997%_60|"|여자_53%|남자_47%
스킬렛 스테이크하우스|"9.958571428571389%_10|"|"31.625428571428554%_20|"|"19.97571428571427%_30|"|"13.930857142857104%_40|"|"8.886285714285705%_50|"|"8.81085714285712%_60|"|여자_45%|남자_55%
야사이마끼 쿠이신보|"11.764705882352951%_10|"|"48.55223529411763%_20|"|"45.44800000000001%_30|"|"30.519999999999996%_40|"|"20.452235294117656%_50|"|"11.764705882352951%_60|"|여자_49%|남자_51%
장다리곱창|"22.077882352941174%_10|"|"48.31741176470588%_20|"|"44.52776470588236%_30|"|"35.32282352941176%_40|"|"26.803764705882354%_50|"|"11.764705882352951%_60|"|여자_54%|남자_46%
Lu307 이자카야|"11.764705882352951%_10|"|"49.779058823529404%_20|"|"40.86047058823527%_30|"|"28.42164705882353%_40|"|"21.850352941176457%_50|"|"16.229647058823538%_60|"|여자_49%|남자_51%
갓포 히미츠 X 뱅가드 하이파이 뮤직 라운지|"8.053428571428562%_10|"|"40.07028571428568%_20|"|"29.091999999999963%_30|"|"18.611999999999977%_40|"|"5.1002857142857%_50|"|"3.9588571428571058%_60|"|여자_33%|남자_67%
디크루즈|"25.00000000000001%_10|"|"96.03799999999998%_20|"|"91.41549999999995%_30|"|"70.33599999999998%_40|"|"47.468999999999966%_50|"|"34.16649999999998%_60|"|여자_49%|남자_51%
골드피쉬 딤섬퀴진|"38.960499999999996%_10|"|"98.106%_20|"|"94.00449999999995%_30|"|"81.8575%_40|"|"86.08449999999998%_50|"|"83.13499999999999%_60|"|여자_55%|남자_45%
엘피노323|"18.374352941176475%_10|"|"48.515058823529394%_20|"|"43.02658823529411%_30|"|"35.07811764705883%_40|"|"25.758352941176476%_50|"|"22.344941176470584%_60|"|여자_52%|남자_48%
쿠라우니|"14.682285714285682%_10|"|"33.4825714285714%_20|"|"18.89314285714283%_30|"|"13.019428571428557%_40|"|"9.163999999999982%_50|"|"5.51714285714284%_60|"|여자_62%|남자_38%
목포집|"11.764705882352951%_10|"|"47.422117647058805%_20|"|"43.828705882352935%_30|"|"35.10635294117645%_40|"|"26.21388235294117%_50|"|"24.801882352941163%_60|"|여자_49%|남자_51%
PEACH|"23.45458823529413%_10|"|"52.55247058823529%_20|"|"47.6065882352941%_30|"|"35.89905882352941%_40|"|"24.064470588235288%_50|"|"20.99835294117646%_60|"|여자_64%|남자_36%
프레즈드로이|"11.764705882352951%_10|"|"47.9110588235294%_20|"|"37.71199999999999%_30|"|"27.143294117647056%_40|"|"18.692235294117648%_50|"|"11.764705882352951%_60|"|여자_53%|남자_47%
이치서울|"34.537176470588236%_10|"|"52.768%_20|"|"37.047294117647056%_30|"|"20.771764705882354%_40|"|"14.903058823529411%_50|"|"11.764705882352951%_60|"|여자_63%|남자_37%
펠트커피 도산공원점|"35.02776470588235%_10|"|"48.88564705882351%_20|"|"42.19811764705882%_30|"|"32.483058823529404%_40|"|"25.097411764705875%_50|"|"22.44305882352941%_60|"|여자_53%|남자_47%
네기다이닝라운지|"25.00000000000001%_10|"|"95.70749999999997%_20|"|"99.73349999999994%_30|"|"83.24049999999997%_40|"|"65.66300000000001%_50|"|"56.526499999999956%_60|"|여자_51%|남자_49%
