name|gubun|score|visitCount|blogCount
육회한연어 대학로점|요리주점|4.35/5|방문자 리뷰_ 291|블로그 리뷰_ 114
스타벅스 동숭길입구점|카페|4.45/5|방문자 리뷰_ 1,925|블로그 리뷰_ 59
가부 혜화점|중식당|4.33/5|방문자 리뷰_ 593|블로그 리뷰_ 52
도리안그레이|바(BAR)|4.72/5|방문자 리뷰_ 68|블로그 리뷰_ 20
꼬치오뎅|종합분식|4.22/5|방문자 리뷰_ 145|블로그 리뷰_ 95
스시사소우|일식당|4.27/5|방문자 리뷰_ 318|블로그 리뷰_ 180
식탁의목적|한식|4.25/5|방문자 리뷰_ 135|블로그 리뷰_ 205
해마 티룸|홍차전문점|4.55/5|방문자 리뷰_ 237|블로그 리뷰_ 231
돈천동식당|일식당|4.54/5|방문자 리뷰_ 150|블로그 리뷰_ 183
림스치킨 혜화점|치킨,닭강정|4.45/5|방문자 리뷰_ 379|블로그 리뷰_ 93
아리가또맘마 대학로점|일식당|4.42/5|방문자 리뷰_ 254|블로그 리뷰_ 62
키쉬미뇽 대학로점|카페,디저트|4.39/5|방문자 리뷰_ 984|블로그 리뷰_ 81
옥이모깻잎떡볶이|떡볶이|4.08/5|방문자 리뷰_ 567|블로그 리뷰_ 117
대학로족발보쌈|족발,보쌈|4.5/5|방문자 리뷰_ 456|블로그 리뷰_ 209
코코로식탁|일식당|4.32/5|방문자 리뷰_ 95|블로그 리뷰_ 90
라쿤카페 꾸꾸네|카페,디저트|4.32/5|방문자 리뷰_ 10|블로그 리뷰_ 146
봉심식당|이탈리아음식|4.26/5|방문자 리뷰_ 79|블로그 리뷰_ 96
빌런치팬케이크|브런치|4.5/5|방문자 리뷰_ 43|블로그 리뷰_ 25
제순식당 대학로직영점|한식|4.27/5|방문자 리뷰_ 297|블로그 리뷰_ 283
미정국수0410 대학로점|국수|4.42/5|방문자 리뷰_ 554|블로그 리뷰_ 226
스페이스플라토|와인|4.65/5|방문자 리뷰_ 80|블로그 리뷰_ 102
스시마시따|일식당|4.09/5|방문자 리뷰_ 404|블로그 리뷰_ 224
석관동떡볶이 대학로점|분식|4.2/5|방문자 리뷰_ 842|블로그 리뷰_ 352
이레미|백반,가정식|4.28/5|방문자 리뷰_ 283|블로그 리뷰_ 30
카페스트롤|카페,디저트|4.39/5|방문자 리뷰_ 125|블로그 리뷰_ 82
포도원삼계탕대학로점|백숙,삼계탕|4.34/5|방문자 리뷰_ 207|블로그 리뷰_ 355
간짜장전문점세아|중식당|4.34/5|방문자 리뷰_ 56|블로그 리뷰_ 8
명륜건강원|백반,가정식|4.37/5|방문자 리뷰_ 216|블로그 리뷰_ 199
파인데이즈|카페,디저트|4.92/5|방문자 리뷰_ 69|블로그 리뷰_ 14
소구미 대학로직영점|육류,고기요리|4.38/5|방문자 리뷰_ 81|블로그 리뷰_ 44
오늘와인한잔 대학로점|와인|4.23/5|방문자 리뷰_ 349|블로그 리뷰_ 211
대구막창 대학로점|곱창,막창,양|4.24/5|방문자 리뷰_ 46|블로그 리뷰_ 41
걸작떡볶이치킨 서울대학로점|분식|4.34/5|방문자 리뷰_ 519|블로그 리뷰_ 57
이자카야 곤조|이자카야|4.2/5|방문자 리뷰_ 97|블로그 리뷰_ 35
둘리네분식|종합분식|4.25/5|방문자 리뷰_ 20|블로그 리뷰_ 68
노브랜드버거 대학로점|햄버거|4.47/5|방문자 리뷰_ 1,293|블로그 리뷰_ 49
찡쪽바|바(BAR)|4.84/5|방문자 리뷰_ 35|블로그 리뷰_ 15
쟁반집8292 혜화점|육류,고기요리|4.84/5|방문자 리뷰_ 312|블로그 리뷰_ 49
카페 마피|카페,디저트|4.67/5|방문자 리뷰_ 95|블로그 리뷰_ 42
허그|요리주점|4.6/5|방문자 리뷰_ 73|블로그 리뷰_ 45
군자대한곱창 대학로점|곱창,막창,양|4.59/5|방문자 리뷰_ 248|블로그 리뷰_ 136
알바이신|스페인음식|4.39/5|방문자 리뷰_ 18|블로그 리뷰_ 92
한촌설렁탕 대학로점|곰탕,설렁탕|4.19/5|방문자 리뷰_ 1,011|블로그 리뷰_ 37
혜화수산 혜화본점|생선회|4.62/5|방문자 리뷰_ 170|블로그 리뷰_ 62
라라맥주|맥주,호프|4.62/5|방문자 리뷰_ 26|블로그 리뷰_ 4
할리스 대명거리점|카페|4.37/5|방문자 리뷰_ 1,335|블로그 리뷰_ 41
위치스커피 파스텔드나따 대학로점|카페|4.37/5|방문자 리뷰_ 246|블로그 리뷰_ 80
한돌참치 대학로본점|생선회|4.37/5|방문자 리뷰_ 130|블로그 리뷰_ 180
마님은왜돌쇠에게만술을주시나|요리주점|4.58/5|방문자 리뷰_ 122|블로그 리뷰_ 20
어웨이크커피바|카페|4.08/5|방문자 리뷰_ 65|블로그 리뷰_ 127
