name|gubun|score|visitCount|blogCount
동두천솥뚜껑삼겹살 합정점|돼지고기구이|4.46/5|방문자 리뷰_ 459|블로그 리뷰_ 368
디어리스트 연남|양식|4.46/5|방문자 리뷰_ 659|블로그 리뷰_ 254
연남족발1987|족발,보쌈|4.36/5|방문자 리뷰_ 230|블로그 리뷰_ 442
캘리포니아 도넛 클럽 & 비라티오 홍대점|카페,디저트|4.52/5|방문자 리뷰_ 1,707|블로그 리뷰_ 730
디퍼 루프탑|맥주,호프|4.5/5|방문자 리뷰_ 386|블로그 리뷰_ 282
커피 벌스데이|카페,디저트|4.62/5|방문자 리뷰_ 176|블로그 리뷰_ 139
연남쌀국수 똣|베트남음식|4.69/5|방문자 리뷰_ 787|블로그 리뷰_ 629
야키토리 나루토 오모테나시|일식튀김,꼬치|5.0/5|방문자 리뷰_ 101|블로그 리뷰_ 114
정무관|일식당|4.55/5|방문자 리뷰_ 260|블로그 리뷰_ 640
루프탑 G 길리건스|바(BAR)|4.12/5|방문자 리뷰_ 144|블로그 리뷰_ 311
치킨앤카레군|치킨,닭강정|4.58/5|방문자 리뷰_ 947|블로그 리뷰_ 547
무니|이자카야|4.49/5|방문자 리뷰_ 67|블로그 리뷰_ 78
세상끝의라멘|일본식라면|4.55/5|방문자 리뷰_ 579|블로그 리뷰_ 664
이치류 홍대본점|양갈비|4.55/5|방문자 리뷰_ 410|블로그 리뷰_ 778
어른이대공원|맥주,호프|4.26/5|방문자 리뷰_ 296|블로그 리뷰_ 260
포36거리 홍대점|베트남음식|4.54/5|방문자 리뷰_ 332|블로그 리뷰_ 696
금성회관 합정본점|한식|4.72/5|방문자 리뷰_ 717|블로그 리뷰_ 346
이츠모라멘|일본식라면|4.48/5|방문자 리뷰_ 401|블로그 리뷰_ 452
돈주는남자 본점|돼지고기구이|4.62/5|방문자 리뷰_ 324|블로그 리뷰_ 516
히메시야|일식당|4.43/5|방문자 리뷰_ 656|블로그 리뷰_ 744
루프탑어반비치|바(BAR)|4.43/5|방문자 리뷰_ 132|블로그 리뷰_ 226
구스토타코|멕시코,남미음식|4.34/5|방문자 리뷰_ 361|블로그 리뷰_ 354
샐러디 합정역점|다이어트,샐러드|4.43/5|방문자 리뷰_ 1,259|블로그 리뷰_ 86
멘야하나비 합정점|일본식라면|4.48/5|방문자 리뷰_ 229|블로그 리뷰_ 353
꽈페 홍대점|베이커리|4.48/5|방문자 리뷰_ 419|블로그 리뷰_ 229
리밀커피&밀리|카페,디저트|4.76/5|방문자 리뷰_ 218|블로그 리뷰_ 231
남산호랭이|스파게티,파스타전문|4.76/5|방문자 리뷰_ 789|블로그 리뷰_ 445
구공탄곱창 본점|곱창,막창,양|4.5/5|방문자 리뷰_ 628|블로그 리뷰_ 539
깃털|바(BAR)|4.5/5|방문자 리뷰_ 20|블로그 리뷰_ 188
김씨육면|국수|4.65/5|방문자 리뷰_ 389|블로그 리뷰_ 270
공상온도|카페,디저트|4.41/5|방문자 리뷰_ 277|블로그 리뷰_ 682
웃사브|인도음식|4.33/5|방문자 리뷰_ 560|블로그 리뷰_ 1,274
따로집|전통,민속주점|4.79/5|방문자 리뷰_ 70|블로그 리뷰_ 85
1989버거스탠드 연남|햄버거|4.82/5|방문자 리뷰_ 290|블로그 리뷰_ 568
베어스덴베이커리|베이커리|4.46/5|방문자 리뷰_ 423|블로그 리뷰_ 519
동무밥상|이북음식|4.33/5|방문자 리뷰_ 562|블로그 리뷰_ 567
오마카세 오사이초밥 홍대점|일식당|4.33/5|방문자 리뷰_ 964|블로그 리뷰_ 159
테이커테이블|이탈리아음식|4.97/5|방문자 리뷰_ 322|블로그 리뷰_ 161
수염|맥주,호프|4.58/5|방문자 리뷰_ 145|블로그 리뷰_ 148
멘야산다이메 본점|일본식라면|4.32/5|방문자 리뷰_ 461|블로그 리뷰_ 764
윤씨밀방|스테이크,립|4.43/5|방문자 리뷰_ 842|블로그 리뷰_ 2,226
모크|카페,디저트|4.6/5|방문자 리뷰_ 378|블로그 리뷰_ 246
에도마에텐동하마다 홍대점|일식당|4.41/5|방문자 리뷰_ 547|블로그 리뷰_ 351
고망고 연남점|카페,디저트|4.48/5|방문자 리뷰_ 2,803|블로그 리뷰_ 321
일편등심|소고기구이|4.66/5|방문자 리뷰_ 959|블로그 리뷰_ 658
JASE|바(BAR)|4.37/5|방문자 리뷰_ 178|블로그 리뷰_ 479
서교주담|요리주점|4.75/5|방문자 리뷰_ 185|블로그 리뷰_ 207
부산집|오뎅,꼬치|4.42/5|방문자 리뷰_ 274|블로그 리뷰_ 276
스탠스커피|카페,디저트|4.48/5|방문자 리뷰_ 196|블로그 리뷰_ 690
버거스올마이티 홍대점|햄버거|4.48/5|방문자 리뷰_ 202|블로그 리뷰_ 126
