name|menu|restCallNumber|restLocation|subInfo|openingHourTime
런던 베이글 뮤지엄 도산점|"플레인 베이글_3,800원|참깨 베이글_4,700원|감자치즈 베이글_5,500원|블루베리 베이글_4,700원"|none|서울 강남구 언주로168길 33 1, 2층|none|08:00 - 18:00
꽁티드툴레아|"커피_5,500원|Latte_7,000원|Affogato_7,500원|아보카도토스트_14,000원"|0507-1325-8490|서울 강남구 도산대로49길 39|단체석, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 반려동물 동반|11:00 - 24:00
뉴만두집|"만두전골_65,000원|만두국_14,000원|콩비지_11,000원|빈대떡_22,000원"|02-544-3710|서울 강남구 압구정로 338|"밥블레스유 26회, 19.01.03.
2019년 1월 3일
 만둣국
펼쳐보기"|12:00 - 21:30
카페무니 압구정본점|"바닐라쉐이크_12,500원|아이스크림 라떼_8,500원|아인슈페너_8,000원|무니 아메리카노_7,500원"|010-9340-4466|서울 강남구 압구정로56길 16|포장, 남/녀 화장실 구분|09:00 - 22:00
포스터리 베이커|"cupcake_변동|cake pudding_변동|whole cake_변동"|02-540-8911|서울 강남구 압구정로42길 25-5 포스터리 베이커|주차, 발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분|11:00 - 22:00
압구정하루|"돈가스_8,500원|냉모밀_9,000원|판모밀_9,000원|비빔모밀_9,000원"|02-514-5557|서울 강남구 언주로172길 56|주차, 포장, 무선 인터넷, 남/녀 화장실 구분, 장애인 편의시설, 국민지원금|11:30 - 22:00
온기정|"메밀소바 세트_15,000원|메밀소바 정찬_38,000원|스테키동 온기정찬(2인)_40,000원|매운토리텐동_14,000원"|02-545-7940|서울 강남구 압구정로4길 13-9 1층 온기정|단체석, 주차, 발렛파킹, 포장, 배달, 무선 인터넷|11:30 - 21:30
카페 노티드 청담|"뉴욕버터밀크스콘_3,500원|헤이스콘_3,500원|초코 누텔라 스콘_4,000원|맬트앤믹스청크쿠키_2,500원"|0507-1426-9399|서울 강남구 도산대로53길 15 1층|none|none
리틀넥 청담|"아메리칸 오믈렛_12,000원|살몬 포케_12,000원|고구마 프라이즈_9,000원|라자냐_19,000원"|0507-1400-1476|서울 강남구 도산대로51길 17|단체석, 발렛파킹, 포장, 배달, 무선 인터넷|11:00 - 21:00
호족반|"트러플 감자전_15,800원|들기름 메밀국수_8,800원|청담김 주먹밥_5,800원|마늘 항정 수육_18,800원"|0507-1399-3353|서울 강남구 언주로164길 39 1층|발렛파킹, 포장, 배달, 무선 인터넷|11:30 - 21:30
쮸즈|"소룡포_4,000원|딴딴면_8,000원|새우춘권_4,000원|완탕면_9,000원"|02-6081-9888|서울 강남구 도산대로17길 13|발렛파킹|11:30 - 21:00
까폼|"태국 소고기 쌀국수_9,000원|카오카무_12,000원|뿌님팟퐁커리_25,000원|텃만꿍_12,000원"|0507-1411-7318|서울 강남구 선릉로153길 18 지하1층|발렛파킹, 포장, 배달, 방문접수/출장, 무선 인터넷, 반려동물 동반|11:30 - 22:00
벽돌해피푸드 압구정점|"토마토 계란 덮밥_12,000원|크림새우_19,000원|사천식 돼지고기 튀김_19,000원|마라샹궈_19,000원"|02-514-0200|서울 강남구 도산대로51길 36 1층|단체석, 발렛파킹, 포장, 배달, 무선 인터넷, 남/녀 화장실 구분|11:30 - 22:00
