name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio
972Bar|47.79833333333335|81.89566666666666|34.08066666666668|23.921666666666653|22.56766666666665|16.66666666666668|50|50
daughter|60.97899999999999|82.76933333333332|52.14033333333333|38.466|29.842999999999986|21.163000000000004|64|36
감성타코 건대점|58.62|76.10766666666667|51.874666666666656|45.26266666666667|34.98233333333333|26.636999999999983|53|47
경성양육관|23.25882352941176|49.53458823529411|41.46258823529412|38.19317647058824|29.227999999999987|25.8915294117647|46|54
고기굽는놈|6.938571428571398|36.79771428571426|20.24771428571426|14.838285714285693|6.939714285714256|4.928857142857116|42|58
꾸아 건대점|18.15741176470589|48.463294117647045|39.954117647058816|36.527294117647045|28.82023529411764|22.70352941176469|52|48
남한강민물매운탕|25.00000000000001|75.08099999999999|86.24949999999994|92.28899999999996|88.53649999999999|93.86199999999997|43|57
냥토피아 카페앤샵|46.48235294117647|50.22070588235295|26.188470588235287|23.89176470588234|18.501882352941163|11.764705882352953|59|41
느린마을양조장 건대점|11.764705882352953|47.5950588235294|36.96564705882353|31.265882352941173|25.66329411764705|11.764705882352953|49|51
더 클래식 500 라구뜨|22.022352941176464|40.88305882352942|45.568705882352944|49.27223529411764|45.47976470588236|44.67952941176469|51|49
도쿄빙수 건대점|69.93400000000001|78.586|43.595000000000006|36.88366666666669|27.884666666666664|19.957333333333345|57|43
라화쿵부 건대점|37.29085714285712|32.11799999999997|11.217142857142846|17.64599999999999|14.176571428571414|14.89199999999997|54|46
로니로티 건대점|66.5163333333333|86.9583333333333|53.17633333333332|50.7203333333333|47.30233333333331|33.94466666666663|50|50
릴리베이커리|54.28099999999998|77.94666666666667|56.88966666666665|50.07733333333334|40.39033333333334|29.742000000000008|62|38
마당족발|11.764705882352953|49.82023529411765|40.49670588235294|35.56117647058824|28.982588235294106|24.3049411764706|47|53
마초쉐프 건대점|45.90649999999997|77.64799999999997|37.41749999999994|41.95149999999999|42.37249999999999|23.37849999999997|49|51
매운향솥 마라탕 마라샹궈|50.91699999999998|75.82633333333332|54.395|44.14399999999999|36.24466666666666|32.42233333333333|54|46
