name|gubun|price|score|count|menu1|menu2|menu3|menu4|address|phone|opningHour|detailInfo
뉴 델리|인도 요리|15000|5.0|123.0|chicken Vindalo|Half & Half Chicken Tikka|Half & Half Chicken Tikka(full(10P))|Paneer Cheese Salad|서울 강남구 논현로176길 28|02-541-9300|11:00 - 22:00|단체석, 포장, 방문접수/출장, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금
류니끄|퓨전|150000|4.5|131.0|Pork Jowl|Sous Vide Blackthorat Fish|Lunch course Menu|Dinner course Menu|서울 강남구 강남대로162길 40|02-546-9279|12:00 - 22:30|단체석, 주차, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금
코리아노스 키친 본점|멕시코 요리|24000|4.0|76.0|쓰리와이즈프라이즈|커플스키즐|타코플래터|타코|서울 강남구 선릉로157길 25 B1|02-795-4427|12:00 - 22:00|단체석, 발렛파킹, 포장, 배달, 예약, 반려동물 동반, 남/녀 화장실 구분
스쿨푸드 가로수길점|아시아 요리|9000|4.0|114.0|모짜렐라스팸계란마리|오리지널스팸마리|스패니쉬오정어먹물마리|매니아고추멸치마리|서울 강남구 도산대로 139|02-3449-5471|10:30 - 20:30|주차, 포장, 남/녀 화장실 구분
권숙수|한국|130000|4.5|50.0|점심미식상|점심숙수상|점심숙수상|저녁숙수상|서울 강남구 언주로170길 27 4층|02-795-4427|12:00 - 22:00|발렛파킹, 예약
강남면옥|아시아 요리|35000|4.0|59.0|갈비찜|회냉명|갈비찜(대)|갈비찜(중)|서울 강남구 논현로152길 34|02-3446-5539|10:30 - 22:00|단체석, 주차, 발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분, 제로페이, 국민지원금
뱃고동|아시아 요리|18000|4.5|42.0|오징어불고기백반|낙지불고기백반|산낙지불고기|낙지불고기|서울 강남구 언주로172길 54|0507-1413-8008|11:30 - 22:00|단체석, 발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금
깐부치킨 신사역점|한국|18000|4.0|37.0|깐부통닭|국물떡볶이|호떡치킨|수비드닭가슴살샐러드|서울 강남구 강남대로152길 30 태웅빌딩 1층|0507-1428-9283|15:00 - 01:00|단체석, 주차, 포장, 배달, 무선 인터넷, 남/녀 화장실 구분, 국민지원금
셰막|아시아 요리|17000|4.5|34.0|백련막걸리|숯불목살양념구이|새우목살볶음|녹두전|서울 강남구 신사동 536-1|02-3452-7077|17:00 - 24:00|단체석, 주차, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금
포도식당 압구정점|아시아 요리|23000|4.5|27.0|참숯돼지왕갈비|모듬구이|생삼겹살|참숯소왕갈비|서울 강남구 신사동 570-4 일신빌딩 1층|02-514-9252|11:30 - 22:30|주차, 예약, 국민지원금
투뿔 등심 논현2호점|아시아 요리|50000|4.5|26.0|투뿔 숙성 등심|투뿔 숙성 안심|프라임 숙성 등심|투뿔 양념 슬라이스|서울 강남구 언주로148길 19|02-543-9024|11:30 - 22:30|단체석, 주차, 포장, 배달, 예약, 남/녀 화장실 구분, 제로페이
김북순 큰남비집|아시아 요리|13000|4.5|33.0|목살김치찌개|초란뚝배기탕|목살듬뿍김치찌개|해물 순두부찌개|서울 강남구 신사동 536-8 우림빌딩 1층|02-543-9024|10:20 - 22:00|포장, 남/녀 화장실 구분, 지역화폐(지류형), 지역화폐(카드형), 지역화폐(모바일형), 제로페이, 국민지원금
일일향 압구정 1호점|중국 요리|24000|4.5|24.0|짜장면|황비홍깐풍기|유린기|찹쌀탕수육|서울 강남구 신사동 601-3|0507-1347-6154|11:30 - 21:30|단체석, 주차, 발렛파킹, 포장, 예약, 남/녀 화장실 구분, 국민지원금
저스트 스테이크|스테이크하우스|16000|4.5|1.0|T-Bone Steak (100g)|L-Bone Steak (100g)|그릴에 구운 야채|볼로네제|서울 강남구 신사동 657-3|02-544-9357|11:30 - 22:00|단체석
엘본 더 테이블 가로수길 본점 |유럽 요리|90000|3.5|59.0|Three-Course|Four-Course|Lunch-Course|Five-Course|서울 강남구 신사동 530-5|02-547-4100|12:00 - 23:00|예약, 프라이빗 다이닝, 좌석, 주류 판매, 테이블 서비스
세광양대창 - 신사역가로수길점|바베큐|23000|5.0|10.0|모듬구이|곱창전골|꽃대창|대창구이|서울 강남구 도산대로1길 24 1층|02-543-2363|15:00 - 24:00|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금
스시선수|일본 요리|65000|5.0|13.0|점심 스시세트|점심 사시미세트|점심 지라시스시세트|점심 도미조림|서울 강남구 도산대로45길 6 호림아트센터 2빌딩|02-514-0812|10:00 - 22:00|단체석, 주차, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분
가온|한국|190000|4.0|30.0|온날 코스|가온 코스|와인|화요|서울 강남구 도산대로 317 호림아트빌딩 M층|02-545-9845|17:00 - 22:00|주차, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분
머그포래빗 강남점|아시아 요리|20000|4.5|17.0|해산물로제파스타|3가지퀘사디아|돼지목살스테이크|마키아토케이크|서울 강남구 논현로153길 53|02-548-7488|10:00 - 24:00|화장실, 포장
마사 타코스|멕시코 요리|9000|4.5|16.0|팅카브레이즈치킨|초리조|소고기스테이크아사다|바하새우|서울 강남구 압구정로10길 30-8|02-545-6915|12:00 - 23:00|매장 내 식사, 테이크아웃
하모|아시아 요리|40000|4.5|14.0|전주비빔밥|헛제사밥|육전|갈비구이|서울 강남구 언주로 819 HB 빌딩 2층|02-515-4266|11:30 - 22:00|단체석, 주차, 발렛파킹, 포장, 예약, 남/녀 화장실 구분
스페인클럽 가로수본점|스페인 요리|28000|4.0|30.0|Paella De Mariscos|Jamon lberico Bellota De Jabug|Calamares Fritos Con Tinta|Gambas Al Ajillo|서울 강남구 압구정로10길 26|0507-1496-1191|12:00 - 22:00|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 반려동물 동반, 남/녀 화장실 구분, 제로페이, 국민지원금
