name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio|gubun|score|visitCount|blogCount
972Bar|47.79833333|81.89566667|34.08066667|23.92166667|22.56766667|16.66666667|50|50|바(BAR)|4.58|95|438.0
daughter|60.979|82.76933333|52.14033333|38.466|29.843|21.163|64|36|브런치|4.49|548|715.0
감성타코 건대점|58.62|76.10766667|51.87466667|45.26266667|34.98233333|26.637|53|47|멕시코,남미음식|4.32|1115|870.0
경성양육관|23.25882353|49.53458824|41.46258824|38.19317647|29.228|25.89152941|46|54|양꼬치|4.58|704|782.0
고기굽는놈|6.938571429|36.79771429|20.24771429|14.83828571|6.939714286|4.928857143|42|58|육류,고기요리|4.64|816|980.0
꾸아 건대점|18.15741176|48.46329412|39.95411765|36.52729412|28.82023529|22.70352941|52|48|베트남음식|4.68|247|189.0
남한강민물매운탕|25.0|75.081|86.2495|92.289|88.5365|93.862|43|57|매운탕,해물탕|4.38|422|227.0
냥토피아 카페앤샵|46.48235294|50.22070588|26.18847059|23.89176471|18.50188235|11.76470588|59|41|카페,디저트|4.74|1235|219.0
느린마을양조장 건대점|11.76470588|47.59505882|36.96564706|31.26588235|25.66329412|11.76470588|49|51|요리주점|4.64|499|862.0
더 클래식 500 라구뜨|22.02235294|40.88305882|45.56870588|49.27223529|45.47976471|44.67952941|51|49|뷔페|4.56|3334|1004.0
도쿄빙수 건대점|69.934|78.586|43.595|36.88366667|27.88466667|19.95733333|57|43|빙수|4.37|436|425.0
라화쿵부 건대점|37.29085714|32.118|11.21714286|17.646|14.17657143|14.892|54|46|중식당|4.66|6714|1326.0
로니로티 건대점|66.51633333|86.95833333|53.17633333|50.72033333|47.30233333|33.94466667|50|50|이탈리아음식|4.47|1957|1668.0
릴리베이커리|54.281|77.94666667|56.88966667|50.07733333|40.39033333|29.742|62|38|베이커리|4.49|1498|502.0
마당족발|11.76470588|49.82023529|40.49670588|35.56117647|28.98258824|24.30494118|47|53|족발,보쌈|4.38|315|423.0
마초쉐프 건대점|45.9065|77.648|37.4175|41.9515|42.3725|23.3785|49|51|이탈리아음식|4.7|2012|945.0
매운향솥 마라탕 마라샹궈|50.917|75.82633333|54.395|44.144|36.24466667|32.42233333|54|46|중식당|4.47|981|1061.0
명봉반점|25.78541176|47.96282353|39.73835294|36.316|29.88094118|28.18352941|48|52|중식당|4.37|398|1129.0
모츠커피|43.33666667|79.50233333|58.25433333|42.223|35.08933333|23.96166667|59|41|카페|4.65|263|260.0
미분당|26.66776471|48.82517647|39.96|33.51552941|22.044|11.76470588|54|46|베트남음식|4.44|895|674.0
민벅 건대본점|44.30494118|51.58847059|34.38658824|31.42352941|26.82376471|22.21952941|51|49|양식|4.31|2846|1704.0
백소정 건대본점|47.8265|78.795|32.158|26.6285|19.553|9.6645|51|49|일식당|4.32|1959|175.0
봉자마라탕|35.08070588|49.85058824|40.19717647|31.27529412|26.22141176|23.69505882|43|57|중식당|4.25|103|340.0
비에이치테이블|45.909|78.463|60.11133333|51.83166667|42.892|30.17533333|63|37|브런치|4.54|289|384.0
뽕사부|13.78171429|30.06885714|20.35314286|19.564|13.51885714|9.865142857|46|54|중식당|4.61|2212|352.0
샤오당쟈마라탕 건대점|47.84423529|45.92211765|34.04941176|27.36258824|22.88729412|11.76470588|53|47|중식당|4.41|675|48.0
서북면옥|15.94047059|40.772|47.27176471|45.84447059|42.09082353|45.136|43|57|냉면|4.26|1200|1401.0
성수완당 본점|14.67571429|33.15714286|18.74057143|14.316|8.504571429|7.810857143|51|49|한식|4.56|340|206.0
송림식당|25.0|87.363|92.156|93.5395|81.3895|78.131|41|59|기사식당|4.32|2319|1266.0
송화산시도삭면|7.1925|76.3865|56.369|53.2955|53.4095|27.476|50|50|딤섬,중식만두|4.53|1050|1427.0
송화산시도삭면 2호점|38.14|99.1315|92.661|84.7885|75.3935|64.066|51|49|중식당|4.44|1511|543.0
송화양꼬치|17.85976471|50.07435294|41.92588235|36.86141176|31.208|25.58211765|46|54|양꼬치|4.48|702|753.0
심야식당 후타리|16.66666667|87.90666667|56.186|38.196|28.963|21.79466667|48|52|이자카야|4.8|390|258.0
아오스요거트|58.368|75.93233333|42.47933333|25.88266667|23.23733333|16.66666667|69|31|카페,디저트|4.5|895|459.0
아찌떡볶이|66.9275|95.612|91.512|93.015|62.922|40.424|57|43|떡볶이|4.33|902|464.0
에스프레소바 투또톤토|11.76470588|48.25788235|33.21717647|28.65435294|18.14023529|11.76470588|60|40|카페,디저트|4.8|141|71.0
오마카세 오사이초밥 건대본점|32.3955|97.684|47.893|31.7005|32.8705|20.4365|45|55|일식당|4.8|2320|389.0
오봉집 건대점|31.6835|98.2505|87.204|84.6885|69.7135|64.6325|48|52|한식|4.14|374|97.0
오우|32.04566667|77.03233333|46.67966667|28.70066667|26.066|20.20466667|62|38|요리주점|4.45|53|25.0
오코노미야키식당하나|42.923|82.69966667|57.05266667|34.969|22.81666667|19.36033333|52|48|일식당|4.52|576|479.0
옥루몽 어린이대공원점|60.979|82.76933333|52.14033333|38.466|29.843|21.163|64|36|빙수|4.38|451|153.0
요비|16.66666667|75.00366667|51.43766667|35.57266667|28.76133333|24.63233333|46|54|이자카야|4.41|103|308.0
장미술상 건대점|16.66666667|91.624|56.27|39.60666667|29.785|16.66666667|46|54|요리주점|4.96|257|143.0
조용한주택|36.09741176|52.76541176|35.82329412|22.09882353|16.64847059|11.76470588|57|43|스파게티,파스타전문|4.72|819|147.0
카페 그자체 베이커리|62.98133333|77.185|49.395|35.83766667|27.61366667|17.57166667|62|38|베이커리|4.59|878|684.0
카페 아르무아|47.44|52.76894118|30.30282353|22.02329412|15.83576471|12.10635294|59|41|카페,디저트|4.44|672|989.0
페스타마레 건대본점|41.58541176|51.94141176|36.97670588|33.48964706|29.57717647|23.93011765|52|48|스파게티,파스타전문|4.72|3280|1345.0
포비|46.17533333|78.67166667|49.65266667|31.26133333|23.326|19.46566667|53|47|일식당|4.45|428|631.0
하이디라오 건대지점|66.82833333|75.366|50.70433333|41.35866667|35.508|29.26133333|60|40|중식당|4.66|3008|436.0
함흥본가면옥|36.905|80.069|90.4195|92.3555|88.163|89.075|50|50|냉면|4.37|2465|351.0
호야초밥참치 본점|10.20542857|42.20828571|24.04485714|13.40428571|9.842857143|4.786857143|45|55|초밥,롤|4.45|2469|2216.0
