name|score_naver|count_naver|score_daum|count_daum|score_dining|count_dining|score_trip|count_trip|score_manggo|count_manggo|total_count|score_weighted
뉴만두집|4.36|1652|3.7|170|0.0|0|0.0|0|4.2|65|1887|4.3
카페무니 압구정본점|4.36|670|0.0|0|0.0|0|0.0|0|0.0|0|670|4.36
포스터리 베이커|4.36|512|0.0|0|0.0|0|0.0|0|0.0|0|512|4.36
압구정하루|4.36|3616|4.1|203|0.0|0|4.0|11|0.0|0|3830|4.35
온기정|4.3|2286|3.2|356|0.0|0|0.0|0|0.0|0|2642|4.15
카페 노티드 청담|4.44|20844|3.7|1881|0.0|0|0.0|0|0.0|0|22725|4.38
리틀넥 청담|4.5|5367|3.9|911|0.0|0|0.0|0|4.4|187|6465|4.41
호족반|4.34|3093|3.6|654|0.0|0|0.0|0|0.0|0|3747|4.21
쮸즈|4.38|3508|3.7|426|0.0|0|0.0|0|4.2|466|4400|4.3
까폼|4.52|2633|4.3|293|0.0|0|5.0|4|4.5|58|2988|4.5
벽돌해피푸드 압구정점|4.46|1221|3.5|202|4.4|8|0.0|0|4.3|69|1500|4.32
미미면가|4.27|3249|3.6|407|0.0|0|0.0|0|4.1|333|3989|4.19
아우어베이커리 가로수길점|4.46|4910|4.0|589|4.5|27|0.0|0|0.0|0|5526|4.41
달마시안|4.46|1586|2.9|240|0.0|0|0.0|0|4.1|9|1835|4.25
삼원가든|4.45|906|0.0|56|0.0|0|4.0|20|0.0|0|982|4.19
묵전|4.45|1441|3.8|145|4.0|19|0.0|0|4.3|165|1770|4.38
올리버|4.62|80|0.0|0|0.0|0|0.0|0|0.0|0|80|4.62
카멜커피|4.43|2669|3.3|22|0.0|0|0.0|0|0.0|0|2691|4.42
오스테리아 꼬또 압구정점|4.43|2290|3.2|214|0.0|0|0.0|0|4.1|75|2579|4.32
달래해장|4.43|496|2.2|58|0.0|0|0.0|0|0.0|0|554|4.2
마일스톤 커피|4.62|2845|4.3|332|0.0|0|0.0|0|4.2|100|3277|4.57
대막|4.43|2279|3.7|552|0.0|0|0.0|0|4.0|85|2916|4.28
뉴욕라츠오베이글스|4.53|1867|0.0|0|4.2|8|0.0|0|0.0|0|1875|4.53
아베크 청담|4.39|1001|3.0|155|0.0|0|0.0|0|0.0|0|1156|4.2
다운타우너 청담|4.61|5852|4.2|575|4.5|66|0.0|0|4.3|296|6789|4.56
우와|4.48|2091|3.7|49|4.2|20|0.0|0|0.0|0|2160|4.46
플레이버스 바이 바프|4.62|104|0.0|0|0.0|0|0.0|0|0.0|0|104|4.62
신사전|4.31|914|3.9|136|0.0|0|0.0|0|4.3|14|1064|4.26
파넬|4.17|1722|3.5|108|4.1|10|0.0|0|4.2|78|1918|4.13
브루클린더버거조인트 가로수길점|4.48|4248|3.9|470|0.0|0|0.0|0|4.0|327|5045|4.39
한올|4.53|62|0.0|0|0.0|0|0.0|0|0.0|0|62|4.53
무탄|4.36|2929|0.0|488|0.0|0|0.0|0|0.0|0|3417|3.74
르브런쉭 신사점|4.34|1430|3.6|41|0.0|0|0.0|0|0.0|0|1471|4.32
뱃고동|4.28|3624|3.4|324|4.2|20|4.5|42|4.1|93|4103|4.21
클랩피자 청담점|4.52|3703|3.9|273|0.0|0|0.0|0|4.2|36|4012|4.47
지아니스나폴리 가로수길점|4.35|1127|4.0|76|0.0|0|0.0|0|4.3|227|1430|4.32
콴안다오|4.52|2528|4.3|343|4.4|31|0.0|0|4.6|209|3111|4.5
카츠바이콘반|4.58|2205|4.3|496|0.0|0|0.0|0|4.5|115|2816|4.53
카이센동 우니도|4.84|616|0.0|0|0.0|0|0.0|0|0.0|0|616|4.84
핫쵸|4.46|855|3.0|123|0.0|0|0.0|0|4.2|18|996|4.28
선데이 버거 클럽|4.53|1187|4.3|198|0.0|0|0.0|0|4.4|48|1433|4.49
도산분식 도산공원점|4.23|2743|3.0|327|3.8|33|0.0|0|0.0|0|3103|4.1
도산맘마미아|4.36|4494|3.1|1009|0.0|0|0.0|0|0.0|0|5503|4.13
강남면옥 본점|4.28|1865|3.3|79|0.0|0|0.0|0|0.0|0|1944|4.24
샌드커피 논탄토 신사|4.47|1380|0.0|0|0.0|0|0.0|0|0.0|0|1380|4.47
다이닝 목로|4.65|934|0.0|0|0.0|0|0.0|0|4.3|6|940|4.65
안동국시|4.26|229|3.4|19|0.0|0|0.0|0|0.0|0|248|4.19
텍사스데브라질 압구정점|4.33|4018|3.7|205|0.0|0|0.0|0|0.0|0|4223|4.3
한추|4.19|2483|0.0|0|3.8|33|3.5|30|0.0|0|2546|4.18
갓잇 도산공원점|4.62|1672|3.8|173|0.0|0|0.0|0|4.1|13|1858|4.54
맥주덕후 피자덕후|4.92|1573|4.7|169|0.0|0|0.0|0|0.0|0|1742|4.9
오복수산 도산|4.44|1800|0.0|0|4.1|15|0.0|0|4.1|81|1896|4.42
효계|4.53|624|0.0|0|0.0|0|0.0|0|4.4|21|645|4.53
압구정 곱창|4.61|713|4.0|138|4.4|7|0.0|0|4.2|20|878|4.5
